feature,importance_mean,importance_std
x_AdjFwdEPC,0.020518992,0.012879343
x_RevMagFY1C,0.012361496,0.0021181442
x_IndRel_EP,0.0115020815,0.001572464
x_EBITEstDisp,0.011155797,0.0034896592
x_AdjRevMagC,0.009988138,0.00418654
x_CashAdjEV,0.008798644,0.0011681872
x_EPSEstDispFY1C,0.008396113,0.0009204238
x_AnnVol12M,0.0083055515,0.00083509064
x_RONA,0.007937749,0.0012146942
x_AdjRev3MFY1C,0.007927517,0.00031014904
x_PTIToNOA,0.007821581,0.001131569
x_SUEC,0.007710347,0.0016305691
x_Rev3MFY2C,0.0075314073,0.0006624423
x_EBITMargin,0.007366987,0.0030335127
x_LogAssets,0.0073032505,0.0038295365
x_CFEV,0.007030485,0.0004839485
x_EPSEstDispFY2C,0.0068516466,0.0034917914
x_AstAdjChg1YCF,0.0068010557,0.0026059523
x_24MResRtnVar,0.0067930706,2.4944544e-05
x_Chg1YOCF,0.0067806654,0.00029017683
x_PrcTo260DL,0.006716553,0.001495471
x_CashEV,0.0066735093,0.0008125189
x_PAdjChg1YOCF,0.0063888775,0.0016863451
x_CashP,0.0063220877,9.197439e-05
x_Chg1YLTDA,0.0061481968,0.0020242438
x_IndRel_Chg1YOPM,0.006131109,0.0017286467
x_AccrualRatioBS,0.006106524,0.0023025286
x_DivP,0.006088689,0.0025607774
x_IndRel_FCFEqt,0.0060774228,0.00053590606
x_MaxRetPayoff,0.0060559744,0.0007342086
x_CFIC,0.0060425154,0.0018174672
x_IO_ChgofNumBY,0.0060190866,0.0016460675
x_IndRel_CashAst,0.005998142,1.7693033e-05
x_IndRel_EPSEstDispFY1C,0.005990339,0.0017146436
x_IndRel_OEA,0.005987729,0.0018262155
x_SalesToEPSChg,0.0059642997,0.00052381004
x_IndRel_ChgSalesMargin,0.005948912,0.0007688645
x_PAdjChg3YEPS,0.005937136,0.0010621331
x_12QTrendTTMEPS,0.0058431122,0.0015785526
x_IndRel_SEV,0.005767842,0.00050828536
x_SalesToInvCap,0.0057280743,0.0005651824
x_AdjFwdFCFPC,0.0056981537,0.0001324357
x_IndRel_ShareChg,0.005679528,0.0016142898
x_EPSToOCFChg,0.0056720404,0.0006039294
x_IndRel_EBITDAP,0.0056371293,0.00051887333
x_Beta60M,0.0056262203,0.00046353578
x_MVEToTL,0.005585794,0.00036615646
x_AdjChgEPStoSales,0.005529954,0.0011332298
x_CFAst,0.0054506203,0.00019706739
x_EPSNumRevFY1C,0.005380716,0.0024692658
x_AdjSTO_6M,0.0053695464,0.0010429802
x_IndRel_PTMargin,0.0053668665,0.0024042989
x_Chg1YOPM,0.0053428435,0.0017732213
x_IndRel_CashEV,0.0053353617,2.7860282e-05
x_Adj50DVolSig,0.005324266,0.0008816975
x_6MChgTgtPrc,0.005323069,0.00032822532
x_IndRel_SP,0.0053197625,0.0028651566
x_AstGrwth,0.005259626,0.0003225333
x_ROA_2,0.0052592866,0.00038369466
x_CashAst,0.0051900838,0.00016665342
x_IndRel_ROE,0.005166932,0.00062719476
x_IndRel_CFROIC,0.0051246416,0.0011936526
x_FCFEqt,0.005123322,0.00033083674
x_PAdjChg1YEPS,0.0050702346,0.0008089286
x_ROE,0.0050638523,0.0007061744
x_IndRel_PM12M1M,0.005060083,0.00032623857
x_IndRel_CFP,0.0050469134,0.0008710255
x_IndRel_CashP,0.004938502,0.0005476342
x_RevEstDisp,0.0049199015,0.00069131074
x_PAdjChg3YSales,0.0049033887,0.0023664813
x_IO_Concentration,0.004895896,0.00042343605
x_PM6M,0.0048637846,4.4673914e-05
x_IndRel_GPMargin,0.004830155,0.0011663149
x_CapExToAst,0.0048278715,0.003179576
x_RecTurn,0.0048165,0.002471856
x_6MChgTgtPrcGapEMA,0.0048011877,0.0022019634
x_IndRel_AstP,0.004775697,0.00026476104
x_4To52WPrcOsc,0.004774257,0.00019304035
x_CapAcqRatio,0.0046989117,0.0014827836
x_FL,0.0046967557,0.00066983723
x_AdjAccruals,0.0046271477,0.00043532834
x_IndRel_TobinQ,0.004579813,0.00015016296
x_PM5D,0.004504473,0.00010111416
x_Chg1YROA,0.004494044,0.0004362089
x_LTDA,0.0044731237,0.0007430471
x_IndRel_FCFP,0.0044679483,0.0022516218
x_EBITDAEV,0.0044503524,0.00060764153
x_ChgSalestoChgEPS,0.0044109523,0.0005847103
x_IndRel_OEP,0.0044083446,0.00021358556
x_IndRel_NCAP,0.00437185,0.00064094434
x_LogTTMSales,0.004371413,0.00028137374
x_IO_BreadthStabBY,0.0043335734,0.00070459314
x_OCFAst_2,0.0043197284,0.0015881897
x_PM9M,0.0042830063,0.00043479935
x_InvToAstChg1Y,0.004275415,0.0009312646
x_IndRel_WCAccruals,0.0042706626,0.0009429873
x_CQPTTMCFtoSales,0.0042702323,0.00070853904
x_DepToCapex,0.004264726,0.001009764
x_90DCV,0.004227609,0.000121554825
x_IO_Foreign,0.004214867,0.00046512776
x_IndRel_EPSSurpC,0.0042012776,0.0014417102
x_ConsQPosChginTTMCF,0.004182972,0.0003514045
x_Chg3YOPM,0.004162607,0.0007041936
x_52WVPT20DLag,0.004153632,0.00088754355
x_AdjEPSNumRevFY1C,0.0041055996,0.00044743635
x_StdErr180D,0.0041054133,0.00017545628
x_Alpha36M6MPChg,0.0041009653,0.0017014709
x_IndRel_PTIP,0.004090231,6.084377e-05
x_BuyToSellRecLess3MEMA,0.004087145,0.0004997904
x_EPSStab,0.004060755,0.00058642065
x_IO_Level,0.0040522637,0.0016299933
x_IndRel_ROA,0.004048018,5.0597126e-05
x_ETO,0.0040458003,8.26302e-05
x_IndRel_Chg1YOCF,0.0040157028,0.00091991003
x_CQDRItoSales,0.004012429,0.000499015
x_Chg4QSalesTrend,0.0039884895,3.501377e-05
x_14DayRSI,0.0039865114,0.0001703474
x_IndRel_AssetTurn,0.0039839484,0.0025219305
x_RelPrStr_12M,0.0039619673,0.00045468647
x_ChgSalesMargin,0.003932725,0.0017615423
x_IndRel_DA,0.003915574,0.0003439322
x_IndRel_EBITDAEV,0.0038927472,0.00041940622
x_IndRel_FCFEV,0.003890945,0.0014549455
x_52WSlope,0.0038850843,0.00063608587
x_IndRel_RecTurn,0.0038551837,0.0014206606
x_IndRel_DivP,0.0038504712,0.00066690415
x_IndRel_PAdjChg1YEPS,0.0038408672,0.00024099904
x_IndRel_OCFP,0.00381487,0.00033206772
x_InvToAst,0.0038079093,0.0010064776
x_ConsQPosChgTTMEPS,0.0038048322,0.0009273286
x_IO_InvDuration,0.0038002627,0.00015356147
x_PA52WL20DLag,0.003785858,0.00043580926
x_Alpha60M,0.0037806588,0.00048810744
x_IndRel_BP,0.003747951,2.0873267e-06
x_STO_6M,0.0037376997,0.0002244293
x_PAdjChg1YSales,0.0037363335,4.7052163e-05
x_SharpeRatio,0.0037268214,0.0010477254
x_IndRel_LTDE,0.0037075384,0.00018551515
x_AdjEBITP,0.0036823708,0.0010362401
x_CVVolPrc30D,0.0036343283,1.7100712e-05
x_IndRel_RONA,0.003624735,0.00020293484
x_AdjEPSNumRevFY2C,0.0036094561,0.0013294802
x_CFP,0.0036063313,0.0004911327
x_SalesAcc,0.0036045732,0.0010464651
x_BP,0.0035891382,0.00054706936
x_AstAdjChg1YOCF,0.0035887014,0.0005203935
x_CQDOHtoSales,0.0035454938,0.00078637246
x_IO_ChgofIO_HF,0.0035306807,0.00023719925
x_DivToCF,0.0035287472,3.9701816e-05
x_GPMargin,0.0035185905,0.0006305154
x_Chg1YTurnover,0.0035052607,7.980026e-05
x_IndRel_FwdFCFPC,0.0034929523,0.00033195456
x_AccrualRatioCF,0.0034810975,0.00020803406
x_RskAdjRS,0.0034587467,0.00052476313
x_IndRel_EPSToSalesChg1Y,0.003411917,0.0014385546
x_IO_Level_AM,0.003411862,6.910565e-05
x_PM1M,0.0033809557,0.00074175966
x_CashBurn,0.0033719866,0.00043113797
x_IndRel_LTDA,0.0033695481,0.0005636711
x_IndRel_PM9M,0.0033652554,0.0011152612
x_IndRel_TotalAccruals,0.0033494844,0.0008436091
x_IndRel_FwdEPC,0.0033471608,0.00036427786
x_IndRel_PM1M,0.0033120448,0.00026135996
