feature,importance_mean,importance_std
x_AdjRev3MFY1C,0.013084131,0.006612708
x_IndRel_PAdjChg1YSales,0.011272889,0.0057120365
x_SUEC,0.009820517,0.0012769308
x_PTIToNOA,0.009750387,0.003486639
x_AstAdjChg1YCF,0.009472711,0.00084910635
x_CapAcqRatio,0.008330033,0.0021480562
x_IndRel_BP,0.0073140627,0.0022261373
x_IndRel_CashP,0.0070770932,0.00086865644
x_IndRel_EBITDAP,0.0070763063,0.0023498212
x_CFP,0.006962622,8.119689e-05
x_IndRel_CashEV,0.006949293,0.0017296621
x_IndRel_CFP,0.0068137404,0.0012306636
x_IndRel_CFROIC,0.006770431,0.0010466287
x_SalesToInvCap,0.0066476827,3.3887336e-05
x_IndRel_EP,0.0066200485,0.00042323722
x_CashP,0.0065587866,0.00027472526
x_CapExToAst,0.006558369,0.0026485324
x_IndRel_ROIC,0.006514107,0.002181547
x_IndRel_ChgSalesMargin,0.006430941,0.00030736765
x_LTDA,0.0063442662,0.0021030388
x_IndRel_RONA,0.0061851684,0.00043233647
x_PAdjChg1YEPS,0.0061413264,0.0025617983
x_WCAccruals,0.005973692,0.0015406236
x_AdjChgEPStoSales,0.0059654796,0.0006568746
x_EPSEstDispFY1C,0.005885614,0.0022524102
x_Beta60M,0.0058160955,0.0022459554
x_PM1M,0.005796374,0.0014042885
x_PM9M,0.005785813,0.0016649775
x_IndRel_RecTurn,0.0056981705,0.0009943175
x_IndRel_DivP,0.0056956545,0.00043128664
x_52WSlope,0.0056547876,0.0019656424
x_6MChgTgtPrc,0.005625726,0.0021010877
x_FCFEqt,0.005566691,0.0004924431
x_Chg1YOCF,0.0055364845,0.002038963
x_AdjFwdFCFPC,0.0054846583,0.00025934004
x_IndRel_FCFP,0.0054704305,0.0013625233
x_12QTrendTTMEPS,0.0054212054,0.00071927137
x_IndRel_AssetTurn,0.0054030083,0.00016981852
x_AdjFwdEPC,0.0053903833,0.00062452187
x_Chg1YLTDA,0.0053740027,0.00055109337
x_IndRel_TotalAccruals,0.005373845,0.0004717291
x_PrcTo260DL,0.0053560208,0.001520587
x_IO_NAT,0.005355293,0.00010098354
x_EBITEstDisp,0.005338514,0.0010182715
x_IndRel_SEV,0.005321592,0.0006188082
x_IndRel_OEP,0.0052959686,0.00096619385
x_IndRel_CashAst,0.00524506,0.00020722998
x_IO_StabofChgHD,0.0052144844,0.0004894708
x_PM6M,0.0052118814,0.0018229114
x_6MChgTgtPrcGapEMA,0.005195157,6.75912e-05
x_InvToAstChg1Y,0.005178294,0.00088203675
x_IndRel_AstP,0.005160084,0.00013635866
x_IndRel_PM1M,0.0051446836,0.0011071486
x_IndRel_ShareChg,0.0051135337,7.254514e-05
x_RevEstDisp,0.0051131034,3.5183039e-06
x_IO_ChgofIO_AM,0.005106582,0.0007122522
x_CVVolPrc30D,0.005064821,0.0004958038
x_PSlopeSERR_26W,0.005055757,0.0025155055
x_CashAdjEV,0.0050448934,0.0004371861
x_IndRel_ROA,0.0050391173,0.0004632317
x_AstGrwth,0.0050239055,0.00013740454
x_ROE,0.005021208,0.0006140098
x_RONA,0.004986328,0.0008219662
x_ChgSalesMargin,0.0049802745,0.00045377132
x_EPSStab,0.004961488,0.00023768377
x_IndRel_TobinQ,0.0049360385,0.001081895
x_CFAst,0.0049203513,0.0014337285
x_FL,0.004918962,0.00047060126
x_AccrualRatioCF,0.0049024066,3.970042e-05
x_UnexpectedRecChg,0.0048760306,1.6494887e-05
x_IndRel_PTMargin,0.0048505827,0.0009993901
x_IndRel_WCAccruals,0.004830867,0.0008026825
x_Chg1YROA,0.0048289495,0.00023426954
x_IndRel_FCFEV,0.0048223613,0.00063843187
x_Chg1YTurnover,0.004821522,3.6117155e-05
x_CashEV,0.0048111873,0.00032640272
x_ChgSalestoChgEPS,0.004804233,0.0011200054
x_IndRel_PAdjChg1YEPS,0.0047835903,0.0017761644
x_IndRel_CapExToAst,0.0047630602,0.0008635225
x_PA52WL20DLag,0.0047438215,0.00027049612
x_52WVPT20DLag,0.0047274856,0.00019978406
x_AstAdjChg1YOCF,0.004707234,0.0014424518
x_IndRel_OCFP,0.004692413,0.000493499
x_EPSEstDispFY2C,0.004686583,0.0007278954
x_IO_Level,0.004681615,0.00032575196
x_IndRel_Chg1YOCF,0.004675097,0.0002468319
x_DepToCapex,0.0046500405,0.0012484982
x_AdjEPSNumRevFY2C,0.0046419823,0.0006215088
x_SalesToEPSChg,0.0046119317,0.00088746124
x_AdjAstAdjChg1YFCF,0.0045832586,0.00012770528
x_AdjEBITP,0.004572902,0.00071944273
x_IndRel_InvToAsset,0.004541237,0.0009963082
x_Chg1YOPM,0.004538131,0.00022379006
x_CFIC,0.0045288987,0.0012219528
x_IndRel_CashCycle,0.0045127124,0.0005292527
x_AdjAccruals,0.0045113657,0.0014276493
x_IO_ChgofIO_HF,0.004488671,0.00017325813
x_6MAvgChg1MRecC,0.0044777407,0.0008526334
x_CashBurn,0.0044632363,0.0009602617
x_PAdjChg1YOCF,0.004452955,0.00037842453
x_EPSNumRevFY1C,0.0044513075,0.00015702262
x_IO_Concentration,0.00444896,0.00069175067
x_IndRel_CFEV,0.004433082,0.00013861991
x_CashCycle,0.0044328785,0.00014029071
x_IndRel_ROE,0.004416376,0.00045447098
x_Alpha36M6MPChg,0.0043997546,0.0005105607
x_STO_6M,0.0043936283,0.00014685746
x_InvToAsset,0.004381963,0.00014550565
x_AdjEPSNumRevFY1C,0.0043498045,0.0003116799
x_AdjRevMagC,0.004344259,0.0012749048
x_IndRel_FCFEqt,0.004321616,0.00071183126
x_BP,0.0043180017,0.00015146169
x_Rev3MFY2C,0.0042803977,0.00078692846
x_TobinQ,0.004270087,0.0014715246
x_ShortIntRatio,0.004264471,9.6349744e-05
x_PAdjChg3YSales,0.0042566108,0.0005708998
x_IO_ChgofNumBY,0.0042553963,0.00019217329
x_AdjSTO_6M,0.004206842,0.00011543394
x_CFEV,0.004193343,0.00011289609
x_IndRel_Chg1YOPM,0.0041889064,0.0015059898
x_HL52W,0.0041656555,0.0012635615
x_IndRel_NCAP,0.004157837,0.00039776939
x_IndRel_FwdFCFPC,0.0041294564,0.00094633107
x_IO_Foreign,0.004087152,0.0005994064
x_EBITMargin,0.0040696478,0.001641278
x_IO_Level_AM,0.0040617795,0.00078873837
x_CashAst,0.0040512416,0.00067325553
x_IndRel_PM12M1M,0.0040348433,0.0004760226
x_Chg3YOPM,0.004017247,0.0009531572
x_EPSToOCFChg,0.004005869,0.0005629661
x_RskAdjRS,0.0039941515,0.00080770825
x_IndRel_GPMargin,0.003987862,7.9688616e-05
x_IndRel_OEA,0.0039835386,0.0007520021
x_PAdjChg3YEPS,0.0039716917,0.00025796832
x_IndRel_SolvencyRatio,0.003971247,0.00018476066
x_IO_BreadthStabHD,0.0039629075,0.0007178746
x_AccrualRatioBS,0.0039462857,0.00041341851
x_HL1M,0.003943662,0.0015045077
x_Alpha18M6MPChg,0.003939186,3.1606993e-05
x_IndRel_EPSSurpC,0.003934442,0.0015103312
x_SalesAcc,0.003917176,0.00050053746
x_IO_InvDuration,0.003905569,0.00021052337
x_IndRel_AdjAccruals,0.0038842089,0.0011302138
x_24MResRtnVar,0.0038834512,0.00096198043
x_IndRel_DA,0.003858198,0.0007975731
x_InvToAst,0.0038488233,0.0013444383
x_IO_BreadthStabBY,0.003841436,0.0005991197
x_5DMoneyFlowVol,0.003825032,0.0006975101
x_BuyToSellRecLess3MEMA,0.003820509,0.00013898057
x_PAdjChg1YSales,0.0038160551,0.00020445453
x_DivP,0.0038157045,0.0005443144
x_IndRel_SP,0.0038140179,0.0006618934
x_SharpeRatio,0.003810591,0.00030887884
x_14DayRSI,0.00380714,0.0011273661
x_IndRel_EBITDAEV,0.0037670387,0.0013664314
x_OCFAst_2,0.0037612207,5.740614e-05
x_RecTurn,0.0037447428,0.0001299082
x_ETO,0.0037081612,0.00038167764
x_ConsQPosChgTTMEPS,0.0036953818,0.00012951146
x_IndRel_OCFEV,0.0036912335,0.00048297527
x_CVVolPrc20D,0.0036665392,0.00036695634
x_130DMinRtn,0.0036426373,0.0004085563
x_Chg4QSalesTrend,0.0036070857,0.00023188954
x_GPMargin,0.0035525872,0.00024813542
x_IndRel_PTIP,0.0035323894,0.000789616
x_CVVolPrc60D,0.0035221158,0.00066256744
x_YoYChgDA,0.0035210894,0.0006618117
x_StdErr180D,0.0035190159,0.00010168506
x_6MChgTgtPrcGap,0.0035159998,0.001218869
x_LogAssets,0.0035038108,0.00013584108
x_IndRel_LTDA,0.00349836,0.00021007948
x_IndRel_SUEC,0.0034872142,0.00036734226
x_PM5D,0.0034856934,0.0003640526
x_RelPrStr_12M,0.0034680825,0.00018417602
x_IndRel_LTDE,0.0034551462,0.00032805267
x_IndRel_PM9M,0.0034405878,0.00058252306
x_4To52WPrcOsc,0.0034368732,0.0009278505
x_Adj50DVolSig,0.0034319302,0.0009547317
x_Chg1YAmihud,0.003429669,0.00050436694
x_IndRel_EPSEstDispFY1C,0.0034109168,0.0010270696
x_5DVolSig,0.0033776476,0.0003900932
x_Alpha60M,0.0033683442,0.00131825
x_EBITDAEV,0.0033630282,0.0005374381
x_STO,0.003349517,0.00044232374
x_CQDOHtoSales,0.0033147437,7.335807e-05
x_DebtChg1Y,0.0033062433,0.00012843264
x_IndRel_ShortIntTrdVol,0.0032968372,0.00059247494
x_90DCV,0.0032945778,0.0007399445
x_DivToCF,0.0032927669,0.00087431294
x_REToAst_2,0.0032716128,0.00020747492
x_MVEToTL,0.0032667094,0.00022398622
x_ShareChg,0.003237783,0.0005579365
x_IndRel_EPSToSalesChg1Y,0.0032055033,0.0004912624
