feature,importance_mean,importance_std
x_RevEstDisp,0.013512883,0.00038837502
x_CashAst,0.0129639115,0.003575476
x_DivToCF,0.011154278,0.0057110055
x_EBITDAEV,0.008921944,0.0031472328
x_AdjRev3MFY1C,0.008484346,2.5162473e-05
x_DivP,0.008424981,0.0013197768
x_IndRel_AssetTurn,0.008240592,0.00052782544
x_CFAst,0.008214387,0.0043540476
x_ChgSalesMargin,0.007607434,0.003420675
x_SalesAcc,0.0075312457,0.00072555663
x_FCFEqt,0.0075143324,0.000653266
x_AnnVol12M,0.0073897103,0.003402871
x_EPSNumRevFY1C,0.0073613133,0.0005158067
x_IndRel_InvToAsset,0.0072584427,0.0012165331
x_IndRel_PM9M,0.007164189,0.0005528177
x_PrcTo260DL,0.006942798,0.002099235
x_SUEC,0.006868965,0.00036689313
x_GPMargin,0.006827919,0.00023552333
x_ETO,0.006797833,1.2772623e-05
x_LTDA,0.006764188,0.00021147821
x_IndRel_LTDE,0.0064063827,0.0016473467
x_InvToAst,0.006310203,0.0007399004
x_AdjFwdEPC,0.006263941,0.00013017049
x_PA52WL20DLag,0.0062293885,0.0010962237
x_52WVPT20DLag,0.006053319,0.0005966646
x_IndRel_DivP,0.005924412,0.00038720507
x_IndRel_SP,0.00578616,0.001648424
x_IndRel_CashP,0.0057269405,0.00093923276
x_IndRel_ShortIntTrdVol,0.005636909,0.001222335
x_IndRel_ROA,0.005582909,0.0008149592
x_IndRel_WCAccruals,0.0055402042,0.0015694506
x_IndRel_ChgSalesMargin,0.005531102,0.0022627835
x_CashEV,0.005519582,0.001370199
x_CapExToAst,0.005512459,0.000659982
x_PM5D,0.0055050603,0.0021822173
x_AdjRevMagC,0.005494261,0.002184532
x_PM9M,0.005480211,0.0005356169
x_IndRel_CashAst,0.0054679597,0.0002428696
x_AdjChgEPStoSales,0.0054212743,0.001598977
x_EPSStab,0.0054029627,0.00041957502
x_IndRel_BP,0.005399655,0.0009880341
x_BP,0.0053947764,0.0007579182
x_MaxRetPayoff,0.0053697806,0.0006412815
x_4To52WPrcOsc,0.0053669405,0.00086733885
x_6MChgTgtPrc,0.005354356,0.0016562024
