feature,importance_mean,importance_std
x_EBITEstDisp,189.0,52.0
x_14DayRSI,157.5,5.5
x_EPSEstDispFY1C,140.0,23.0
x_EPSEstDispFY2C,131.0,13.0
x_SUEC,130.0,10.0
x_RevEstDisp,128.5,18.5
x_AdjFwdEPC,118.0,14.0
x_IndRel_EPSSurpC,117.5,6.5
x_Alpha36M6MPChg,114.5,14.5
x_RevMagFY1C,114.5,28.5
x_SharpeRatio,113.5,8.5
x_IO_NAT,112.0,2.0
x_5DMoneyFlowVol,111.5,20.5
x_IO_Concentration,110.5,11.5
x_Chg1YAmihud,110.0,8.0
x_IO_ChgofIO_HF,110.0,17.0
x_AdjRevMagC,109.5,26.5
x_5DVolSig,107.5,12.5
x_Alpha18M6MPChg,104.5,7.5
x_SalesAcc,103.5,12.5
x_BuyToSellRecLess3MEMA,102.5,10.5
x_IO_Foreign,101.5,3.5
x_ChgATO_2,101.5,5.5
x_IO_ChgofNumBY,101.5,25.5
x_EPSStab,101.0,8.0
x_ROA_2,100.5,15.5
x_Chg1YTurnover,98.0,7.0
x_CVVolPrc60D,97.5,11.5
x_6MAvgChg1MRecC,94.0,4.0
x_IO_Level_AM,93.0,9.0
x_ChgSalestoChgEPS,93.0,8.0
x_IO_TO,92.5,18.5
x_OCFAst_2,91.5,3.5
x_Chg3YOPM,91.0,7.0
x_Chg1YOPM,90.5,1.5
x_calendarquarter,90.0,3.0
x_IO_BreadthStabHD,89.5,5.5
x_Alpha12M6MPChg,89.0,9.0
x_IndRel_EPSEstDispFY1C,89.0,8.0
x_AdjEBITP,88.5,10.5
x_IO_BreadthStabBY,87.5,14.5
x_IO_ChgofIO_AM,87.5,8.5
x_HL1M,87.0,1.0
x_IndRel_SUEC,86.0,7.0
x_IO_Level,85.5,2.5
x_AnnVol1M,85.5,13.5
x_PM1M,85.5,10.5
x_SalesToEPSChg,85.0,2.0
x_CVVolPrc30D,84.5,2.5
x_6MChgTgtPrcGap,84.5,2.5
x_6MChgTgtPrcGapEMA,84.0,0.0
x_IndRel_ShortIntTrdVol,84.0,16.0
x_Chg4QSalesTrend,83.0,25.0
x_IO_InvDuration,81.5,5.5
x_LogUnadjPrice,81.0,11.0
x_Adj50DVolSig,80.5,19.5
x_12QTrendTTMEPS,80.5,2.5
x_PM5D,79.5,5.5
x_IndRel_PM5D,79.5,1.5
x_IndRel_RecTurn,79.5,20.5
x_IndRel_PM6M,79.5,8.5
x_RskAdjRS,78.5,1.5
x_AdjSTO_6M,78.5,25.5
x_CVVolPrc20D,78.5,13.5
x_IndRel_AccrualRatioCF,78.0,12.0
x_REToAst_2,78.0,1.0
x_AstGrwth,77.5,7.5
x_130DMinRtn,77.0,16.0
x_BVEV,77.0,1.0
x_Chg1YROA,77.0,1.0
x_RecTurn,76.5,11.5
x_IndRel_FwdEPC,76.5,19.5
x_90DCV,76.0,7.0
x_IndRel_DebtChg1Y,76.0,10.0
x_AssetTurn_2,76.0,11.0
x_MaxRetPayoff,75.0,8.0
x_IO_StabofChgHD,74.5,3.5
x_UnexpectedRecChg,74.5,17.5
x_Chg1YLTDA,74.0,4.0
x_IndRel_SP,73.5,5.5
x_IndRel_BP,72.5,3.5
x_GPMargin,72.0,11.0
x_Beta60M,71.0,7.0
x_IndRel_NCAP,71.0,8.0
x_AdjEBITDAEV,71.0,4.0
x_ShortIntRatio,70.5,13.5
x_IndRel_InvToAst,69.0,22.0
x_IndRel_Chg1YOCF,68.5,2.5
x_ROEStab,68.5,3.5
x_IndRel_LTDE,68.5,15.5
x_IndRel_OEA,68.0,10.0
x_STO_6M,67.5,13.5
x_IndRel_RONA,67.5,17.5
x_EPSNumRevFY1C,67.0,10.0
x_IndRel_SEV,67.0,3.0
x_IndRel_Chg1YOPM,67.0,0.0
x_PTIToNOA,67.0,7.0
x_IndRel_DA,67.0,7.0
x_IndRel_LTDA,66.5,6.5
x_TobinQ,66.0,7.0
x_ChgSalesMargin,66.0,25.0
x_YoYChgDA,65.5,5.5
x_IndRel_ROIC,65.0,15.0
x_IndRel_CapExToAst,65.0,2.0
x_LogAssets,65.0,2.0
x_IndRel_PM9M,65.0,17.0
x_IndRel_CashEV,64.5,2.5
x_IndRel_AstP,64.5,13.5
x_IndRel_DepToCapex,64.0,10.0
x_PAdjChg1YOCF,64.0,18.0
x_IndRel_AccrualRatioBS,63.0,8.0
x_RelPrStr_12M,62.5,12.5
x_LogTTMSales,62.5,6.5
x_IndRel_FCFEV,62.0,3.0
x_IndRel_ShareChg,61.5,8.5
x_AnnVol12M,61.5,7.5
x_MVEToTL,61.0,4.0
x_IndRel_PTMargin,60.0,6.0
x_IndRel_InvToAsset,60.0,22.0
x_AdjAstAdjChg1YFCF,60.0,8.0
x_IndRel_CashCycle,59.5,2.5
x_AdjEPSNumRevFY1C,59.0,3.0
x_RONA,58.5,0.5
x_IndRel_ROE,58.5,21.5
x_IndRel_FwdFCFPC,58.0,7.0
x_IndRel_FCFP,57.5,9.5
x_Alpha60M,57.5,0.5
x_ShareChg,57.0,12.0
x_IndRel_PAdjChg1YSales,57.0,6.0
x_IndRel_EPSToSalesChg1Y,56.5,8.5
x_IndRel_PM1M,56.5,10.5
x_IndRel_SolvencyRatio,56.5,22.5
x_60MAVGTTMROA,56.5,14.5
x_IndRel_GPMargin,56.5,0.5
x_PrcTo260DL,56.5,15.5
x_PAdjChg3YEPS,56.0,13.0
x_PA52WL20DLag,56.0,6.0
x_6MChgTgtPrc,55.5,6.5
x_AdjAccruals,55.5,16.5
x_Chg1YOCF,55.5,12.5
x_PAdjChg1YSales,54.5,7.5
x_IndRel_CashP,54.5,1.5
x_IndRel_MaxRetPayoff,54.5,0.5
x_CQDRItoSales,54.0,3.0
x_EPSToOCFChg,53.5,8.5
x_IndRel_TotalAccruals,52.5,2.5
x_AccrualRatioBS,52.5,11.5
x_IndRel_CashAst,52.5,7.5
x_IndRel_AssetTurn,52.0,18.0
x_Rev3MFY2C,52.0,0.0
x_AdjFwdFCFPC,52.0,2.0
x_PAdjChg3YSales,51.5,10.5
x_PSlopeSERR_26W,51.5,2.5
x_IndRel_EBITDAEV,51.5,6.5
x_WCAccruals,51.0,9.0
x_IndRel_DivP,50.5,1.5
x_DepToCapex,50.0,2.0
x_IndRel_PM12M1M,50.0,6.0
x_StdErr180D,49.5,7.5
x_AdjEPSNumRevFY2C,49.0,20.0
x_IndRel_OEP,49.0,5.0
x_FL,49.0,4.0
x_ROE,49.0,4.0
x_IndRel_OCFP,48.5,3.5
x_CashCycle,47.5,4.5
x_IndRel_ChgSalesMargin,47.5,9.5
x_AccrualRatioCF,47.0,4.0
x_IndRel_OCFEV,47.0,0.0
x_CashBurn,47.0,4.0
x_IndRel_ROA,47.0,9.0
x_InvToAstChg1Y,46.5,1.5
x_PM9M,46.5,6.5
x_DebtChg1Y,46.5,8.5
x_IndRel_PAdjChg1YEPS,46.5,1.5
x_52WVPT20DLag,46.0,6.0
x_BP,46.0,3.0
x_PrcTo52WH,46.0,10.0
x_FCFEqt,46.0,1.0
x_CashP,45.5,4.5
x_EBITMargin,45.5,2.5
x_CashAst,45.0,5.0
x_IndRel_AdjAccruals,44.5,9.5
x_IndRel_EP,44.5,10.5
x_SEV,44.0,2.0
x_HL52W,43.5,15.5
x_AdjChgEPStoSales,43.5,1.5
x_STO,43.0,4.0
x_AstAdjChg3YEPS,43.0,6.0
x_AstAdjChg1YCF,43.0,3.0
x_60MAVGTTMROE,42.0,9.0
x_CFIC,42.0,4.0
x_52WSlope,42.0,12.0
x_IndRel_CFROIC,42.0,11.0
x_PAdjChg1YEPS,41.5,2.5
x_EBITDAEV,41.5,5.5
x_CFP,41.5,9.5
x_IndRel_FCFEqt,40.5,2.5
