feature,importance_mean,importance_std
x_EBITEstDisp,140.5,15.5
x_IO_ChgofIO_AM,128.5,25.5
x_IO_Concentration,126.5,0.5
x_Chg1YAmihud,121.0,5.0
x_14DayRSI,121.0,16.0
x_Alpha12M6MPChg,118.5,5.5
x_6MChgTgtPrcGapEMA,117.5,0.5
x_Alpha36M6MPChg,117.0,2.0
x_Alpha18M6MPChg,116.0,5.0
x_Chg1YTurnover,116.0,10.0
x_IO_ChgofNumBY,115.0,7.0
x_IO_ChgofIO_HF,113.0,11.0
x_Beta60M,113.0,10.0
x_Chg1YOPM,112.5,0.5
x_IO_NAT,111.0,6.0
x_SalesAcc,111.0,2.0
x_IO_TO,110.0,30.0
x_5DMoneyFlowVol,108.5,17.5
x_SharpeRatio,108.5,7.5
x_IO_BreadthStabBY,108.5,8.5
x_SUEC,107.5,0.5
x_IndRel_ShortIntTrdVol,105.0,0.0
x_IndRel_RecTurn,104.0,16.0
x_IO_Foreign,104.0,1.0
x_IndRel_SUEC,102.0,13.0
x_6MAvgChg1MRecC,101.5,3.5
x_CVVolPrc60D,100.5,0.5
x_BuyToSellRecLess3MEMA,98.0,12.0
x_SalesToEPSChg,97.0,26.0
x_5DVolSig,95.5,7.5
x_EPSStab,95.0,17.0
x_IO_StabofChgHD,94.5,20.5
x_EPSNumRevFY1C,94.0,25.0
x_Chg1YROA,93.0,20.0
x_IndRel_EPSEstDispFY1C,93.0,14.0
x_IO_InvDuration,91.5,0.5
x_CVVolPrc30D,91.0,11.0
x_IndRel_CashAst,90.0,14.0
x_IO_Level,90.0,5.0
x_RevEstDisp,90.0,9.0
x_IndRel_EPSSurpC,90.0,9.0
x_ChgSalestoChgEPS,90.0,22.0
x_6MChgTgtPrcGap,89.5,15.5
x_RelPrStr_12M,87.0,15.0
x_RskAdjRS,86.5,5.5
x_ChgATO_2,86.0,7.0
x_Chg4QSalesTrend,85.5,17.5
x_IndRel_InvToAsset,85.0,1.0
x_IndRel_Chg1YOCF,85.0,3.0
x_IndRel_DepToCapex,83.0,3.0
x_AnnVol1M,82.5,13.5
x_UnexpectedRecChg,81.5,0.5
x_EPSEstDispFY1C,81.0,2.0
x_IndRel_Chg1YOPM,79.0,2.0
x_IndRel_DivP,78.5,11.5
x_IndRel_FCFEqt,78.5,29.5
x_IO_Level_AM,78.0,3.0
x_90DCV,78.0,18.0
x_IndRel_LTDE,78.0,5.0
x_IO_BreadthStabHD,77.5,5.5
x_IndRel_EPSToSalesChg1Y,77.0,10.0
x_Chg3YOPM,76.5,2.5
x_IndRel_TobinQ,76.5,0.5
x_IndRel_AstP,76.0,10.0
x_CashBurn,75.0,8.0
x_Adj50DVolSig,75.0,2.0
x_GPMargin,74.5,10.5
x_STO_6M,74.5,4.5
x_IndRel_AccrualRatioCF,74.0,7.0
x_IndRel_PM1M,73.0,4.0
x_BVEV,72.5,16.5
x_IndRel_InvToAst,72.0,3.0
x_AdjAccruals,71.5,0.5
x_IndRel_PAdjChg1YSales,71.0,4.0
x_IndRel_FwdFCFPC,71.0,4.0
x_ShortIntRatio,70.5,5.5
x_PAdjChg1YEPS,70.0,11.0
x_HL1M,70.0,4.0
x_MaxRetPayoff,70.0,12.0
x_AdjRevMagC,69.5,11.5
x_12QTrendTTMEPS,69.0,4.0
x_EPSEstDispFY2C,69.0,1.0
x_PAdjChg3YEPS,69.0,13.0
x_IndRel_CashEV,68.5,2.5
x_IndRel_SEV,68.5,0.5
x_DepToCapex,68.5,5.5
x_EPSToOCFChg,68.0,12.0
x_REToAst_2,68.0,4.0
x_ROEStab,68.0,1.0
x_WCAccruals,67.5,3.5
x_IndRel_AssetTurn,67.5,20.5
x_IndRel_PM5D,67.0,1.0
x_RecTurn,66.5,4.5
x_IndRel_SolvencyRatio,66.5,20.5
x_AstAdjChg3YEPS,66.0,15.0
x_130DMinRtn,65.0,8.0
x_AstGrwth,65.0,8.0
x_IndRel_PTMargin,65.0,10.0
x_IndRel_ROIC,65.0,13.0
x_IndRel_FCFEV,65.0,5.0
x_IndRel_OCFEV,64.5,24.5
x_IndRel_ShareChg,64.5,10.5
x_PM1M,64.5,14.5
x_calendarquarter,64.0,1.0
x_IndRel_CFROIC,63.5,5.5
x_IndRel_EBITDAEV,63.0,19.0
x_IndRel_SP,63.0,1.0
x_PAdjChg1YSales,63.0,16.0
x_InvToAsset,63.0,4.0
x_6MChgTgtPrc,63.0,16.0
x_AdjFwdEPC,62.5,18.5
x_PAdjChg1YOCF,62.0,4.0
x_AdjEBITP,62.0,19.0
x_IndRel_PM12M1M,61.5,0.5
x_PA52WL20DLag,61.5,0.5
x_IndRel_TotalAccruals,61.5,22.5
x_IndRel_CashCycle,61.5,10.5
x_IndRel_LTDA,61.0,9.0
x_PM5D,61.0,7.0
x_IndRel_FwdEPC,60.5,6.5
x_CVVolPrc20D,59.5,3.5
x_IndRel_AdjAccruals,59.5,3.5
x_TobinQ,59.5,14.5
x_Alpha60M,59.0,2.0
x_IndRel_BP,59.0,11.0
x_IndRel_OEA,58.5,2.5
x_IndRel_MaxRetPayoff,58.5,7.5
x_IndRel_CapExToAst,58.5,10.5
x_AdjEPSNumRevFY2C,58.0,11.0
x_OCFAst_2,58.0,15.0
x_60MAVGTTMROE,57.5,3.5
x_RevMagFY1C,57.0,6.0
x_ROA_2,57.0,9.0
x_PTIToNOA,56.5,4.5
x_IndRel_CashP,56.5,12.5
x_AnnVol12M,56.5,2.5
x_52WSlope,56.0,9.0
x_IndRel_ROE,55.5,9.5
x_BP,55.5,3.5
x_LogAssets,55.5,9.5
x_IndRel_PM6M,55.5,11.5
x_StdErr180D,55.5,4.5
x_PAdjChg3YSales,54.5,3.5
x_DebtChg1Y,54.5,7.5
x_IndRel_ChgSalesMargin,54.0,2.0
x_ChgSalesMargin,54.0,10.0
x_CashCycle,54.0,1.0
x_AstAdjChg1YCF,53.5,16.5
x_Chg1YLTDA,53.5,12.5
x_AdjChgEPStoSales,53.5,14.5
x_RONA,53.0,10.0
x_Chg1YOCF,53.0,4.0
x_AdjFwdFCFPC,52.5,1.5
x_AccrualRatioCF,52.5,6.5
x_IndRel_CFEV,52.5,1.5
x_IndRel_RONA,52.0,3.0
x_InvToAst,52.0,1.0
x_AccrualRatioBS,52.0,10.0
x_CFIC,51.5,4.5
x_IndRel_FCFP,51.5,9.5
x_IndRel_PM9M,51.0,13.0
x_ROE,51.0,5.0
x_LogUnadjPrice,51.0,2.0
x_STO,51.0,10.0
x_CQDOHtoSales,51.0,1.0
x_LogTTMSales,51.0,0.0
x_FCFEqt,50.5,4.5
x_IndRel_GPMargin,50.5,0.5
x_IndRel_DebtChg1Y,49.5,4.5
x_AdjEPSNumRevFY1C,49.0,4.0
x_LTDA,49.0,1.0
x_PM6M,49.0,12.0
x_IndRel_WCAccruals,48.5,6.5
x_CashP,48.5,9.5
x_AdjEBITDAEV,48.5,7.5
x_ETO,48.0,14.0
x_AdjAstAdjChg1YFCF,48.0,13.0
x_AdjSTO_6M,48.0,10.0
x_PSlopeSERR_26W,48.0,5.0
x_IndRel_EP,47.5,1.5
x_IndRel_OEP,47.5,5.5
x_HL52W,46.5,2.5
x_IndRel_ROA,46.5,2.5
x_CapAcqRatio,46.5,1.5
x_ShareChg,46.5,1.5
x_InvToAstChg1Y,46.5,6.5
x_IndRel_EBITDAP,46.0,4.0
x_60MAVGTTMROA,46.0,12.0
x_CapExToAst,46.0,8.0
x_PM9M,46.0,14.0
x_IndRel_DA,45.5,5.5
x_CQDRItoSales,45.5,2.5
x_IndRel_PAdjChg1YEPS,45.5,7.5
x_SalesToInvCap,45.5,4.5
x_YoYChgDA,45.0,14.0
x_CFP,44.5,3.5
x_AstAdjChg1YOCF,44.0,3.0
x_IndRel_AccrualRatioBS,43.5,9.5
x_IndRel_CFP,43.0,5.0
x_PrcTo260DL,42.5,4.5
x_IndRel_NCAP,41.5,10.5
x_SEV,41.0,6.0
x_FL,41.0,1.0
x_FCFP,40.5,8.5
x_EBITMargin,40.5,10.5
x_PrcTo52WH,40.0,13.0
x_CFEV,40.0,5.0
x_EBITDAEV,40.0,5.0
x_Rev3MFY2C,39.5,2.5
x_IndRel_PTIP,39.5,7.5
x_MVEToTL,38.5,1.5
x_AssetTurn_2,38.0,4.0
x_DivToCF,36.5,7.5
x_DivP,36.0,3.0
x_CashAdjEV,35.0,10.0
x_CashAst,34.0,3.0
x_AdjRev3MFY1C,32.5,14.5
x_ConsQPosChgTTMEPS,32.0,8.0
x_IndRel_OCFP,32.0,1.0
x_CFAst,31.0,4.0
x_ConsQPosChginTTMCF,30.5,3.5
x_4To52WPrcOsc,29.5,1.5
x_CQPTTMCFtoSales,27.5,12.5
x_52WVPT20DLag,27.0,3.0
x_24MResRtnVar,22.5,6.5
x_CashEV,16.5,3.5
