feature,importance_mean,importance_std
x_RevEstDisp,363.5,24.5
x_SalesAcc,131.0,14.0
x_Chg4QSalesTrend,130.5,15.5
x_Chg1YROA,123.0,1.0
x_EBITEstDisp,118.5,1.5
x_ChgATO_2,118.0,6.0
x_IO_ChgofIO_AM,117.0,3.0
x_SharpeRatio,114.0,12.0
x_RskAdjRS,108.0,10.0
x_BuyToSellRecLess3MEMA,104.5,20.5
x_IO_ChgofNumBY,103.0,1.0
x_6MAvgChg1MRecC,102.5,7.5
x_Chg3YOPM,101.0,25.0
x_DepToCapex,100.0,6.0
x_Chg1YAmihud,100.0,5.0
x_SUEC,98.0,1.0
x_CVVolPrc20D,97.5,15.5
x_Alpha12M6MPChg,97.0,1.0
x_Chg1YOPM,97.0,9.0
x_5DVolSig,96.0,15.0
x_Chg1YTurnover,96.0,9.0
x_AssetTurn_2,95.5,22.5
x_14DayRSI,95.0,14.0
x_IO_Foreign,92.5,7.5
x_CVVolPrc30D,91.5,0.5
x_ChgSalesMargin,91.5,0.5
x_5DMoneyFlowVol,90.5,17.5
x_Alpha36M6MPChg,90.0,34.0
x_IO_StabofChgHD,89.5,5.5
x_calendarquarter,88.5,33.5
x_IO_ChgofIO_HF,87.0,12.0
x_IO_BreadthStabBY,87.0,6.0
x_PM1M,87.0,24.0
x_CashCycle,86.0,0.0
x_RelPrStr_12M,86.0,2.0
x_CVVolPrc60D,86.0,20.0
x_Chg1YLTDA,85.5,8.5
x_EPSEstDispFY2C,85.0,14.0
x_AdjRevMagC,85.0,0.0
x_IndRel_PAdjChg1YSales,84.0,52.0
x_IndRel_EPSEstDispFY1C,84.0,9.0
x_AstGrwth,84.0,6.0
x_Alpha18M6MPChg,81.5,1.5
x_IO_Concentration,81.5,14.5
x_IO_NAT,81.0,16.0
x_LogTTMSales,81.0,17.0
x_IndRel_SP,80.5,14.5
x_Adj50DVolSig,80.5,14.5
x_6MChgTgtPrcGapEMA,79.0,7.0
x_IndRel_Chg1YOPM,79.0,9.0
x_IndRel_RecTurn,78.5,19.5
x_IndRel_PM1M,78.5,3.5
x_IndRel_GPMargin,78.5,12.5
x_PAdjChg3YSales,78.5,9.5
x_6MChgTgtPrc,78.0,12.0
x_IndRel_ShortIntTrdVol,78.0,18.0
x_IndRel_MaxRetPayoff,78.0,27.0
x_PAdjChg1YOCF,78.0,27.0
x_IndRel_SUEC,77.5,13.5
x_IndRel_InvToAst,77.5,12.5
x_IndRel_EPSSurpC,77.5,13.5
x_IndRel_CashAst,77.0,11.0
x_YoYChgDA,76.5,8.5
x_IndRel_OEA,76.5,23.5
x_IndRel_DepToCapex,76.0,10.0
x_ShareChg,76.0,3.0
x_GPMargin,75.5,10.5
x_IO_Level_AM,75.5,17.5
x_130DMinRtn,75.5,16.5
x_EPSNumRevFY1C,75.5,14.5
x_STO_6M,75.0,13.0
x_AdjEBITP,75.0,26.0
x_IO_Level,74.0,8.0
x_OCFAst_2,73.5,4.5
x_IO_TO,73.5,3.5
x_AdjSTO_6M,73.0,28.0
x_LogUnadjPrice,73.0,1.0
x_Beta60M,72.5,15.5
x_IO_InvDuration,72.0,4.0
x_12QTrendTTMEPS,72.0,6.0
x_IndRel_RONA,72.0,24.0
x_ROA_2,72.0,11.0
x_IndRel_CapExToAst,71.5,2.5
x_InvToAstChg1Y,71.5,15.5
x_RevMagFY1C,71.5,1.5
x_EPSEstDispFY1C,71.5,2.5
x_AdjAstAdjChg1YFCF,71.0,14.0
x_PSlopeSERR_26W,70.5,18.5
x_6MChgTgtPrcGap,70.0,1.0
x_ChgSalestoChgEPS,69.0,10.0
x_RecTurn,69.0,9.0
x_52WSlope,69.0,3.0
x_IndRel_FwdEPC,68.5,0.5
x_IndRel_DebtChg1Y,68.5,2.5
x_IndRel_BP,68.0,13.0
x_PM5D,68.0,4.0
x_IndRel_FwdFCFPC,67.5,6.5
x_SalesToEPSChg,67.0,17.0
x_AnnVol1M,67.0,0.0
x_IndRel_AccrualRatioBS,67.0,22.0
x_IndRel_PTMargin,66.5,14.5
x_REToAst_2,66.5,6.5
x_WCAccruals,66.0,7.0
x_InvToAsset,66.0,3.0
x_IndRel_TobinQ,66.0,2.0
x_IndRel_DivP,65.5,0.5
x_90DCV,65.5,3.5
x_IO_BreadthStabHD,65.0,7.0
x_IndRel_Chg1YOCF,65.0,17.0
x_IndRel_PM6M,65.0,19.0
x_BVEV,64.5,2.5
x_EPSStab,64.5,26.5
x_IndRel_LTDA,64.0,0.0
x_IndRel_PM5D,64.0,5.0
