feature,importance_mean,importance_std
x_SUEC,7.117302023938862,1.79531822983137
x_RevEstDisp,3.0161541898587734,0.5502160746540585
x_EPSEstDispFY1C,1.9053625279081372,0.5263084466933037
x_EPSNumRevFY1C,1.1277839527189415,0.16444541117844846
x_IndRel_EPSEstDispFY1C,1.1151538166128612,0.33512206162836344
x_IndRel_SUEC,1.0567077591966445,0.0335050954289825
x_EBITEstDisp,1.052990495146756,0.07989217398093384
x_ChgATO_2,1.0519827268431428,0.140370518899673
x_GPMargin,0.9186547440829094,0.504478826730133
x_CashAst,0.8898943702015041,0.06960134653723965
x_EPSStab,0.8674242974120273,0.5826798574599751
x_52WSlope,0.8410242121130469,0.18485958641631622
x_IndRel_ShortIntTrdVol,0.793975151704818,0.1558681701563731
x_ROEStab,0.7677673961335648,0.14905495919258915
x_Alpha36M6MPChg,0.7619150231312699,0.22047367767194437
x_STO_6M,0.7432890683454159,0.04152018892615078
x_CapAcqRatio,0.7288202818476484,0.1346492071054075
x_Chg1YAmihud,0.7058800894614611,0.2853928475644487
x_Alpha18M6MPChg,0.6859477265418183,0.1901451035776892
x_6MChgTgtPrcGap,0.6848247264140072,0.13174899626491987
x_IO_TO,0.6795428155685309,0.23431213282823038
x_6MChgTgtPrcGapEMA,0.6645203558009876,0.3292653445964975
x_6MAvgChg1MRecC,0.6614153420885218,0.022927225734376777
x_RskAdjRS,0.643863282905346,0.11524181141592238
x_IndRel_FwdFCFPC,0.6195550581546561,0.31484684053391726
x_CFP,0.6137383022655216,0.1638413150685742
x_14DayRSI,0.608725823685854,0.2566917230108314
x_IO_ChgofIO_AM,0.6069659069550459,0.045355608210387865
x_IndRel_DepToCapex,0.6037091281706883,0.3468692882950421
x_PM1M,0.5853937494216038,0.20992883562017065
x_ShortIntRatio,0.5844753938522669,0.039253266112030005
x_5DVolSig,0.5824362204066786,0.18188397457921301
x_IndRel_CFROIC,0.5686570610160889,0.31396261911069456
x_IO_Level_AM,0.5661760191246437,0.024170023435447663
x_SharpeRatio,0.5648368071397729,0.09122095320281123
x_IndRel_PM1M,0.5628370215002292,0.31278615269082444
x_IO_ChgofNumBY,0.562003585396051,0.24573790828095549
x_IndRel_CFEV,0.5500752505486326,0.3223181318833924
x_RelPrStr_12M,0.5491744182923095,0.12920075555767024
x_IndRel_ROIC,0.5324707784667783,0.19633122378126475
x_130DMinRtn,0.5324366144025406,0.21014239019754508
x_IndRel_CashAst,0.5315570455131813,0.3106625777528471
x_EPSEstDispFY2C,0.5304136610977714,0.30691782725984496
x_SalesToInvCap,0.5210692969893391,0.09072892628610077
x_HL52W,0.5166308869775882,0.4174067729724845
x_Beta60M,0.5150417522624634,0.21103527177240297
x_Alpha12M6MPChg,0.513382002363925,0.03457872409525395
x_IO_BreadthStabHD,0.5103057410179966,0.139649318460475
x_IndRel_SP,0.5053447641628696,0.07678036282592851
x_Chg1YTurnover,0.4993657753177608,0.05274111500249484
x_CQDOHtoSales,0.4985744257936754,0.31581255641927397
x_IO_StabofChgHD,0.4973932373066221,0.001014200877241661
x_EPSToOCFChg,0.4956645200995446,0.23976022318996898
x_PSlopeSERR_26W,0.49446948631555543,0.08064857106705181
x_IndRel_Chg1YOCF,0.490574701561457,0.11001595524563668
x_60MAVGTTMROE,0.4895934793360637,0.010530859492998784
x_IndRel_CashCycle,0.4881264729566577,0.005266326058209175
x_PM6M,0.4879811524953084,0.035759823248040945
x_Chg4QSalesTrend,0.4840948424976599,0.05339503461451231
x_AdjEPSNumRevFY2C,0.47253006461561053,0.06095296497545852
x_IndRel_DivP,0.4715666246939655,0.14986223442811128
x_CashEV,0.4702827992114822,0.1477561047401005
x_LTDA,0.4655094952999389,0.3130945368268534
x_SalesToEPSChg,0.45256626706214287,0.1422946330346914
