feature,importance_mean,importance_std
x_RevEstDisp,184.5,11.5
x_Alpha36M6MPChg,120.5,1.5
x_SalesAcc,120.0,18.0
x_Adj50DVolSig,116.5,2.5
x_5DVolSig,115.5,10.5
x_CVVolPrc20D,115.0,35.0
x_Alpha18M6MPChg,114.5,23.5
x_IO_ChgofNumBY,114.0,2.0
x_RskAdjRS,113.0,4.0
x_CVVolPrc60D,111.5,7.5
x_Chg1YAmihud,111.5,0.5
x_6MChgTgtPrcGap,110.5,0.5
x_IO_ChgofIO_HF,108.5,1.5
x_EBITEstDisp,107.0,18.0
x_IO_ChgofIO_AM,105.0,24.0
x_IO_StabofChgHD,105.0,3.0
x_EPSStab,103.0,2.0
x_IndRel_ShortIntTrdVol,102.0,34.0
x_Chg4QSalesTrend,101.5,12.5
x_Alpha12M6MPChg,101.0,23.0
x_IndRel_EPSEstDispFY1C,98.0,14.0
x_BuyToSellRecLess3MEMA,96.5,17.5
x_IO_Level_AM,96.0,13.0
x_SUEC,96.0,10.0
x_IndRel_SUEC,95.5,5.5
x_Chg1YTurnover,95.0,4.0
x_IO_NAT,95.0,3.0
x_IndRel_PM5D,94.5,8.5
x_EPSNumRevFY1C,92.5,2.5
x_RecTurn,92.5,18.5
x_PM1M,92.0,22.0
x_HL1M,91.5,1.5
x_6MAvgChg1MRecC,90.0,4.0
x_IndRel_GPMargin,89.5,14.5
x_14DayRSI,89.0,7.0
x_AnnVol1M,88.0,27.0
x_6MChgTgtPrcGapEMA,87.5,33.5
x_RevMagFY1C,87.5,9.5
x_ChgATO_2,87.0,1.0
x_IO_InvDuration,87.0,1.0
x_PM5D,85.5,2.5
x_DepToCapex,85.5,5.5
x_IndRel_CapExToAst,84.0,15.0
x_IO_Concentration,84.0,10.0
x_IndRel_AstP,84.0,0.0
x_DebtChg1Y,83.5,0.5
x_IO_Foreign,83.5,26.5
x_5DMoneyFlowVol,83.0,1.0
x_EPSEstDispFY1C,83.0,29.0
x_IndRel_OEA,82.5,13.5
x_IndRel_RONA,82.5,7.5
x_IndRel_DepToCapex,82.0,1.0
x_CVVolPrc30D,81.5,4.5
x_IndRel_DebtChg1Y,81.0,5.0
x_MaxRetPayoff,81.0,10.0
x_SalesToEPSChg,80.5,2.5
x_CashAst,80.0,14.0
x_IndRel_MaxRetPayoff,79.5,0.5
x_EPSToOCFChg,79.5,22.5
x_IndRel_PM1M,79.0,13.0
x_Beta60M,78.5,3.5
x_ShortIntRatio,78.5,6.5
x_IndRel_TobinQ,78.5,10.5
x_TobinQ,78.5,0.5
x_IO_BreadthStabHD,78.5,2.5
x_IO_TO,78.5,2.5
x_IndRel_CFEV,78.0,5.0
x_UnexpectedRecChg,78.0,12.0
x_IndRel_PM6M,77.5,11.5
x_IndRel_RecTurn,76.5,15.5
x_LogTTMSales,76.5,12.5
x_LogUnadjPrice,76.5,5.5
x_IndRel_PTMargin,76.0,5.0
x_PA52WL20DLag,75.5,21.5
x_BVEV,75.5,10.5
x_IO_Level,75.5,1.5
x_STO_6M,74.0,2.0
x_AstGrwth,73.5,15.5
x_WCAccruals,73.5,5.5
x_Chg1YOCF,73.0,1.0
x_AdjRevMagC,72.5,1.5
x_IndRel_ROE,72.0,10.0
x_IndRel_AccrualRatioBS,72.0,3.0
x_130DMinRtn,72.0,13.0
x_90DCV,71.5,10.5
x_IndRel_CashAst,71.5,2.5
x_12QTrendTTMEPS,71.5,11.5
x_IndRel_Chg1YOPM,71.5,13.5
x_Chg3YOPM,71.0,13.0
x_EPSEstDispFY2C,71.0,9.0
x_IndRel_EPSSurpC,70.5,6.5
x_ROEStab,70.0,2.0
x_Chg1YOPM,70.0,11.0
x_ChgSalestoChgEPS,69.0,12.0
x_IndRel_LTDA,69.0,7.0
x_InvToAstChg1Y,69.0,23.0
x_ChgSalesMargin,69.0,29.0
x_RelPrStr_12M,69.0,5.0
x_IndRel_ShareChg,68.0,8.0
x_LogAssets,67.5,5.5
x_IndRel_AssetTurn,67.5,1.5
x_IndRel_SP,67.5,8.5
x_Chg1YROA,67.0,3.0
x_AdjAccruals,66.0,3.0
x_REToAst_2,66.0,1.0
x_IndRel_AccrualRatioCF,66.0,14.0
x_IndRel_Chg1YOCF,66.0,14.0
x_IndRel_ChgSalesMargin,65.5,8.5
x_IndRel_PM9M,65.5,11.5
x_Chg1YLTDA,65.5,6.5
x_6MChgTgtPrc,65.5,3.5
x_IndRel_FwdEPC,65.0,6.0
x_IndRel_PAdjChg1YSales,65.0,21.0
x_StdErr180D,64.5,8.5
x_52WSlope,64.5,11.5
x_IndRel_ROA,64.5,9.5
x_IndRel_PTIP,64.5,11.5
x_IndRel_SolvencyRatio,64.0,7.0
x_IndRel_ROIC,63.5,3.5
x_IndRel_AdjAccruals,63.0,4.0
x_IndRel_InvToAsset,62.5,1.5
x_IndRel_FwdFCFPC,62.0,15.0
x_IndRel_InvToAst,62.0,1.0
x_IndRel_FCFEqt,62.0,7.0
x_IndRel_NCAP,61.5,6.5
x_FCFEqt,61.0,18.0
x_PAdjChg1YSales,60.5,4.5
x_IndRel_BP,60.0,4.0
x_IndRel_CFROIC,60.0,3.0
x_60MAVGTTMROA,59.0,2.0
x_52WVPT20DLag,59.0,4.0
x_YoYChgDA,58.5,11.5
x_IndRel_EPSToSalesChg1Y,58.5,18.5
x_PAdjChg3YSales,58.5,3.5
x_IndRel_EBITDAEV,58.5,6.5
x_MVEToTL,57.5,4.5
x_60MAVGTTMROE,57.5,11.5
x_AdjFwdFCFPC,57.0,4.0
x_AdjChgEPStoSales,57.0,10.0
x_BP,56.5,12.5
x_SEV,56.5,5.5
x_PAdjChg3YEPS,56.5,8.5
x_CapExToAst,56.0,4.0
x_InvToAsset,56.0,3.0
x_IndRel_EP,56.0,11.0
x_ShareChg,55.5,3.5
x_IndRel_PM12M1M,55.5,8.5
x_IndRel_CashP,55.5,10.5
x_PrcTo52WH,55.5,4.5
x_PM9M,55.5,15.5
x_ConsQPosChgTTMEPS,55.0,9.0
x_AccrualRatioBS,55.0,6.0
x_GPMargin,55.0,6.0
x_CashCycle,53.5,0.5
x_LTDA,53.5,0.5
x_RONA,53.5,2.5
x_IndRel_LTDE,53.0,4.0
