feature,importance_mean,importance_std
x_SalesAcc,0.015991831,0.0015393705
x_RevEstDisp,0.013500957,0.0007050773
x_AdjRev3MFY1C,0.012918268,0.003801507
x_Chg4QSalesTrend,0.010193737,0.0018462529
x_CashEV,0.009726235,0.00097333454
x_EBITMargin,0.008423731,0.0011618685
x_EBITDAEV,0.008117156,0.0035451446
x_SalesToInvCap,0.007454701,0.0012107834
x_AdjChgEPStoSales,0.007082803,0.0022378608
x_PM6M,0.0070391917,2.8204173e-05
x_IndRel_ROA,0.0069529656,9.141746e-05
x_IndRel_ROIC,0.0067741764,0.0005952795
x_ChgSalesMargin,0.006724404,0.0005088486
x_IndRel_GPMargin,0.0065793507,0.00084169954
x_PrcTo260DL,0.006555571,0.00051036547
x_LogTTMSales,0.0064901067,0.0007666934
x_CashAst,0.0064230273,0.0012095959
x_InvToAstChg1Y,0.0063950624,0.0014994543
x_52WVPT20DLag,0.0063763843,0.001267272
x_AdjFwdEPC,0.0063647036,0.0007559061
x_CashBurn,0.006288274,0.0024971433
x_PA52WL20DLag,0.0062852735,0.0014066168
x_24MResRtnVar,0.0062240902,0.0017867598
x_CashCycle,0.006186166,0.00055009173
x_FCFEqt,0.006139478,0.0010094894
x_IndRel_CashCycle,0.006133928,0.0004020459
x_SUEC,0.006084685,0.00058527314
x_Chg1YOPM,0.006058397,3.0027004e-05
x_CFAst,0.006033449,0.00030847313
x_EPSEstDispFY2C,0.0059584454,0.000704312
x_CapAcqRatio,0.005902907,0.0013889556
x_TobinQ,0.005852507,0.0014913101
x_IndRel_OCFP,0.005764132,0.00028802222
x_IndRel_CashEV,0.0057586357,0.00090524415
x_AstAdjChg1YCF,0.0057434104,0.0010173512
x_IndRel_SolvencyRatio,0.0057345554,0.001233374
x_DivP,0.0057266727,0.0013611151
x_PAdjChg1YOCF,0.0056841234,0.0016341934
x_UnexpectedRecChg,0.005676602,0.00020519458
x_AccrualRatioCF,0.005670548,0.0015054313
x_PM9M,0.0056554303,0.0021569761
x_CapExToAst,0.005547909,0.0017085325
x_IndRel_CashAst,0.005526413,0.00013688486
x_AstGrwth,0.005524328,0.0012091964
x_AstAdjChg3YEPS,0.0055088364,0.00087800925
x_BP,0.0054378137,0.00075140013
x_Rev3MFY2C,0.005422665,0.0019257071
x_GPMargin,0.0053211567,1.9790605e-07
x_DepToCapex,0.0052346285,5.371077e-05
x_PAdjChg3YSales,0.0052043577,0.0007863203
x_HL52W,0.0051904717,0.0014199787
x_RevMagFY1C,0.005184862,0.002675629
x_IO_Level,0.005145845,0.00016013929
x_6MChgTgtPrc,0.005123351,0.00036299834
x_IndRel_CFP,0.005114213,0.00012631621
x_StdErr180D,0.005101078,0.001979079
x_IndRel_PTIP,0.005089137,0.00032709655
x_IndRel_TotalAccruals,0.0050665606,0.0003990694
x_CVVolPrc30D,0.0050260103,0.00040362542
x_IndRel_AssetTurn,0.0050247554,0.0012351532
x_OCFAst_2,0.005007185,0.0013772792
x_IndRel_PM9M,0.0049916366,0.000871842
x_IndRel_FCFEV,0.004965989,0.0011107471
x_PM1M,0.004948061,0.00056251534
x_PAdjChg3YEPS,0.004926225,5.57811e-05
x_IO_Concentration,0.004878447,0.00089129433
x_IndRel_FCFEqt,0.0048396084,0.000893194
x_IndRel_RONA,0.004819289,1.7345184e-05
x_IndRel_ROE,0.0048185056,0.0002528818
x_DivToCF,0.0048039383,0.0012115663
x_RecTurn,0.004803134,0.00056357146
x_IndRel_NCAP,0.0047967164,0.00052955793
x_CFEV,0.004793697,0.00042290497
x_EBITEstDisp,0.004776001,0.00027876557
x_IndRel_SP,0.004766852,0.0024166754
x_52WSlope,0.0047443956,0.0017130666
x_MaxRetPayoff,0.0047227163,0.0011433901
x_AccrualRatioBS,0.0046158624,0.00057068514
x_6MAvgChg1MRecC,0.0045694816,0.00012060534
x_Chg1YOCF,0.0045551746,1.9266736e-05
x_IO_StabofChgHD,0.0045453603,6.893277e-05
x_EPSNumRevFY1C,0.0045203096,0.0017637546
x_IndRel_ChgSalesMargin,0.004510625,0.00019788835
x_STO_6M,0.0045100246,0.0013587949
x_LogAssets,0.0044972347,5.097431e-05
x_ROA_2,0.0044731963,0.000112077454
x_AstAdjChg1YOCF,0.0044598496,0.00076555356
x_EPSEstDispFY1C,0.0044498555,0.0005320769
x_IndRel_AstP,0.0044023367,0.0004642466
x_IndRel_ShareChg,0.0044009425,0.0008004609
x_PTIToNOA,0.00440016,0.0003125975
x_IndRel_CashP,0.0043984605,1.8772436e-05
