feature,importance_mean,importance_std
x_RevEstDisp,5.9728354507309565,0.34201509112728035
x_ChgSalesMargin,1.7062633844523636,0.2240511117038244
x_Chg4QSalesTrend,1.6540809943040482,0.4675487431945189
x_LogTTMSales,1.6087648397447696,0.506142701110666
x_SalesAcc,1.5980553256346488,0.5023482826069332
x_GPMargin,1.2336636406712167,0.539339275173829
x_IndRel_ShortIntTrdVol,0.9575968735322987,0.008523305850306917
x_WCAccruals,0.8847457007742576,0.403406447334574
x_IndRel_PTMargin,0.8731409075069076,0.4056170329783293
x_DivP,0.8727583367875148,0.24575846660009193
x_SharpeRatio,0.8596467756037357,0.40411956727459847
x_DivToCF,0.8457487537142891,0.09691566991388151
x_EPSStab,0.823953933382551,0.4398707637953348
x_Beta60M,0.8205300794602775,0.1953144384732744
x_IndRel_PM6M,0.8094027646664161,0.18446790373804883
x_PrcTo260DL,0.7976903898363986,0.010575186926935598
x_RevMagFY1C,0.7967802194906336,0.22965348181944079
x_CashAst,0.774224653634662,0.12860886307289793
x_Alpha12M6MPChg,0.7398550045678821,0.20684044999875273
x_IndRel_DepToCapex,0.7312260094126285,0.3013370431695001
x_14DayRSI,0.728960110819888,0.29878077418055254
x_SEV,0.7264135044406959,0.09144495435097982
x_AssetTurn_2,0.7172840951503519,0.09363507007656108
x_IndRel_EPSSurpC,0.7028175170215734,0.07995044619774266
x_CVVolPrc60D,0.693070421243003,0.06440753767853552
x_IndRel_EPSEstDispFY1C,0.6911170185752518,0.06659949375809315
x_IndRel_WCAccruals,0.6906336678075633,0.263010199949051
x_IndRel_CapExToAst,0.6792755938854487,0.28812772469009595
x_AdjFwdEPC,0.6635861117870056,0.46679832563597834
x_5DMoneyFlowVol,0.6626794305443311,0.0358061878982982
x_DepToCapex,0.6625866818228573,0.1234470186548754
x_IO_Concentration,0.6504691841599541,0.09801386705707527
x_IndRel_FCFEqt,0.646958297886544,0.10410105624781835
x_AdjRevMagC,0.6424652266898514,0.16208960610527937
x_EBITEstDisp,0.632010144391667,0.1576947981849633
x_PM6M,0.6274036994215179,0.13357960918284462
x_UnexpectedRecChg,0.6268195818475429,0.15556647189885978
x_AdjFwdFCFPC,0.6149162584056539,0.2547086696204556
x_IndRel_RecTurn,0.6077970913397917,0.0452402164518515
x_IO_InvDuration,0.6045830450246392,0.4783611696163747
x_24MResRtnVar,0.5978252569037295,0.08817382242139199
x_EPSNumRevFY1C,0.5891428304790796,0.2606224425284836
x_IndRel_PM9M,0.5613158113589367,0.21768183096246768
x_IndRel_FwdEPC,0.557117483026829,0.18449282110993825
x_SalesToInvCap,0.5561526502687196,0.034746267077208515
x_EBITDAEV,0.5448853051410963,0.0659771975591675
x_FCFP,0.5394734738067999,0.036772935139892104
x_Chg1YOPM,0.5393967953601867,0.2177006064943865
x_CashCycle,0.5373204723660028,0.010574525747867825
x_Rev3MFY2C,0.533452228870113,0.07176365130699869
x_AdjChgEPStoSales,0.5311240184167899,0.10323959297535065
x_CFEV,0.5179925801892521,0.16446674612123727
x_IO_Level_AM,0.5169243721405,0.2167899255037318
x_PA52WL20DLag,0.5093179089473363,0.08741730842698264
x_CapExToAst,0.5073392380824511,0.09566120528168176
x_EPSEstDispFY2C,0.50636176361508,0.1926972806831078
x_IO_ChgofNumBY,0.5045528678021995,0.03895679417813197
x_130DMinRtn,0.5038844581087267,0.07101120359083099
x_CashBurn,0.5003464682233059,0.015023626391691913
x_IndRel_CashEV,0.498892488920202,0.22673241556328014
x_PAdjChg3YEPS,0.4968988178648789,0.06110714362165029
x_Chg1YOCF,0.49437180242095646,0.04036619442395839
x_Chg3YOPM,0.4938763424075088,0.1511433118099981
x_IndRel_CashP,0.4933774615260852,0.2050692485908725
x_OCFAst_2,0.48539903332565193,0.018309826088878517
x_PM5D,0.47898463520181733,0.14646145881688566
x_STO_6M,0.47749320494377434,0.2737282674887538
x_IndRel_InvToAst,0.4747180726500843,0.23820029240955282
x_LogUnadjPrice,0.4711376282202784,0.2774900881378754
x_IndRel_Chg1YOCF,0.4693613081905844,0.053135394125062324
x_IndRel_PM1M,0.4681614827208854,0.08162730215659295
x_Chg1YAmihud,0.4652083865990163,0.04049954019538571
x_IndRel_AccrualRatioBS,0.4645190737347358,0.31812266006796586
x_IndRel_ROA,0.46385828025274434,0.10600920732017052
x_IndRel_CashCycle,0.4629687907982716,0.16185406896522167
x_RskAdjRS,0.4611389410668355,0.03764546739732472
x_Alpha60M,0.4607470214594406,0.23751858118026728
x_AdjRev3MFY1C,0.46069106965138684,0.16575812612862775
x_LogAssets,0.4509646432839233,0.10836625487060009
x_PAdjChg1YOCF,0.4483361341426418,0.16140592904933687
x_TobinQ,0.4473672532144769,0.14089671781997412
x_IndRel_InvToAsset,0.4463913782786232,0.13100694440505314
x_AnnVol12M,0.4460172159299002,0.016315597811316168
x_ROEStab,0.4440279214112825,0.2633574448764953
x_InvToAstChg1Y,0.4436191178432829,0.005938668580256101
x_CashP,0.43854973530727054,0.043210393773552014
x_SUEC,0.438180260773139,0.050003984908986804
x_60MAVGTTMROA,0.4376316419149323,0.23625418044021515
x_ShortIntRatio,0.4369334255577223,0.18405168135231204
x_90DCV,0.4356826760821203,0.18240752053705594
x_BVEV,0.42974127044561017,0.13924445353070294
x_IO_BreadthStabHD,0.4262643468632129,0.11350036748070091
x_IO_Foreign,0.4232037600299099,0.09852519142070348
x_IndRel_PM5D,0.4185633925584257,0.058577742019569834
x_EPSEstDispFY1C,0.4156977422422808,0.038265076489535255
x_AdjEPSNumRevFY2C,0.4145381722376596,0.16380952553938816
x_IO_ChgofIO_HF,0.4101548281548284,0.10286503351873608
x_IndRel_ChgSalesMargin,0.4043986838169558,0.055987672747958184
x_ChgSalestoChgEPS,0.40056550194393126,0.07346213028296492
x_AdjEBITDAEV,0.4005139253059713,0.30977495074003925
x_MaxRetPayoff,0.39572211007259933,0.08853658669115261
x_SalesToEPSChg,0.3941848013331188,0.23113123971560817
x_AstAdjChg3YEPS,0.39331147825249824,0.23979705105885207
x_CashAdjEV,0.3917993481955486,0.050563895586948376
x_ConsQPosChgTTMEPS,0.3874937858761615,0.20819225763896507
x_AdjAstAdjChg1YFCF,0.3861137018256898,0.12229913340506249
x_AdjAccruals,0.38311521813361055,0.25230828048583964
x_AstAdjChg1YOCF,0.3826226268155673,0.20185421099950557
x_6MChgTgtPrcGap,0.38102134962120837,0.23622200237715177
x_ChgATO_2,0.37885614025539754,0.15068235995670137
x_IndRel_SUEC,0.3762759904592232,0.2227469263847601
x_52WVPT20DLag,0.37513871898259865,0.19828628108998436
x_IndRel_GPMargin,0.37086497781044925,0.06772681803704012
x_IndRel_PAdjChg1YSales,0.3693618785336462,0.08652866028440856
x_PTIToNOA,0.3684413487818742,0.11518716570525314
x_IndRel_LTDE,0.3682844258614075,0.03983802842446452
x_Chg1YLTDA,0.3663789968626692,0.032552298550560244
x_PAdjChg1YSales,0.3650203631626945,0.027918629979856502
x_CFIC,0.360733148840913,0.13164865770471787
x_PAdjChg3YSales,0.35875800990502593,0.1761204853864171
x_ROA_2,0.3568653117376629,0.025267090498794664
x_AnnVol1M,0.35352145609732655,0.15479248785676247
x_6MChgTgtPrc,0.35303817005710736,0.034032914807587494
x_RecTurn,0.350994988029534,0.011938873008586787
x_IndRel_RONA,0.34966467646975713,0.01890217456184673
x_PAdjChg1YEPS,0.3489749054257485,0.033538612920131355
x_AstGrwth,0.34856772941816805,0.026703102174600507
x_IO_BreadthStabBY,0.34665573460661075,0.011509534759038154
x_LTDA,0.3458200364903604,0.026349649337337494
x_Alpha18M6MPChg,0.3323857152107179,0.00846683808835516
x_PM1M,0.33216768132196695,0.028935908366478358
x_IndRel_CashAst,0.32868945465418725,0.11027102421885449
x_AccrualRatioCF,0.3262669145161745,0.012103773097101173
x_IndRel_PM12M1M,0.3259596127433728,0.0005608868800266731
x_FL,0.32383859075754595,0.22137361694485191
x_InvToAst,0.3219105056120502,0.09517555746701363
x_MVEToTL,0.32097290138471746,0.06753845707608605
x_IndRel_OEA,0.3186348122134377,0.2286094629301504
x_12QTrendTTMEPS,0.31101266937583916,0.00714624413751222
x_IndRel_ShareChg,0.3098632763980734,0.12360444742164006
x_ShareChg,0.3087784430167269,0.06938613368940294
x_CapAcqRatio,0.30608343295497575,0.13202399143652357
x_CashEV,0.30453569729414676,0.10409510374393764
x_Chg1YROA,0.3003699067377385,0.07685110829725698
x_6MAvgChg1MRecC,0.2995811323737476,0.14550222318442288
x_IndRel_AssetTurn,0.29790391507189035,0.0755552622530924
x_AdjEPSNumRevFY1C,0.29351438075889114,0.05435669947950564
x_IndRel_DebtChg1Y,0.29245875788628267,0.03469942508857715
x_PM9M,0.29111839289985375,0.0586414732375137
x_60MAVGTTMROE,0.29075243152335406,0.04939016453081739
x_IndRel_SolvencyRatio,0.2869282206970175,0.0564325389564002
x_IndRel_CFROIC,0.2838489235649946,0.08892079341783238
x_IndRel_OCFP,0.2832945636613343,0.026072862597756707
x_Adj50DVolSig,0.2788151538801223,0.05352845281489611
x_IndRel_FCFP,0.2721636298951585,0.07930436764184437
x_CQDRItoSales,0.2717419301691716,0.12694786220326487
x_IndRel_EBITDAEV,0.2703123520208931,0.04111896095370972
x_RONA,0.2688543131700401,0.012696159039815413
x_IO_TO,0.2661600704448832,0.06945942970194433
x_FCFEqt,0.2654225928332433,0.10010714156030501
x_EPSToOCFChg,0.2632123163876198,0.053461800753670956
x_52WSlope,0.2613207794753024,0.05502778844312428
x_AccrualRatioBS,0.260697869137356,0.033893868404575034
x_IndRel_AccrualRatioCF,0.25962263605812724,0.0538340768910771
x_HL1M,0.25797679004931373,0.18116074318182823
x_PrcTo52WH,0.25634630924673235,0.1025183374053149
x_CVVolPrc30D,0.2554910891632761,0.01757227908498346
x_HL52W,0.25446087090787595,0.09003181032466578
x_5DVolSig,0.2531441083019332,0.01656063579859514
x_IndRel_SEV,0.2493176167953477,0.07543406661533923
x_IO_ChgofIO_AM,0.248455792803431,0.03597987478914577
x_IO_StabofChgHD,0.24801098248929332,0.04387944698523126
x_IndRel_TotalAccruals,0.24759756913918263,0.0012421943999393753
x_REToAst_2,0.2455432327875774,0.14823651740865623
x_4To52WPrcOsc,0.24194038610270777,0.1440086184214316
x_EBITMargin,0.24022392168457443,0.14792147488713778
x_Chg1YTurnover,0.23932878481775238,0.010464813735390543
x_IndRel_CFEV,0.23853146331136194,0.05186901109426788
x_IndRel_ROIC,0.23788949039151525,0.10076229127289217
x_IO_NAT,0.23463644266011258,0.09678103502568003
x_BuyToSellRecLess3MEMA,0.23231807324241305,0.04155604915911293
x_IO_Level,0.23102803953263934,0.03981454782081613
x_IndRel_DivP,0.2278389169562246,0.07593299683369757
x_IndRel_EPSToSalesChg1Y,0.227206861429715,0.020162274693328652
x_BP,0.22693167878834758,0.03870820725650513
x_YoYChgDA,0.22210576978873356,0.04746645769142968
x_IndRel_AstP,0.21192684497151376,0.022489960684963617
x_Alpha36M6MPChg,0.21124063493844336,0.17419964441194075
x_CFP,0.2092791765848103,0.00415741687874413
x_IndRel_EBITDAP,0.20877930533016836,0.08029446634468039
x_IndRel_BP,0.20814157758568097,0.06218000184435707
x_IndRel_MaxRetPayoff,0.20692629179622282,0.08917041540537919
x_IndRel_OCFEV,0.20442710371494083,0.17440105442313192
x_IndRel_PAdjChg1YEPS,0.19966623923707272,0.009724048580887143
x_CQPTTMCFtoSales,0.19818382761329928,0.05974146202233227
x_IndRel_EP,0.19232878985499374,0.0414451284105032
x_ConsQPosChginTTMCF,0.18492640055820475,0.14742230174702195
x_IndRel_AdjAccruals,0.1842480445827548,0.021946301440433386
x_ETO,0.1838623391189026,0.11326337782062484
x_AdjEBITP,0.18278519792857567,0.11929701864225555
x_STO,0.1812964671147956,0.15650680473036524
x_CVVolPrc20D,0.18061034683289373,0.03963315773546361
x_IndRel_Chg1YOPM,0.17882421266004483,0.0249006519386768
x_AstAdjChg1YCF,0.17731082492731062,0.08902157478034044
x_6MChgTgtPrcGapEMA,0.17557013006368455,0.061145155042560954
x_ROE,0.17104511527049465,0.04111859580446481
x_IndRel_FwdFCFPC,0.16815610602670425,0.0329204521790418
x_IndRel_CFP,0.1634293660887596,0.09683906619089908
x_CFAst,0.1568911852233292,0.08144015170464677
x_IndRel_ROE,0.15198905941237556,0.03944825087202876
x_IndRel_NCAP,0.15129906324698217,0.05816401918944233
x_IndRel_DA,0.14496748136971915,0.03407065017318948
x_InvToAsset,0.14455662500126792,0.06221025457048424
x_StdErr180D,0.13919024745108138,0.09497236704997869
x_PSlopeSERR_26W,0.13793990840862955,0.034276019579546485
x_CQDOHtoSales,0.131191431091869,0.07445346187516978
x_AdjSTO_6M,0.13067003755805265,0.07561849681902154
x_IndRel_FCFEV,0.12505636771208278,0.0665394076881797
x_IndRel_LTDA,0.12466439201613533,0.06076572488273927
x_IndRel_TobinQ,0.119147307918375,0.0433953897929901
x_DebtChg1Y,0.11136895337444246,0.005925341724237948
x_IndRel_SP,0.09309526046885412,0.08447272253664291
x_RelPrStr_12M,0.09266850907213342,0.02897689086000626
x_IndRel_OEP,0.08535827658926694,0.05729323714783963
x_calendarquarter,0.07257770383452145,0.07257770383452145
x_IndRel_PTIP,0.06540068047146515,0.03129803524087375
