feature,importance_mean,importance_std
x_SUEC,0.050039656,0.0032613985
x_RevEstDisp,0.015592713,0.0021955823
x_IndRel_FCFP,0.01203629,0.0016345098
x_IndRel_SUEC,0.011800876,0.0016874704
x_EBITEstDisp,0.010447357,0.0040786657
x_EPSNumRevFY1C,0.008768102,0.0012677307
x_AdjFwdEPC,0.008705799,5.7159457e-05
x_SalesToInvCap,0.008562544,0.0029554716
x_AstAdjChg1YOCF,0.007818906,0.0027800384
x_AdjRev3MFY1C,0.0075500496,0.0029029567
x_EPSEstDispFY1C,0.0074231215,0.0010204862
x_AdjEPSNumRevFY1C,0.007027833,0.002972831
x_DivP,0.0067098076,0.0007536907
x_IndRel_EP,0.006685348,0.0004099463
x_IndRel_PTIP,0.0065743853,0.00010796171
x_AdjRevMagC,0.0064182915,0.0015548021
x_RevMagFY1C,0.006351414,0.0026383314
x_Rev3MFY2C,0.0063128825,0.00025457167
x_Beta60M,0.0062812003,0.0002307999
x_TobinQ,0.0061541046,0.001905032
x_WCAccruals,0.006103427,0.00063808705
x_IndRel_SEV,0.006037218,0.0002329438
x_CapAcqRatio,0.006019396,0.00085169845
x_AdjEBITP,0.005997233,0.00039694668
x_IndRel_ROA,0.005980637,0.0012839178
x_GPMargin,0.005925471,0.00013034744
x_LogAssets,0.0057371943,0.0011273446
x_AdjAstAdjChg1YFCF,0.0056516463,0.00127285
x_InvToAst,0.0056422427,0.0008071477
x_CashAst,0.0055825026,0.0012535807
x_IndRel_ROIC,0.00556257,0.0012377787
x_CFP,0.005505969,0.0014196322
x_RONA,0.0054100575,0.00017429516
x_IndRel_PTMargin,0.005392233,0.00086338585
x_130DMinRtn,0.005336473,0.00057913037
x_CFEV,0.005311178,0.0007766749
x_IndRel_WCAccruals,0.005284218,0.0010339189
x_IndRel_BP,0.0052303444,0.0010466338
x_EPSEstDispFY2C,0.005093899,0.0010131611
x_EBITMargin,0.0050627855,0.00012598513
x_IndRel_DivP,0.005019276,0.00072075706
x_IndRel_AssetTurn,0.004959372,0.0011457638
x_IndRel_SP,0.004952359,0.0003688389
x_IndRel_EBITDAP,0.0049337735,0.0013083096
x_FCFEqt,0.004886998,0.00037250482
x_EBITDAEV,0.004883947,0.0012434216
x_14DayRSI,0.0048430357,0.0003377369
x_IndRel_TobinQ,0.0047908984,0.0005391787
x_IndRel_PAdjChg1YSales,0.004751182,0.000530411
x_IndRel_ROE,0.0047504376,0.0012047165
x_IndRel_PAdjChg1YEPS,0.004722705,0.00037339958
x_IO_InvDuration,0.004720165,0.00090267835
x_LTDA,0.0047022467,0.0014676775
x_IndRel_Chg1YOCF,0.004694888,0.0008947975
x_IndRel_OCFEV,0.0046910015,0.0005038264
x_Adj50DVolSig,0.004659508,0.00034970464
x_IndRel_CFROIC,0.0046462584,0.0011069538
x_CFIC,0.004631771,0.00032396545
x_IndRel_CashP,0.0046255584,0.000537327
x_IndRel_NCAP,0.004622015,0.0005647929
x_CashCycle,0.00462054,0.0011438441
x_CVVolPrc30D,0.0046071,0.00091305654
x_IndRel_CashAst,0.0045978036,0.0005368241
x_LogTTMSales,0.004584903,0.0006949847
x_IndRel_ShareChg,0.004582106,0.00035888772
x_RecTurn,0.004554555,0.0005772419
x_PAdjChg1YEPS,0.0045460723,0.00029858365
x_ETO,0.004526077,0.00013644807
x_ShortIntRatio,0.00452385,9.764335e-05
x_IndRel_ChgSalesMargin,0.004522844,1.9052066e-05
x_IndRel_RecTurn,0.004495895,0.00072386384
x_6MChgTgtPrc,0.004467199,0.00056107144
x_PM5D,0.004460287,0.0002458915
x_IndRel_OEP,0.0044518327,0.00023321877
x_IndRel_CashEV,0.0044412017,0.00015114876
x_RskAdjRS,0.004432001,0.0008052385
x_DepToCapex,0.0044139884,0.0007465783
x_IndRel_PM9M,0.0044137193,1.4756573e-05
x_IndRel_DA,0.0043994663,0.0008801791
x_DivToCF,0.004354135,0.0014066327
x_Chg1YAmihud,0.0043450184,0.00066167896
x_IO_Level_AM,0.0043374654,0.000712238
x_IndRel_OCFP,0.004326636,0.00039817323
x_AnnVol1M,0.0043260986,0.0010848312
x_IO_Level,0.0043221517,0.0005872452
x_ChgSalesMargin,0.004317428,0.00018326007
x_ShareChg,0.00430362,0.0003148883
x_AdjFwdFCFPC,0.0042885165,0.0006488721
x_IndRel_TotalAccruals,0.004274506,0.00015991903
x_PrcTo260DL,0.0042591747,0.00012407149
x_IO_StabofChgHD,0.004228935,0.00015151175
x_EPSToOCFChg,0.0042235106,0.00037165591
x_ROE,0.004201091,0.0006588835
x_EPSStab,0.0041994094,7.9431105e-05
x_InvToAsset,0.004136471,0.0004049145
x_CapExToAst,0.0041051004,0.0004929637
x_Chg1YOCF,0.0040808422,0.00020186987
x_PA52WL20DLag,0.0040521007,7.065688e-05
x_24MResRtnVar,0.004047461,0.0013355252
x_CashP,0.0040328065,0.0005022563
x_FL,0.0040147044,0.0005619994
x_IndRel_InvToAst,0.0039843787,0.0009079741
x_CFAst,0.0039823977,2.0279562e-07
x_IndRel_EBITDAEV,0.0039803665,0.0008216534
x_CQDRItoSales,0.0039762026,0.00048444374
x_AnnVol12M,0.003976133,0.000658427
x_AdjAccruals,0.003965361,0.00028769264
x_IndRel_AstP,0.003947654,0.0004530393
x_MaxRetPayoff,0.003911168,5.147315e-05
x_OCFAst_2,0.0038957698,0.00056846987
x_Chg4QSalesTrend,0.003886947,1.7585931e-05
x_52WVPT20DLag,0.0038685722,0.0002883894
x_PM9M,0.0038396097,0.0010804593
x_IndRel_CashCycle,0.0038389915,0.00014092796
x_YoYChgDA,0.0038292243,0.00022425526
x_PAdjChg3YEPS,0.0038219008,0.0013950618
x_6MChgTgtPrcGapEMA,0.0038172214,0.00017164298
x_IndRel_CFP,0.0038109235,0.00027229032
x_ConsQPosChginTTMCF,0.003809601,7.656461e-05
x_IndRel_LTDA,0.0037817676,0.0004928871
x_IndRel_CFEV,0.0037745626,0.0005804298
x_IO_ChgofIO_HF,0.0037729733,0.00056378567
x_ChgSalestoChgEPS,0.0037668264,0.0003338349
x_CVVolPrc60D,0.0037661716,0.00016841758
x_Chg1YLTDA,0.0037554628,0.0004527712
x_SalesToEPSChg,0.0037400343,2.2398308e-06
x_IO_ChgofNumBY,0.0037293136,0.00017085404
x_PAdjChg1YSales,0.0037282102,6.394391e-05
x_AccrualRatioCF,0.0037185224,0.00051466515
x_IndRel_PM5D,0.003715762,0.00057429273
x_PAdjChg1YOCF,0.0036947438,0.00037237688
x_PrcTo52WH,0.0036781563,0.0005097457
x_IndRel_InvToAsset,0.003676503,0.00053415133
x_52WSlope,0.0036733623,0.00032625464
x_CQDOHtoSales,0.0036729625,0.00018882565
x_IndRel_RONA,0.003672338,6.713788e-06
x_CashAdjEV,0.003660305,0.00018786173
x_IndRel_PM12M1M,0.003657647,0.00033193885
x_Chg1YROA,0.0036522401,0.00038741936
x_IndRel_EPSEstDispFY1C,0.003647352,9.524985e-05
x_IndRel_Chg1YOPM,0.00364649,0.0005619258
x_IndRel_LTDE,0.0036449628,0.00029289827
x_AdjEBITDAEV,0.003643365,0.00019751757
x_AstGrwth,0.003635869,7.347821e-05
x_BP,0.0036241189,0.001960775
x_AdjEPSNumRevFY2C,0.00361945,4.488416e-05
x_90DCV,0.0036174762,0.0011050944
x_12QTrendTTMEPS,0.0036110012,0.00036909955
x_IO_Concentration,0.0036041795,0.0006296716
x_CashEV,0.003599062,0.00013800815
x_Chg1YTurnover,0.0035693,0.0008505748
x_IndRel_FCFEV,0.0035653,0.0011640086
x_5DVolSig,0.0035618548,0.0002611986
x_PM1M,0.003558,0.00044256262
x_MVEToTL,0.003551851,0.00030533958
x_IndRel_GPMargin,0.0035443436,0.0008598353
x_RelPrStr_12M,0.003543946,0.0003698999
x_IndRel_CapExToAst,0.0035263097,0.00091315457
x_SharpeRatio,0.0035260674,0.00041323353
x_IndRel_EPSSurpC,0.0035191122,8.1999926e-05
x_CQPTTMCFtoSales,0.0035181697,0.00019066513
x_IndRel_PM1M,0.003517975,0.0001632045
x_AstAdjChg1YCF,0.0035053613,0.00077209796
x_InvToAstChg1Y,0.0034884454,6.4046355e-05
x_IO_BreadthStabBY,0.0034823802,0.0005038858
x_IndRel_OEA,0.003463817,0.00032935035
x_UnexpectedRecChg,0.0034544964,0.0011017162
x_AdjChgEPStoSales,0.003441868,0.00053453573
x_REToAst_2,0.0034225322,0.0001477428
x_AssetTurn_2,0.0034047933,0.0012718029
x_Alpha12M6MPChg,0.003402556,0.00022662291
x_6MAvgChg1MRecC,0.0033813529,0.00028467737
x_BuyToSellRecLess3MEMA,0.003369751,0.00040834432
x_IO_BreadthStabHD,0.0033383882,0.00076667254
x_HL52W,0.0032881275,0.00010558753
x_Alpha18M6MPChg,0.003280988,2.3265602e-05
x_Chg3YOPM,0.0032729232,0.0005046133
x_PAdjChg3YSales,0.0032670489,0.00024917175
x_CVVolPrc20D,0.0032666232,0.0003714204
x_PTIToNOA,0.0032557533,0.0014536764
x_STO,0.0032412237,0.0013402547
x_IndRel_FCFEqt,0.0032075199,0.00026840367
x_IO_Foreign,0.0032044104,0.00019637647
x_PSlopeSERR_26W,0.0031636762,0.0005201446
x_IndRel_ShortIntTrdVol,0.0031475755,0.0004570583
x_PM6M,0.0031334497,0.00096872123
x_6MChgTgtPrcGap,0.003098449,0.00029267697
x_ROA_2,0.0030517317,1.4340272e-05
x_AdjSTO_6M,0.0030494253,0.00092152134
x_STO_6M,0.0030384876,0.00012710388
x_AccrualRatioBS,0.0030360697,0.0007764407
x_IO_ChgofIO_AM,0.0030336524,0.0003047525
x_Alpha60M,0.0030064802,0.00028641417
x_AstAdjChg3YEPS,0.0030001495,0.00036387693
x_IndRel_AccrualRatioCF,0.0029891578,0.00024852506
