feature,importance_mean,importance_std
x_EBITEstDisp,177.5,19.5
x_12QTrendTTMEPS,140.0,5.0
x_IO_ChgofIO_HF,139.0,17.0
x_IO_StabofChgHD,126.5,2.5
x_Alpha36M6MPChg,124.5,2.5
x_IO_ChgofNumBY,118.5,5.5
x_Alpha18M6MPChg,112.0,4.0
x_IO_ChgofIO_AM,110.0,1.0
x_IO_NAT,108.5,8.5
x_5DVolSig,105.0,19.0
x_SalesToEPSChg,104.5,3.5
x_IndRel_ShortIntTrdVol,104.5,13.5
x_RevEstDisp,103.5,22.5
x_IndRel_SUEC,103.0,15.0
x_Chg1YAmihud,102.0,1.0
x_MaxRetPayoff,101.5,5.5
x_Alpha12M6MPChg,101.0,13.0
x_Adj50DVolSig,101.0,14.0
x_90DCV,99.5,3.5
x_EPSStab,99.5,12.5
x_CVVolPrc20D,98.5,12.5
x_5DMoneyFlowVol,98.0,12.0
x_IndRel_PM12M1M,97.0,2.0
x_6MChgTgtPrcGapEMA,97.0,28.0
x_SUEC,96.0,14.0
x_AstGrwth,95.5,31.5
x_ROEStab,94.0,10.0
x_Chg3YOPM,93.0,15.0
x_StdErr180D,91.5,9.5
x_IndRel_PM1M,91.0,9.0
x_PSlopeSERR_26W,91.0,5.0
x_IndRel_PM5D,90.5,17.5
x_InvToAsset,90.0,44.0
x_IndRel_EPSEstDispFY1C,90.0,21.0
x_IndRel_AccrualRatioBS,90.0,11.0
x_130DMinRtn,90.0,3.0
x_IO_Concentration,88.5,2.5
x_Chg4QSalesTrend,88.0,8.0
x_RskAdjRS,87.0,8.0
x_14DayRSI,86.5,7.5
x_BuyToSellRecLess3MEMA,86.0,22.0
x_STO_6M,85.5,1.5
x_Chg1YTurnover,85.0,11.0
x_DepToCapex,84.0,13.0
x_IndRel_EPSSurpC,83.5,0.5
x_IndRel_CapExToAst,83.5,8.5
x_PM5D,83.0,16.0
x_EPSNumRevFY1C,83.0,12.0
x_CVVolPrc30D,82.5,10.5
x_Chg1YOPM,81.5,12.5
x_IndRel_DivP,81.0,9.0
x_RevMagFY1C,81.0,1.0
x_EPSEstDispFY2C,81.0,10.0
x_RelPrStr_12M,79.5,6.5
x_SalesAcc,79.5,14.5
x_AdjRevMagC,79.0,1.0
x_6MChgTgtPrcGap,79.0,2.0
x_IO_Level_AM,79.0,2.0
x_60MAVGTTMROE,79.0,1.0
x_IndRel_DepToCapex,78.5,2.5
x_ChgSalestoChgEPS,78.5,7.5
x_IO_Foreign,78.0,3.0
x_EPSToOCFChg,77.5,6.5
x_6MAvgChg1MRecC,77.5,7.5
x_PAdjChg3YSales,76.5,4.5
x_WCAccruals,75.5,19.5
x_IndRel_CashAst,75.5,3.5
x_IndRel_Chg1YOCF,75.5,14.5
x_IndRel_BP,75.0,12.0
x_IndRel_LTDE,75.0,16.0
x_IndRel_GPMargin,74.5,18.5
x_Beta60M,74.5,0.5
x_PA52WL20DLag,74.5,7.5
x_IndRel_TobinQ,74.5,5.5
x_AdjFwdEPC,74.0,5.0
x_RONA,73.5,1.5
x_60MAVGTTMROA,73.5,28.5
x_ChgSalesMargin,73.5,6.5
x_IndRel_EBITDAEV,72.5,12.5
x_IO_Level,72.5,16.5
x_Alpha60M,72.0,13.0
x_PrcTo260DL,72.0,15.0
x_CVVolPrc60D,72.0,7.0
x_52WSlope,71.5,0.5
x_LogUnadjPrice,71.5,4.5
x_IndRel_PM9M,71.5,6.5
x_IO_BreadthStabBY,71.5,2.5
x_EPSEstDispFY1C,71.5,1.5
x_IndRel_RONA,71.5,2.5
x_CashAst,71.0,24.0
x_AstAdjChg3YEPS,71.0,12.0
x_PM1M,71.0,7.0
x_IndRel_NCAP,71.0,10.0
x_IO_BreadthStabHD,70.5,9.5
x_AdjEPSNumRevFY2C,69.5,15.5
x_PAdjChg1YSales,69.5,10.5
x_ShareChg,69.5,2.5
x_ShortIntRatio,69.5,12.5
x_AccrualRatioCF,69.0,8.0
x_PAdjChg3YEPS,68.5,6.5
x_IndRel_ROIC,68.0,11.0
x_IndRel_AssetTurn,67.5,3.5
x_IndRel_CFEV,67.5,20.5
x_IndRel_SEV,67.5,19.5
x_IndRel_FCFEqt,67.5,21.5
x_AnnVol1M,67.5,9.5
x_AdjEPSNumRevFY1C,67.0,11.0
x_IndRel_InvToAsset,66.5,8.5
x_IndRel_FwdEPC,66.5,13.5
x_IndRel_FCFEV,66.5,6.5
x_SharpeRatio,66.5,13.5
x_AccrualRatioBS,66.5,22.5
x_ChgATO_2,66.5,12.5
x_IndRel_AccrualRatioCF,66.5,0.5
x_IndRel_PM6M,65.5,21.5
x_AdjChgEPStoSales,65.5,4.5
x_UnexpectedRecChg,65.5,2.5
x_DebtChg1Y,65.5,5.5
x_IndRel_Chg1YOPM,65.0,1.0
x_AstAdjChg1YCF,65.0,1.0
x_IndRel_ChgSalesMargin,64.5,2.5
x_YoYChgDA,64.5,3.5
x_IndRel_DebtChg1Y,63.5,2.5
x_IndRel_InvToAst,63.5,1.5
x_ROE,63.5,9.5
x_IndRel_CFROIC,63.5,19.5
x_REToAst_2,63.0,29.0
x_LogTTMSales,62.5,16.5
x_IndRel_WCAccruals,61.5,5.5
x_AdjAccruals,60.5,11.5
x_Chg1YLTDA,60.0,13.0
x_GPMargin,60.0,4.0
x_IndRel_PTMargin,59.5,12.5
x_IndRel_AstP,59.5,0.5
x_CashBurn,59.5,5.5
x_IndRel_PAdjChg1YSales,59.0,5.0
x_IndRel_TotalAccruals,59.0,4.0
x_IndRel_CashCycle,58.0,21.0
x_IndRel_PAdjChg1YEPS,58.0,10.0
x_IO_TO,58.0,25.0
x_CQDRItoSales,57.5,18.5
x_IndRel_SP,57.5,2.5
x_6MChgTgtPrc,57.5,14.5
x_LogAssets,56.5,7.5
x_PTIToNOA,56.5,3.5
x_IndRel_OCFEV,56.0,6.0
x_CashCycle,55.5,6.5
x_IndRel_CashEV,55.0,0.0
x_IndRel_RecTurn,55.0,3.0
x_OCFAst_2,54.5,2.5
x_IndRel_DA,54.5,4.5
x_HL1M,54.5,15.5
x_IndRel_EPSToSalesChg1Y,54.0,1.0
x_EBITMargin,54.0,22.0
x_AdjFwdFCFPC,54.0,4.0
x_PrcTo52WH,53.5,2.5
x_IO_InvDuration,53.0,11.0
x_IndRel_CFP,52.5,8.5
x_ROA_2,52.0,3.0
x_AdjEBITP,51.5,1.5
x_4To52WPrcOsc,51.5,19.5
x_TobinQ,51.5,8.5
x_IndRel_FwdFCFPC,51.0,11.0
x_52WVPT20DLag,51.0,11.0
x_IndRel_ShareChg,50.5,8.5
x_AdjAstAdjChg1YFCF,50.0,5.0
x_CashP,50.0,3.0
x_IndRel_MaxRetPayoff,49.5,9.5
x_Chg1YROA,49.0,1.0
x_Rev3MFY2C,48.0,16.0
x_IndRel_AdjAccruals,48.0,5.0
x_LTDA,48.0,10.0
x_PAdjChg1YEPS,47.5,1.5
x_BVEV,47.5,4.5
x_AnnVol12M,47.5,5.5
x_AssetTurn_2,47.0,12.0
x_HL52W,47.0,2.0
x_IndRel_CashP,46.5,2.5
x_IndRel_OEA,46.5,8.5
x_IndRel_ROA,46.5,3.5
x_BP,45.0,8.0
x_IndRel_SolvencyRatio,45.0,4.0
x_PM6M,44.0,0.0
x_CFEV,44.0,9.0
x_ConsQPosChgTTMEPS,43.5,12.5
x_IndRel_ROE,43.5,1.5
x_Chg1YOCF,43.5,10.5
x_AdjEBITDAEV,43.5,7.5
x_IndRel_EP,43.5,3.5
x_IndRel_LTDA,43.0,1.0
x_MVEToTL,43.0,8.0
x_FL,42.5,4.5
x_EBITDAEV,42.5,18.5
x_IndRel_OEP,42.5,0.5
x_RecTurn,42.0,11.0
x_IndRel_EBITDAP,41.5,6.5
x_PM9M,41.5,5.5
x_IndRel_FCFP,41.0,8.0
x_InvToAstChg1Y,41.0,9.0
x_DivToCF,41.0,9.0
x_InvToAst,40.0,8.0
x_ETO,40.0,1.0
x_IndRel_OCFP,39.5,11.5
x_CapExToAst,39.0,10.0
x_SalesToInvCap,38.0,2.0
x_CQPTTMCFtoSales,37.5,2.5
x_CQDOHtoSales,37.5,7.5
x_24MResRtnVar,37.0,10.0
x_CFAst,36.0,4.0
x_CFIC,36.0,2.0
x_CFP,35.0,5.0
x_AstAdjChg1YOCF,34.5,2.5
x_CapAcqRatio,34.5,4.5
x_FCFEqt,34.0,7.0
x_CashAdjEV,33.5,4.5
x_AdjRev3MFY1C,33.5,17.5
x_STO,33.0,10.0
x_DivP,32.5,14.5
x_IndRel_PTIP,32.0,10.0
x_PAdjChg1YOCF,29.0,5.0
x_FCFP,29.0,3.0
x_SEV,28.5,2.5
x_AdjSTO_6M,24.5,2.5
x_ConsQPosChginTTMCF,24.0,2.0
x_CashEV,17.5,1.5
x_calendarquarter,12.0,6.0
