feature,importance,feature_category
x_TobinQ,0.045261405,6.0
x_BP,0.024821365,5.0
x_PrcTo52WH,0.018902674,1.0
x_4To52WPrcOsc,0.012420024,1.0
x_CapExToAst,0.011289465,6.0
x_SUEC,0.01016992,3.0
x_AdjRev3MFY1C,0.008048076,3.0
x_EPSNumRevFY1C,0.007919391,3.0
x_Rev3MFY2C,0.007858837,3.0
x_CashP,0.007824105,5.0
x_SharpeRatio,0.007599389,1.0
x_AstAdjChg1YCF,0.007236444,2.0
x_IndRel_PAdjChg1YSales,0.00688568,2.0
x_PM1M,0.0068251668,1.0
x_IndRel_CashAst,0.0067894794,5.0
x_IndRel_PAdjChg1YEPS,0.006551376,2.0
x_Chg1YAmihud,0.0065468783,8.0
x_IndRel_OCFP,0.00653224,5.0
x_PAdjChg3YEPS,0.0064168093,2.0
x_130DMinRtn,0.0063475054,8.0
x_IndRel_PM12M1M,0.006047923,1.0
x_AdjFwdFCFPC,0.0060396986,5.0
x_FCFEqt,0.0060319933,5.0
x_CFAst,0.006009127,4.0
x_calendarquarter,0.0059999763,
x_DivToCF,0.00599969,5.0
x_CashAst,0.0059006703,5.0
x_PAdjChg1YSales,0.0057045226,2.0
x_IndRel_ROE,0.0056376327,6.0
x_SalesToInvCap,0.005565411,4.0
x_IndRel_Chg1YOCF,0.005498481,2.0
x_IO_Foreign,0.0054428447,1.0
x_MVEToTL,0.0054362756,6.0
x_StdErr180D,0.0054060766,1.0
x_ShortIntRatio,0.005404445,1.0
x_DepToCapex,0.0053544384,4.0
x_PAdjChg1YOCF,0.005338625,2.0
x_IndRel_BP,0.0053354544,5.0
x_Beta60M,0.0053219437,8.0
x_IndRel_CashP,0.0053210016,5.0
x_ChgSalesMargin,0.0052197496,4.0
x_IndRel_LTDA,0.0052126097,6.0
x_CashCycle,0.00520083,4.0
x_IndRel_EP,0.005068612,5.0
x_LogAssets,0.0050474,7.0
x_IndRel_ShareChg,0.00495153,6.0
x_LTDA,0.004940656,6.0
x_RevEstDisp,0.0048970957,3.0
x_EBITDAEV,0.0048826197,5.0
x_IndRel_ROIC,0.0048552393,6.0
x_AdjRevMagC,0.0048532416,3.0
x_IO_InvDuration,0.004841918,1.0
x_MaxRetPayoff,0.0048364922,1.0
x_IndRel_WCAccruals,0.004807502,4.0
x_IndRel_CFEV,0.004800187,5.0
x_IndRel_ROA,0.0047658454,6.0
x_FL,0.0047486257,6.0
x_AdjEPSNumRevFY1C,0.004731286,3.0
x_ROE,0.0047234683,6.0
x_CFIC,0.0047202604,4.0
x_IndRel_EBITDAEV,0.00471849,5.0
x_IndRel_SolvencyRatio,0.0047004907,5.0
x_IndRel_GPMargin,0.004663445,4.0
x_EPSEstDispFY2C,0.004634746,3.0
x_AdjAccruals,0.0046170787,4.0
x_Chg1YOCF,0.004590274,2.0
x_IndRel_CashEV,0.0045712576,5.0
x_Chg3YOPM,0.0045685447,2.0
x_6MChgTgtPrc,0.004531593,3.0
x_InvToAstChg1Y,0.0045131426,4.0
x_IO_Level,0.004475676,1.0
x_EBITEstDisp,0.004471981,3.0
x_IndRel_FCFEV,0.004438551,5.0
x_EPSEstDispFY1C,0.004437977,3.0
x_EBITMargin,0.004434681,4.0
x_AstGrwth,0.004357751,6.0
x_IndRel_ChgSalesMargin,0.004331634,4.0
x_SalesAcc,0.004282975,2.0
x_UnexpectedRecChg,0.004280831,4.0
x_AstAdjChg3YEPS,0.00426952,2.0
x_AdjEBITDAEV,0.0042670607,5.0
x_CFP,0.0042579076,5.0
x_InvToAst,0.004248898,4.0
x_IndRel_LTDE,0.004218784,6.0
x_CashBurn,0.0042121396,4.0
x_DivP,0.0042106886,5.0
x_12QTrendTTMEPS,0.0042043817,2.0
x_YoYChgDA,0.004196755,8.0
x_IndRel_InvToAst,0.004192221,4.0
x_CashEV,0.0041896147,5.0
x_CQDOHtoSales,0.004185942,2.0
x_AdjFwdEPC,0.0041590515,5.0
x_RecTurn,0.0041516223,6.0
x_IndRel_CFROIC,0.0041471184,6.0
x_ChgSalestoChgEPS,0.004142078,4.0
x_Chg1YLTDA,0.004112109,2.0
x_IndRel_OEA,0.0041065672,4.0
x_PAdjChg3YSales,0.004079894,2.0
x_CFEV,0.0040730564,5.0
x_IO_Level_AM,0.004061652,1.0
x_RskAdjRS,0.0040493086,1.0
x_6MChgTgtPrcGapEMA,0.0040468434,3.0
x_IndRel_CashCycle,0.0040427293,4.0
x_Chg1YOPM,0.004026691,2.0
x_AdjEBITP,0.003991193,5.0
x_IndRel_OCFEV,0.00397878,5.0
x_5DVolSig,0.0039772172,1.0
x_IndRel_AstP,0.003972143,5.0
x_IndRel_FCFP,0.0039630593,5.0
x_SalesToEPSChg,0.0039539407,4.0
x_HL52W,0.003936317,1.0
