feature,importance,feature_category
x_SalesToEPSChg,331.14301246406166,4.0
x_ShareChg,277.40928443820474,6.0
x_PAdjChg1YSales,-111.34384238906354,2.0
x_PAdjChg1YOCF,55.357432313708465,2.0
x_EBITDAEV,-9.859096805168265,5.0
x_FCFEqt,-8.995156390374373,5.0
x_LogTTMSales,8.811145340293368,7.0
x_CFEV,8.656510787184606,5.0
x_ROE,8.061129124338247,6.0
x_LogAssets,-7.971587307534882,7.0
x_CashAdjEV,-7.121734376523556,5.0
x_PA52WL20DLag,-6.577828151160701,1.0
x_PrcTo260DL,6.3050764556370105,1.0
x_AdjEBITDAEV,5.414071541080315,5.0
x_CashAst,4.832995718042434,5.0
x_AnnVol12M,4.581922697924897,8.0
x_IndRel_FCFEV,-4.4566117274256944,5.0
x_Chg1YOPM,-4.30565653361104,2.0
x_IndRel_Chg1YOPM,4.221192642882872,2.0
x_GPMargin,3.8501377137735706,4.0
x_AdjChgEPStoSales,-3.779058786672808,4.0
x_PM1M,3.7206806698284582,1.0
x_IndRel_EBITDAEV,3.519578520978315,5.0
x_calendarquarter,3.495779535914483,
x_PAdjChg3YEPS,3.3839764549270397,2.0
x_IndRel_BP,-3.2800061127962525,5.0
x_IndRel_EBITDAP,-3.1266604523753445,5.0
x_AdjRevMagC,3.043719102716631,3.0
x_CapExToAst,-3.0147674598194643,6.0
x_ConsQPosChgTTMEPS,-2.981298334805213,2.0
x_PM5D,2.9319655360685934,1.0
x_LogUnadjPrice,-2.9305777935713073,1.0
x_IndRel_OEA,-2.891399269614885,4.0
x_SharpeRatio,2.798823667447833,1.0
x_CFP,-2.731309504586042,5.0
x_IndRel_CashEV,2.682457189925931,5.0
x_IndRel_OCFP,-2.6768212543103593,5.0
x_24MResRtnVar,-2.6609991766697956,1.0
x_AssetTurn_2,2.659293174878198,4.0
x_IndRel_PTMargin,2.64051871042402,6.0
x_IndRel_FCFP,2.5269168402526905,5.0
x_IndRel_AssetTurn,-2.4619139327476054,4.0
x_EBITEstDisp,2.4610151840217585,3.0
x_IndRel_EPSToSalesChg1Y,-2.4479136558237036,4.0
x_EPSEstDispFY1C,2.4269744204749046,3.0
x_ROA_2,-2.4174867641440754,6.0
x_InvToAst,2.37908074702243,4.0
x_90DCV,2.347639793849469,8.0
x_IndRel_CFROIC,2.309767301454849,6.0
x_IndRel_DA,2.2575993064411284,6.0
x_CapAcqRatio,2.221176032293174,6.0
x_IndRel_ChgSalesMargin,2.2093696073170306,4.0
x_BVEV,2.1857107254259245,5.0
x_WCAccruals,-2.145212943551988,4.0
x_STO_6M,-2.134755524407772,1.0
x_60MAVGTTMROE,2.133091909564187,6.0
x_IO_Level,2.0564290546570745,1.0
x_IndRel_RONA,2.0207542513738637,5.0
x_IndRel_TobinQ,1.9691568100163315,6.0
x_IndRel_CashCycle,-1.9678683256069387,4.0
x_IndRel_LTDE,1.9469960132339459,6.0
x_RelPrStr_12M,1.9430251826498388,1.0
x_RONA,-1.9272845957386797,5.0
x_AstAdjChg3YEPS,-1.9216156773536481,2.0
x_STO,1.9050073068910716,1.0
x_4To52WPrcOsc,1.8921644804938207,1.0
x_PSlopeSERR_26W,1.840617518332913,1.0
x_IndRel_SP,-1.802039255106433,5.0
x_HL52W,1.8018970215218326,1.0
x_IndRel_ShortIntTrdVol,1.7644912323992485,1.0
x_IndRel_EP,1.7612576464223797,5.0
x_MaxRetPayoff,-1.7252007751421103,1.0
