model,r2,mse,rmse,mae
linear,2.8519642933116214,16.723877212116705,1.7355285394416755,0.06515840904175503
ridge,0.09069836597676206,0.607456706563883,0.12176428317944721,0.04244921015279149
lasso,0.00032596199752871137,0.07838405560792301,0.016153650661516996,0.03585607943137979
enet,0.00032596199752871137,0.07838405560792301,0.016153650661516996,0.03585607943137979
xgb,0.028894126099110466,0.1717679215665836,0.03790570380929676,0.025515669498283558
lgbm,0.01509572943736545,0.12862504138981146,0.02830368055519818,0.026544525022646804
catboost,0.02674385884671161,0.19389351060460572,0.04274719923234318,0.03246726958872852
nn1,0.038700551131205026,0.28428466041483896,0.05987458423981704,0.018514121452381314
nn2,0.018686063249347552,0.17335627470349438,0.03701362923847652,0.028035857399967588
nn3,0.02737929601520163,0.22590235328862512,0.047108280312992204,0.029705503795797276
