feature,importance,feature_category
x_EPSEstDispFY2C,1.1175495259387496,3.0
x_AnnVol12M,1.102377728786968,8.0
x_SUEC,0.8880057436353473,3.0
x_AdjFwdEPC,-0.8601160318446559,5.0
x_130DMinRtn,-0.7152003243097925,8.0
x_DivP,-0.6975923338955262,5.0
x_IndRel_OCFEV,0.6868123200566425,5.0
x_IndRel_SUEC,0.6792582755782555,3.0
x_WCAccruals,-0.676584039466067,4.0
x_ConsQPosChgTTMEPS,-0.6504834280953359,2.0
x_IO_Concentration,0.6441332836393137,1.0
x_IndRel_EPSEstDispFY1C,0.5974310450636146,3.0
x_IO_ChgofNumBY,0.5369467337832979,1.0
x_Rev3MFY2C,0.4799282641614306,3.0
x_CFAst,-0.47521375943679917,4.0
x_EPSNumRevFY1C,0.47292005726786024,3.0
x_InvToAstChg1Y,-0.430034989823424,4.0
x_AdjRev3MFY1C,0.42307455539737304,3.0
x_AstAdjChg3YEPS,-0.4130467875029311,2.0
x_PM6M,0.40034201732480407,1.0
x_IndRel_InvToAsset,-0.3807430776534286,4.0
x_PAdjChg3YSales,-0.36802861545291404,2.0
x_IndRel_EP,0.3633751596159524,5.0
x_SharpeRatio,-0.3560472835470993,1.0
x_AnnVol1M,0.35349988872463783,8.0
x_90DCV,0.3493048038821106,8.0
x_PM9M,0.3452800108979903,1.0
x_IndRel_NCAP,-0.33440978537631005,5.0
x_LogUnadjPrice,-0.31992171449981677,1.0
x_InvToAsset,-0.3034982293055837,4.0
x_CVVolPrc30D,-0.3020869680156565,1.0
x_PA52WL20DLag,0.29771727947166493,1.0
x_EBITDAEV,-0.28709482624256766,5.0
x_IndRel_OEP,0.2667258722405943,5.0
x_IndRel_FCFEV,0.2658045549637146,5.0
x_4To52WPrcOsc,-0.2621015582625532,1.0
x_InvToAst,0.2568397532268818,4.0
x_PAdjChg1YEPS,0.24144102864241893,2.0
x_ConsQPosChginTTMCF,-0.22946326875725076,2.0
x_AdjEPSNumRevFY2C,0.2289793468500797,3.0
x_EBITEstDisp,0.22378425136270755,3.0
x_IndRel_FwdEPC,-0.21809644426607283,5.0
x_PSlopeSERR_26W,0.2089511055534877,1.0
x_CapExToAst,-0.20386107621698726,6.0
x_OCFAst_2,-0.18792809704801958,4.0
x_ROA_2,-0.1816737675652276,6.0
x_IndRel_OCFP,-0.1784953529767932,5.0
x_IndRel_CFROIC,-0.17275371515785967,6.0
x_SalesToInvCap,-0.15479652471099314,4.0
x_CVVolPrc60D,-0.15410344225909423,1.0
x_CVVolPrc20D,-0.14662560433236968,1.0
x_EPSEstDispFY1C,-0.14534961928198303,3.0
x_EBITMargin,-0.14379447768324627,4.0
x_RevEstDisp,-0.1425591971549758,3.0
x_IO_ChgofIO_AM,-0.1288219257651797,1.0
x_SEV,0.1274574248370202,5.0
x_IndRel_ShareChg,0.11500180919923396,6.0
x_IndRel_CashAst,0.1000798463442197,5.0
x_IndRel_PAdjChg1YEPS,0.09288572683194089,2.0
x_Chg1YLTDA,0.0791556821577024,2.0
x_IO_InvDuration,-0.07873172107974227,1.0
x_IndRel_ROIC,-0.0768205268381678,6.0
x_BuyToSellRecLess3MEMA,0.07398772961089899,3.0
x_IndRel_SEV,0.07233001262429756,5.0
x_6MChgTgtPrc,0.06674364517074931,3.0
x_PM5D,-0.06129362231383807,1.0
x_PM1M,0.05779146532701434,1.0
x_IndRel_OEA,-0.054521765779345026,4.0
x_IndRel_PAdjChg1YSales,-0.04722847938866606,2.0
x_IndRel_RecTurn,0.04571097984968194,6.0
x_BVEV,0.044718384477369665,5.0
x_ChgSalestoChgEPS,0.03292120416957831,4.0
x_CQDOHtoSales,0.030806479768603737,2.0
x_IndRel_SolvencyRatio,-0.021501394204690435,5.0
x_IO_BreadthStabHD,-0.012648050985190193,1.0
x_6MAvgChg1MRecC,-0.012123048934309499,3.0
x_PAdjChg1YOCF,-0.011860138430100533,2.0
x_IO_BreadthStabBY,-0.00689042813042029,1.0
x_IndRel_FwdFCFPC,-0.005850875296547954,5.0
x_IO_Foreign,-0.004493812219522307,1.0
x_AdjRevMagC,-0.0,3.0
x_AssetTurn_2,0.0,4.0
x_ChgATO_2,0.0,2.0
x_AdjFwdFCFPC,-0.0,5.0
x_AdjEPSNumRevFY1C,0.0,3.0
x_IndRel_TotalAccruals,-0.0,4.0
x_IndRel_WCAccruals,-0.0,4.0
x_5DMoneyFlowVol,0.0,1.0
x_14DayRSI,0.0,1.0
x_12QTrendTTMEPS,-0.0,2.0
x_MVEToTL,-0.0,6.0
x_ROEStab,-0.0,2.0
x_AccrualRatioBS,-0.0,4.0
x_Chg1YTurnover,-0.0,1.0
x_Chg1YROA,0.0,2.0
x_Adj50DVolSig,-0.0,8.0
x_Chg1YAmihud,-0.0,8.0
x_AstGrwth,0.0,6.0
x_AdjSTO_6M,-0.0,1.0
x_AdjEBITP,0.0,5.0
x_IO_NAT,0.0,1.0
x_IndRel_LTDE,-0.0,6.0
x_IndRel_EBITDAEV,-0.0,5.0
x_IndRel_ChgSalesMargin,0.0,4.0
x_6MChgTgtPrcGapEMA,-0.0,3.0
x_IndRel_ROA,-0.0,6.0
x_IndRel_ROE,-0.0,6.0
x_IndRel_Chg1YOPM,0.0,2.0
x_CFEV,-0.0,5.0
x_ROE,-0.0,6.0
x_ShareChg,0.0,6.0
x_UnexpectedRecChg,0.0,4.0
x_IndRel_CashCycle,0.0,4.0
x_IndRel_AssetTurn,0.0,4.0
x_IndRel_CFP,0.0,5.0
x_IndRel_BP,-0.0,5.0
x_IndRel_CFEV,0.0,5.0
x_IndRel_Chg1YOCF,-0.0,2.0
x_IO_TO,0.0,1.0
x_FCFP,0.0,5.0
x_AstAdjChg1YCF,0.0,2.0
x_AstAdjChg1YOCF,-0.0,2.0
x_CFP,0.0,5.0
x_CapAcqRatio,-0.0,6.0
x_CashCycle,0.0,4.0
x_IndRel_PTIP,0.0,5.0
x_IndRel_EBITDAP,-0.0,5.0
x_Chg1YOPM,0.0,2.0
x_IndRel_PM1M,0.0,1.0
x_IndRel_PM12M1M,0.0,1.0
x_ChgSalesMargin,-0.0,4.0
x_FCFEqt,0.0,5.0
x_IndRel_FCFP,0.0,5.0
x_IndRel_FCFEqt,0.0,5.0
x_IndRel_DA,0.0,6.0
x_Chg1YOCF,-0.0,2.0
x_52WSlope,0.0,1.0
x_Alpha12M6MPChg,0.0,1.0
x_Alpha18M6MPChg,0.0,1.0
x_Alpha36M6MPChg,-0.0,1.0
x_Alpha60M,-0.0,1.0
x_BP,0.0,5.0
x_CashAst,0.0,5.0
x_Chg3YOPM,0.0,2.0
x_ETO,0.0,4.0
x_HL1M,-0.0,1.0
x_RONA,0.0,5.0
x_LogTTMSales,0.0,7.0
x_PAdjChg3YEPS,-0.0,2.0
x_PTIToNOA,0.0,4.0
x_PrcTo260DL,-0.0,1.0
x_PrcTo52WH,-0.0,1.0
x_STO,0.0,1.0
x_SalesToEPSChg,-0.0,4.0
x_ShortIntRatio,-0.0,1.0
x_52WVPT20DLag,-0.0,1.0
x_5DVolSig,0.0,1.0
x_HL52W,-0.0,1.0
x_60MAVGTTMROE,-0.0,6.0
x_GPMargin,-0.0,4.0
x_MaxRetPayoff,0.0,1.0
x_RskAdjRS,0.0,1.0
x_SalesAcc,-0.0,2.0
x_StdErr180D,-0.0,1.0
x_calendarquarter,-0.0,
x_IndRel_AccrualRatioBS,-0.0,4.0
x_IndRel_AccrualRatioCF,-0.0,4.0
