feature,importance,feature_category
x_BP,-652.6824166776438,5.0
x_STO,471.73026742278597,1.0
x_CFP,378.7888053826884,5.0
x_FCFP,-203.21223052195324,5.0
x_PAdjChg3YEPS,-6.415600185305722,2.0
x_AdjEBITP,4.216574615295171,5.0
x_LogTTMSales,3.722206024928857,7.0
x_AdjSTO_6M,-2.8916438858635622,1.0
x_CashP,2.38165713189035,5.0
x_IndRel_OCFEV,2.3616371885632983,5.0
x_IO_Level_AM,2.2161208728841864,1.0
x_IndRel_CashAst,2.132274080513369,5.0
x_ROA_2,-2.0842445591420695,6.0
x_AdjFwdEPC,-2.0031940306981495,5.0
x_GPMargin,1.967415555260473,4.0
x_Chg1YROA,1.9427655125909737,2.0
x_CashAst,-1.925965472472786,5.0
x_CapExToAst,-1.8893754368452527,6.0
x_IO_Concentration,1.8838750020440393,1.0
x_IndRel_EPSEstDispFY1C,1.883103703201224,3.0
x_AssetTurn_2,-1.8498588000266898,4.0
x_EBITMargin,-1.8366377628020119,4.0
x_EPSEstDispFY1C,-1.8018990321233201,3.0
x_LTDA,-1.718744631305679,6.0
x_IndRel_LTDA,1.6104209990688938,6.0
x_PM5D,-1.5570322222872068,1.0
x_PM6M,1.5258620686627964,1.0
x_EPSEstDispFY2C,1.506971206222513,3.0
x_LogAssets,-1.5011769724723856,7.0
x_130DMinRtn,-1.4936238611590618,8.0
x_IO_ChgofNumBY,1.4852165993890059,1.0
x_IndRel_BP,-1.4838800317452945,5.0
x_PrcTo52WH,-1.4769136503842688,1.0
x_SUEC,1.4007371419950765,3.0
x_4To52WPrcOsc,-1.3874229198509198,1.0
x_AnnVol12M,1.3812557510607046,8.0
x_IndRel_InvToAsset,-1.3772112033677832,4.0
x_IndRel_EP,1.3562214904408805,5.0
x_ConsQPosChgTTMEPS,-1.3324968404739792,2.0
x_DivP,-1.2947843757335247,5.0
x_StdErr180D,-1.24499583288015,1.0
x_WCAccruals,-1.2008806618331835,4.0
x_AdjFwdFCFPC,-1.128695877279927,5.0
x_CVVolPrc30D,-1.101270080039594,1.0
x_IndRel_CapExToAst,1.0974177433743417,6.0
x_IO_ChgofIO_AM,-1.0756759909605993,1.0
x_EBITDAEV,-1.0659696948022273,5.0
x_IO_InvDuration,-1.0647289889418552,1.0
x_IndRel_CFROIC,-1.0504389163144996,6.0
x_SharpeRatio,-1.050094788671819,1.0
x_FCFEqt,1.0447778311204523,5.0
x_IndRel_SUEC,1.043957362666994,3.0
x_InvToAst,0.9794787603695116,4.0
