model,r2,mse,rmse,mae
linear,-281.9864925433729,10347.398346442493,54.514913404845096,6.144636839505263
ridge,-1.6024461226796973,95.09417917959935,9.01708139098103,4.7768358533642665
lasso,-0.0011117199859600024,36.76369020877777,6.060731518785755,4.447579754176238
enet,0.00552053178316807,36.521156285899124,6.040664653256188,4.4270056480916145
xgb,0.07784095460422502,33.855273164552116,5.816365662144143,4.189373753479073
lgbm,0.07408065698602913,33.9979418113534,5.828293731300258,4.209796423450756
catboost,0.08217587206876711,33.71093911948494,5.803223360159038,4.2094271923571664
nn1,-0.0019715576552290282,36.79176614643908,6.062103699720334,4.424293730690448
nn2,0.012937826721447766,36.25210652007491,6.018021814491187,4.40001596356776
nn3,-0.03406617525909859,37.965345837789584,6.159071788238082,4.499490431424098
