feature,importance,feature_category
x_EBITEstDisp,244,3.0
x_EPSEstDispFY1C,146,3.0
x_IO_ChgofNumBY,130,1.0
x_SUEC,128,3.0
x_IndRel_ShortIntTrdVol,127,1.0
x_SalesAcc,127,2.0
x_Alpha36M6MPChg,125,1.0
x_IO_Foreign,124,1.0
x_EPSEstDispFY2C,116,3.0
x_90DCV,115,8.0
x_IndRel_EPSEstDispFY1C,114,3.0
x_RskAdjRS,112,1.0
x_SalesToEPSChg,111,4.0
x_5DVolSig,110,1.0
x_EPSStab,108,2.0
x_AdjFwdEPC,105,5.0
x_IndRel_SUEC,103,3.0
x_AstGrwth,102,6.0
x_IO_ChgofIO_AM,100,1.0
x_Chg1YOPM,100,2.0
x_6MAvgChg1MRecC,100,3.0
x_PAdjChg1YSales,99,2.0
x_Chg1YAmihud,99,8.0
x_AnnVol1M,98,8.0
x_PM5D,98,1.0
x_14DayRSI,97,1.0
x_IO_StabofChgHD,95,1.0
x_Chg1YTurnover,94,1.0
x_IO_ChgofIO_HF,94,1.0
x_IO_Concentration,94,1.0
x_CVVolPrc20D,94,1.0
x_RevEstDisp,94,3.0
x_12QTrendTTMEPS,93,2.0
x_PM1M,93,1.0
x_AdjRevMagC,92,3.0
x_IndRel_PM1M,92,1.0
x_IndRel_DivP,91,5.0
x_RevMagFY1C,91,3.0
x_RONA,90,5.0
x_CVVolPrc30D,90,1.0
x_AdjFwdFCFPC,89,5.0
x_ChgSalestoChgEPS,88,4.0
x_IndRel_InvToAst,86,4.0
x_5DMoneyFlowVol,86,1.0
x_Chg1YLTDA,84,2.0
x_IndRel_PM6M,84,1.0
x_IO_InvDuration,84,1.0
x_Adj50DVolSig,84,8.0
x_IndRel_PM9M,82,1.0
x_BuyToSellRecLess3MEMA,82,3.0
x_IO_BreadthStabHD,82,1.0
x_IO_BreadthStabBY,82,1.0
x_MaxRetPayoff,82,1.0
x_AstAdjChg1YCF,81,2.0
x_IndRel_PM5D,80,1.0
x_IndRel_ChgSalesMargin,80,4.0
x_Alpha12M6MPChg,80,1.0
x_AnnVol12M,80,8.0
x_Chg3YOPM,80,2.0
x_PAdjChg3YEPS,79,2.0
x_ROE,79,6.0
x_IndRel_DepToCapex,78,4.0
x_IndRel_DebtChg1Y,78,6.0
x_IndRel_PM12M1M,77,1.0
x_Chg1YROA,76,2.0
x_6MChgTgtPrc,76,3.0
x_PTIToNOA,76,4.0
x_HL1M,76,1.0
x_IO_TO,75,1.0
x_EBITMargin,75,4.0
x_IO_NAT,75,1.0
x_IndRel_FwdEPC,74,5.0
x_Alpha18M6MPChg,73,1.0
x_LogTTMSales,73,7.0
x_IndRel_TobinQ,73,6.0
x_6MChgTgtPrcGap,73,3.0
x_IndRel_ROIC,73,6.0
x_IndRel_SEV,72,5.0
x_Chg4QSalesTrend,72,2.0
x_IndRel_EBITDAEV,72,5.0
x_AdjRev3MFY1C,72,3.0
x_IndRel_DA,72,6.0
x_IndRel_CFROIC,72,6.0
x_AdjAstAdjChg1YFCF,72,2.0
x_6MChgTgtPrcGapEMA,72,3.0
x_IO_Level,71,1.0
x_PrcTo260DL,70,1.0
x_WCAccruals,70,4.0
x_IndRel_ROA,70,6.0
x_PSlopeSERR_26W,70,1.0
x_CFEV,69,5.0
x_IndRel_LTDA,69,6.0
x_BP,69,5.0
x_IndRel_MaxRetPayoff,68,1.0
x_IndRel_RecTurn,68,6.0
x_LogUnadjPrice,68,1.0
x_IndRel_CFEV,68,5.0
x_PAdjChg1YEPS,67,2.0
x_LogAssets,66,7.0
x_IndRel_AdjAccruals,66,4.0
x_EPSNumRevFY1C,66,3.0
x_IndRel_WCAccruals,66,4.0
x_CVVolPrc60D,64,1.0
x_REToAst_2,64,4.0
x_IndRel_InvToAsset,64,4.0
x_Alpha60M,64,1.0
x_IndRel_CashEV,64,5.0
x_IO_Level_AM,63,1.0
x_IndRel_Chg1YOPM,63,2.0
x_130DMinRtn,63,8.0
x_STO_6M,62,1.0
x_IndRel_CapExToAst,62,6.0
x_IndRel_FCFP,62,5.0
x_IndRel_FwdFCFPC,62,5.0
x_PAdjChg3YSales,62,2.0
x_RecTurn,61,6.0
x_60MAVGTTMROA,61,6.0
x_IndRel_RONA,60,5.0
x_IndRel_AccrualRatioBS,60,4.0
x_DepToCapex,60,4.0
x_CapExToAst,60,6.0
x_ChgATO_2,60,2.0
x_52WVPT20DLag,60,1.0
x_TobinQ,59,6.0
x_ShortIntRatio,59,1.0
x_OCFAst_2,59,4.0
x_SharpeRatio,59,1.0
x_IndRel_ShareChg,59,6.0
x_IndRel_GPMargin,58,4.0
x_IndRel_EPSToSalesChg1Y,58,4.0
x_IndRel_EPSSurpC,58,3.0
x_PM9M,58,1.0
x_IndRel_ROE,57,6.0
x_FCFEqt,57,5.0
x_CFP,57,5.0
x_IndRel_PAdjChg1YEPS,57,2.0
x_AdjEBITDAEV,57,5.0
x_IndRel_Chg1YOCF,56,2.0
x_ChgSalesMargin,56,4.0
x_ROEStab,56,2.0
x_BVEV,55,5.0
x_IndRel_CashP,55,5.0
x_RelPrStr_12M,55,1.0
x_SEV,55,5.0
x_DebtChg1Y,54,6.0
x_AdjChgEPStoSales,54,4.0
x_IndRel_FCFEV,54,5.0
x_UnexpectedRecChg,54,4.0
x_InvToAstChg1Y,53,4.0
x_CFIC,53,4.0
x_AdjEPSNumRevFY1C,53,3.0
x_CapAcqRatio,53,6.0
x_Beta60M,52,8.0
x_ConsQPosChgTTMEPS,52,2.0
x_Rev3MFY2C,52,3.0
x_IndRel_PTMargin,51,6.0
x_PA52WL20DLag,51,1.0
x_IndRel_SolvencyRatio,51,5.0
x_Chg1YOCF,51,2.0
x_InvToAsset,50,4.0
x_StdErr180D,50,1.0
x_ShareChg,50,6.0
x_MVEToTL,50,6.0
x_AstAdjChg3YEPS,50,2.0
x_CashAst,50,5.0
x_IndRel_AccrualRatioCF,50,4.0
x_IndRel_PAdjChg1YSales,49,2.0
x_FCFP,48,5.0
x_IndRel_FCFEqt,48,5.0
x_CashP,48,5.0
x_24MResRtnVar,47,1.0
x_IndRel_EP,47,5.0
x_AccrualRatioBS,46,4.0
x_IndRel_BP,46,5.0
x_AccrualRatioCF,46,4.0
x_IndRel_LTDE,46,6.0
x_EBITDAEV,46,5.0
x_AstAdjChg1YOCF,45,2.0
x_AdjEBITP,45,5.0
x_GPMargin,45,4.0
x_CashCycle,45,4.0
x_CashBurn,44,4.0
x_IndRel_AssetTurn,43,4.0
x_IndRel_OEP,43,5.0
x_HL52W,43,1.0
x_IndRel_EBITDAP,43,5.0
x_YoYChgDA,43,8.0
x_PrcTo52WH,43,1.0
x_PAdjChg1YOCF,43,2.0
x_EPSToOCFChg,42,4.0
x_ETO,42,4.0
x_FL,42,6.0
x_AdjEPSNumRevFY2C,42,3.0
x_CashAdjEV,42,5.0
x_60MAVGTTMROE,42,6.0
x_IndRel_OEA,42,4.0
x_IndRel_CashCycle,41,4.0
x_SalesToInvCap,41,4.0
x_STO,41,1.0
x_PM6M,40,1.0
x_4To52WPrcOsc,40,1.0
x_IndRel_CashAst,40,5.0
x_CQDOHtoSales,39,2.0
x_CFAst,39,4.0
x_IndRel_OCFEV,39,5.0
x_AssetTurn_2,39,4.0
x_ROA_2,39,6.0
x_DivToCF,38,5.0
x_52WSlope,38,1.0
x_IndRel_SP,36,5.0
x_AdjSTO_6M,36,1.0
x_CQPTTMCFtoSales,35,2.0
x_IndRel_AstP,35,5.0
x_LTDA,35,6.0
x_IndRel_OCFP,35,5.0
x_InvToAst,34,4.0
x_IndRel_NCAP,33,5.0
x_AdjAccruals,33,4.0
x_DivP,32,5.0
x_IndRel_TotalAccruals,31,4.0
x_ConsQPosChginTTMCF,31,2.0
x_CashEV,30,5.0
x_IndRel_PTIP,26,5.0
x_calendarquarter,15,
x_IndRel_CFP,14,5.0
x_CQDRItoSales,13,2.0
