feature,importance,feature_category
x_CashP,33.92304572749696,5.0
x_AdjEBITP,21.996089655114673,5.0
x_RONA,-14.654208455338512,5.0
x_SalesAcc,-14.435428518266201,2.0
x_IndRel_PTIP,-13.893983903643527,5.0
x_IndRel_BP,11.637855659259065,5.0
x_FCFP,-10.430140581840488,5.0
x_IndRel_EBITDAP,-10.19372399019026,5.0
x_SalesToEPSChg,-10.105001049887315,4.0
x_IndRel_AstP,-8.771906405982504,5.0
x_BP,-8.33552480343941,5.0
x_STO,-7.940863554706387,1.0
x_IndRel_NCAP,-7.6219617400645925,5.0
x_PAdjChg1YSales,7.468525175424108,2.0
x_AdjEBITDAEV,-6.358862802943293,5.0
x_LogAssets,6.269994605314506,7.0
x_AccrualRatioBS,5.481617726184567,4.0
x_AccrualRatioCF,-5.452173969931177,4.0
x_GPMargin,5.349033502631212,4.0
x_LogTTMSales,-5.045785478450333,7.0
x_CFP,-5.0334310872177985,5.0
x_IndRel_CFP,5.007190038988625,5.0
x_CashAst,4.48812709850647,5.0
x_ShareChg,4.359148985076332,6.0
x_CashAdjEV,4.256158607734185,5.0
x_AdjFwdEPC,-3.9940659976984842,5.0
x_EBITMargin,-3.7163041146699594,4.0
x_AnnVol12M,3.482153645754101,8.0
x_EBITEstDisp,3.3989451992747486,3.0
x_IndRel_OCFP,3.033773815748356,5.0
x_CapExToAst,2.929852598983694,6.0
x_IndRel_OEP,2.920218033989715,5.0
x_CFAst,-2.7186632365923664,4.0
x_ROA_2,2.7143586157794397,6.0
x_IndRel_SP,2.7007764513467123,5.0
x_IndRel_EBITDAEV,2.6651758759811406,5.0
x_PA52WL20DLag,-2.661567765150418,1.0
x_IndRel_EPSEstDispFY1C,2.5284542783814876,3.0
x_IO_Concentration,2.405981139627881,1.0
x_AdjChgEPStoSales,-2.3887427221834874,4.0
x_AdjEPSNumRevFY1C,-2.3161785093601273,3.0
x_IndRel_CashAst,-2.3085504995054738,5.0
x_IndRel_PAdjChg1YSales,-2.2775919669766513,2.0
x_IndRel_FCFEqt,-2.2349360617492,5.0
x_Rev3MFY2C,-2.1870563436532526,3.0
x_SharpeRatio,-2.1796123248570214,1.0
x_PSlopeSERR_26W,2.17453908002795,1.0
x_StdErr180D,-2.1328313531745864,1.0
x_EPSEstDispFY2C,2.1226890539484717,3.0
x_DepToCapex,2.1220894016509755,4.0
x_4To52WPrcOsc,-2.11745047746376,1.0
x_CapAcqRatio,2.1099105999359478,6.0
x_60MAVGTTMROA,-2.103733209314081,6.0
x_CFEV,2.0220338576193524,5.0
x_PM6M,-1.9735756967272602,1.0
x_IndRel_LTDE,1.8808883534712133,6.0
x_LTDA,-1.845593244362797,6.0
x_IndRel_AdjAccruals,1.8194095861684905,4.0
x_EPSEstDispFY1C,1.7771044100820719,3.0
x_IO_Level_AM,1.7754472533001915,1.0
x_PAdjChg1YOCF,1.7230824668878293,2.0
x_WCAccruals,-1.708102747052902,4.0
x_BuyToSellRecLess3MEMA,-1.6093160872632302,3.0
x_IndRel_AccrualRatioBS,-1.6071473526177853,4.0
x_IO_Level,-1.5527947137669966,1.0
x_calendarquarter,1.5415404917138087,
x_IndRel_Chg1YOCF,-1.5302280705496507,2.0
x_Beta60M,-1.5238714977542929,8.0
x_DebtChg1Y,-1.5167400651684968,6.0
x_YoYChgDA,1.5162805901953538,8.0
x_CVVolPrc20D,-1.514584847600247,1.0
x_AdjFwdFCFPC,1.448153664062015,5.0
x_MVEToTL,-1.445189073831085,6.0
x_LogUnadjPrice,1.440269035485647,1.0
x_IO_BreadthStabHD,-1.3978374845055552,1.0
x_OCFAst_2,1.3905890356750854,4.0
x_IndRel_CapExToAst,-1.3798284653486064,6.0
x_IndRel_OEA,-1.37893513127401,4.0
x_6MChgTgtPrc,1.3679660721064781,3.0
x_InvToAst,1.357322551499432,4.0
x_IO_ChgofIO_AM,-1.3537885626828121,1.0
x_PM1M,-1.353382946343258,1.0
x_FCFEqt,1.3523408539355959,5.0
x_AssetTurn_2,1.3272867448223298,4.0
x_PM9M,1.3216223165397087,1.0
x_IndRel_InvToAst,-1.214123535121127,4.0
x_IndRel_PM6M,-1.2120110453241024,1.0
x_EPSNumRevFY1C,1.2103798616242039,3.0
x_IndRel_PM5D,-1.204277135865598,1.0
x_IndRel_CashEV,-1.1825224744624514,5.0
x_IndRel_AccrualRatioCF,1.1746886205796845,4.0
x_IndRel_WCAccruals,1.1531117208845716,4.0
x_IndRel_LTDA,1.152877075252141,6.0
x_IndRel_PM1M,1.1235110024849189,1.0
x_PrcTo260DL,1.0981971842016065,1.0
x_Chg3YOPM,-1.078346331785311,2.0
x_IndRel_FCFEV,-1.054385842428382,5.0
x_Adj50DVolSig,-1.0509661268993,8.0
x_PAdjChg1YEPS,-1.0360699243085745,2.0
x_ChgATO_2,1.0348937435290266,2.0
x_SEV,1.0139181430030213,5.0
x_Chg1YROA,-1.0038398335175,2.0
x_STO_6M,-1.0028010196925128,1.0
x_14DayRSI,0.9904633281760984,1.0
x_IndRel_EPSToSalesChg1Y,0.9850309602342732,4.0
x_IndRel_DepToCapex,-0.983809885994925,4.0
x_FL,-0.9762294328456717,6.0
x_AdjRev3MFY1C,0.9746314176225469,3.0
x_AnnVol1M,0.9670883349226073,8.0
x_IndRel_FCFP,0.9558737337603589,5.0
x_IndRel_CashCycle,-0.9474688301065954,4.0
x_Chg1YLTDA,-0.8937486179812006,2.0
x_PTIToNOA,-0.8811563574300186,4.0
x_IndRel_ShareChg,0.8697268234157957,6.0
x_IndRel_PM9M,0.8538754364760579,1.0
x_ConsQPosChginTTMCF,-0.8520693281628049,2.0
x_24MResRtnVar,-0.8413216084659965,1.0
x_ConsQPosChgTTMEPS,-0.8378021711395465,2.0
x_AdjAstAdjChg1YFCF,-0.8365417655270414,2.0
x_IndRel_GPMargin,-0.8344797714370921,4.0
x_IndRel_FwdEPC,-0.826135579093672,5.0
x_Chg1YOPM,-0.809336085976411,2.0
x_ROEStab,0.8020045707017702,2.0
x_52WSlope,0.7816382098364644,1.0
x_Chg4QSalesTrend,0.7575277747692734,2.0
x_IndRel_SUEC,0.7527785865335134,3.0
x_HL52W,0.7459712311682295,1.0
x_IndRel_EPSSurpC,0.740401429315899,3.0
x_IndRel_SEV,-0.7339594265739637,5.0
x_IndRel_ROE,0.7332880126961078,6.0
x_PAdjChg3YSales,0.7233008070645953,2.0
x_6MAvgChg1MRecC,-0.7009233178135352,3.0
x_DivP,0.7000196713982041,5.0
x_CVVolPrc60D,0.6944797961062655,1.0
x_IO_ChgofIO_HF,0.6891790348049786,1.0
x_RelPrStr_12M,0.6708211937472889,1.0
x_6MChgTgtPrcGap,0.6649311352140729,3.0
x_HL1M,-0.6567497711395142,1.0
x_5DVolSig,0.634487192004318,1.0
x_AdjEPSNumRevFY2C,0.6336746793379343,3.0
x_IndRel_MaxRetPayoff,0.6308870433506838,1.0
x_RevEstDisp,0.6239173655851628,3.0
x_CQPTTMCFtoSales,-0.6146726197293405,2.0
x_IndRel_PM12M1M,-0.5963034473767721,1.0
