feature,importance,feature_category
x_RevEstDisp,490,3.0
x_SalesAcc,159,2.0
x_EBITEstDisp,136,3.0
x_Chg4QSalesTrend,132,2.0
x_5DVolSig,128,1.0
x_Chg1YOPM,119,2.0
x_IndRel_CFROIC,115,6.0
x_IndRel_EPSSurpC,114,3.0
x_IndRel_InvToAst,112,4.0
x_Chg1YTurnover,106,1.0
x_ChgSalesMargin,105,4.0
x_IO_ChgofNumBY,105,1.0
x_UnexpectedRecChg,104,4.0
x_IO_ChgofIO_AM,104,1.0
x_IndRel_ShortIntTrdVol,103,1.0
x_Adj50DVolSig,102,8.0
x_IO_Foreign,99,1.0
x_CVVolPrc20D,99,1.0
x_AdjFwdFCFPC,96,5.0
x_14DayRSI,94,1.0
x_IndRel_CashAst,93,5.0
x_BuyToSellRecLess3MEMA,93,3.0
x_InvToAstChg1Y,92,4.0
x_6MAvgChg1MRecC,92,3.0
x_EPSEstDispFY2C,92,3.0
x_PM1M,91,1.0
x_IO_StabofChgHD,90,1.0
x_LogTTMSales,90,7.0
x_Chg1YAmihud,90,8.0
x_RecTurn,89,6.0
x_IndRel_DepToCapex,88,4.0
x_RskAdjRS,88,1.0
x_ShortIntRatio,88,1.0
x_IndRel_SP,88,5.0
x_IO_InvDuration,87,1.0
x_STO_6M,87,1.0
x_IO_NAT,86,1.0
x_6MChgTgtPrcGap,85,3.0
x_PAdjChg1YSales,85,2.0
x_IndRel_OEA,85,4.0
x_12QTrendTTMEPS,84,2.0
x_Alpha36M6MPChg,84,1.0
x_DebtChg1Y,83,6.0
x_Alpha18M6MPChg,83,1.0
x_SharpeRatio,83,1.0
x_EPSEstDispFY1C,82,3.0
x_AstGrwth,82,6.0
x_IndRel_EPSEstDispFY1C,82,3.0
x_DepToCapex,81,4.0
x_5DMoneyFlowVol,81,1.0
x_IndRel_MaxRetPayoff,80,1.0
x_IO_Concentration,80,1.0
x_IndRel_SEV,80,5.0
x_CashCycle,80,4.0
x_ChgATO_2,79,2.0
x_IO_TO,79,1.0
x_CVVolPrc60D,79,1.0
x_IndRel_PM5D,77,1.0
x_IndRel_RONA,77,5.0
x_Beta60M,77,8.0
x_Rev3MFY2C,76,3.0
x_EPSStab,76,2.0
x_BVEV,75,5.0
x_Alpha12M6MPChg,74,1.0
x_IndRel_ROE,74,6.0
x_IO_BreadthStabHD,74,1.0
x_Chg1YOCF,73,2.0
x_90DCV,73,8.0
x_MaxRetPayoff,73,1.0
x_130DMinRtn,72,8.0
x_Chg3YOPM,72,2.0
x_IndRel_EBITDAEV,72,5.0
x_Chg1YLTDA,72,2.0
x_Chg1YROA,72,2.0
x_PM5D,71,1.0
x_TobinQ,71,6.0
x_PrcTo260DL,70,1.0
x_IndRel_PM1M,70,1.0
x_AstAdjChg1YCF,70,2.0
x_IndRel_AstP,69,5.0
x_CapAcqRatio,69,6.0
x_WCAccruals,69,4.0
x_IO_ChgofIO_HF,69,1.0
x_AssetTurn_2,69,4.0
x_IndRel_ShareChg,68,6.0
x_PAdjChg1YOCF,68,2.0
x_SUEC,67,3.0
x_IndRel_ChgSalesMargin,67,4.0
x_IndRel_DivP,67,5.0
x_IndRel_Chg1YOPM,67,2.0
x_InvToAsset,66,4.0
x_AnnVol1M,66,8.0
x_EBITMargin,66,4.0
x_60MAVGTTMROE,65,6.0
x_AccrualRatioCF,65,4.0
x_IO_BreadthStabBY,65,1.0
x_IndRel_Chg1YOCF,65,2.0
x_AdjAccruals,65,4.0
x_RevMagFY1C,64,3.0
x_CashAst,64,5.0
x_IndRel_CashP,64,5.0
x_AdjEPSNumRevFY1C,64,3.0
x_StdErr180D,64,1.0
x_IndRel_SUEC,63,3.0
x_LTDA,63,6.0
x_6MChgTgtPrcGapEMA,63,3.0
x_PAdjChg3YSales,63,2.0
x_HL1M,63,1.0
x_LogAssets,63,7.0
x_CapExToAst,63,6.0
x_ChgSalestoChgEPS,62,4.0
x_CFIC,62,4.0
x_IndRel_PM9M,62,1.0
x_IndRel_CapExToAst,61,6.0
x_IndRel_GPMargin,61,4.0
x_IndRel_FCFEV,61,5.0
x_6MChgTgtPrc,61,3.0
x_AdjRevMagC,61,3.0
x_IO_Level,60,1.0
x_52WSlope,60,1.0
x_GPMargin,60,4.0
x_SalesToEPSChg,60,4.0
x_IndRel_PAdjChg1YSales,60,2.0
x_EPSNumRevFY1C,60,3.0
x_IndRel_FwdEPC,60,5.0
x_FL,60,6.0
x_CashBurn,59,4.0
x_IndRel_TotalAccruals,59,4.0
x_Alpha60M,59,1.0
x_IO_Level_AM,59,1.0
x_BP,58,5.0
x_IndRel_SolvencyRatio,58,5.0
x_SalesToInvCap,58,4.0
x_IndRel_LTDE,58,6.0
x_AdjFwdEPC,58,5.0
x_AdjAstAdjChg1YFCF,57,2.0
x_IndRel_TobinQ,57,6.0
x_IndRel_ROA,57,6.0
x_AnnVol12M,56,8.0
x_EPSToOCFChg,56,4.0
x_IndRel_PM6M,56,1.0
x_IndRel_EPSToSalesChg1Y,56,4.0
x_PM6M,56,1.0
x_AdjEBITP,56,5.0
x_CVVolPrc30D,55,1.0
x_ETO,55,4.0
x_LogUnadjPrice,55,1.0
x_IndRel_DebtChg1Y,55,6.0
x_IndRel_ROIC,54,6.0
x_IndRel_FCFEqt,53,5.0
x_FCFEqt,53,5.0
x_IndRel_PTMargin,53,6.0
x_SEV,53,5.0
x_RONA,52,5.0
x_IndRel_FCFP,52,5.0
x_AccrualRatioBS,52,4.0
x_IndRel_CashEV,52,5.0
x_IndRel_CashCycle,52,4.0
x_4To52WPrcOsc,52,1.0
x_IndRel_AdjAccruals,52,4.0
x_YoYChgDA,51,8.0
x_IndRel_FwdFCFPC,51,5.0
x_IndRel_WCAccruals,51,4.0
x_IndRel_RecTurn,50,6.0
x_PTIToNOA,50,4.0
x_IndRel_OCFEV,50,5.0
x_ROE,50,6.0
x_PSlopeSERR_26W,50,1.0
x_IndRel_CFEV,50,5.0
x_ShareChg,49,6.0
x_FCFP,49,5.0
x_AdjSTO_6M,49,1.0
x_AdjEBITDAEV,48,5.0
x_IndRel_AssetTurn,48,4.0
x_PAdjChg1YEPS,48,2.0
x_PAdjChg3YEPS,48,2.0
x_IndRel_PM12M1M,47,1.0
x_IndRel_DA,47,6.0
x_AdjRev3MFY1C,46,3.0
x_IndRel_AccrualRatioCF,46,4.0
x_AstAdjChg1YOCF,46,2.0
x_AdjChgEPStoSales,46,4.0
x_InvToAst,46,4.0
x_ROEStab,45,2.0
x_IndRel_InvToAsset,45,4.0
x_AstAdjChg3YEPS,45,2.0
x_PM9M,45,1.0
x_IndRel_BP,44,5.0
x_ROA_2,44,6.0
x_IndRel_PAdjChg1YEPS,44,2.0
x_DivToCF,43,5.0
x_RelPrStr_12M,43,1.0
x_IndRel_AccrualRatioBS,42,4.0
x_IndRel_OEP,42,5.0
x_PA52WL20DLag,42,1.0
x_60MAVGTTMROA,41,6.0
x_REToAst_2,41,4.0
x_calendarquarter,41,
x_STO,41,1.0
x_PrcTo52WH,40,1.0
x_IndRel_PTIP,40,5.0
x_IndRel_EBITDAP,40,5.0
x_24MResRtnVar,39,1.0
x_IndRel_LTDA,39,6.0
x_CFEV,38,5.0
x_CashEV,38,5.0
x_CQDOHtoSales,38,2.0
x_CFP,38,5.0
x_CashAdjEV,37,5.0
x_CQPTTMCFtoSales,37,2.0
x_CashP,36,5.0
x_52WVPT20DLag,36,1.0
x_DivP,35,5.0
x_MVEToTL,35,6.0
x_OCFAst_2,35,4.0
x_EBITDAEV,35,5.0
x_CFAst,34,4.0
x_HL52W,34,1.0
x_IndRel_CFP,33,5.0
x_AdjEPSNumRevFY2C,32,3.0
x_IndRel_NCAP,30,5.0
x_IndRel_OCFP,29,5.0
x_ConsQPosChgTTMEPS,25,2.0
x_ConsQPosChginTTMCF,23,2.0
x_IndRel_EP,22,5.0
x_CQDRItoSales,17,2.0
