feature,importance,feature_category
x_AdjEBITP,-5.0407712438882095,5.0
x_SalesToEPSChg,5.009822982501183,4.0
x_PAdjChg1YOCF,-3.3241776051164105,2.0
x_EBITDAEV,-2.802451178746468,5.0
x_CFEV,2.3092328834699165,5.0
x_IndRel_SP,-1.7466215786626291,5.0
x_IndRel_AstP,1.2967163266586577,5.0
x_IndRel_OCFP,-0.8301482974496776,5.0
x_LogTTMSales,-0.7928317886766456,7.0
x_AccrualRatioCF,0.753667781891759,4.0
x_IndRel_PAdjChg1YSales,0.7509848575174217,2.0
x_PrcTo260DL,0.6679875205431971,1.0
x_FCFP,-0.6332630351160938,5.0
x_IndRel_EBITDAP,0.6123162992059832,5.0
x_PAdjChg1YSales,-0.5815885080332573,2.0
x_AdjFwdFCFPC,-0.5695126856298897,5.0
x_IndRel_PTMargin,0.5378394184174502,6.0
x_IndRel_SEV,0.5117122093924406,5.0
x_CFP,-0.5004865358317685,5.0
x_OCFAst_2,0.4997294093911313,4.0
x_AssetTurn_2,0.4986255158780244,4.0
x_AnnVol12M,0.49382631271388405,8.0
x_calendarquarter,-0.48750919178822083,
x_IndRel_PTIP,-0.4859022112667829,5.0
x_IndRel_SUEC,0.4739373426210581,3.0
x_IndRel_PAdjChg1YEPS,0.4511570753644648,2.0
x_LogAssets,0.4468936649081335,7.0
x_24MResRtnVar,-0.41729417626348286,1.0
x_EPSEstDispFY1C,-0.40509203200018284,3.0
x_GPMargin,-0.3939817701214304,4.0
x_RevMagFY1C,0.38738786603232356,3.0
x_IndRel_NCAP,0.38363972226842574,5.0
x_IndRel_AssetTurn,-0.38214613634779543,4.0
x_IndRel_EP,-0.3819977433481229,5.0
x_IndRel_OCFEV,-0.37880430455983416,5.0
x_AdjFwdEPC,0.35123756834286946,5.0
x_Rev3MFY2C,-0.3505725323672518,3.0
x_EBITMargin,0.349001964015556,4.0
x_RevEstDisp,-0.34644763207427653,3.0
x_AstAdjChg1YOCF,-0.34304759847534644,2.0
x_CapExToAst,-0.33033208339145176,6.0
x_IndRel_FCFP,-0.3184408978396277,5.0
x_PM9M,-0.29373824028486717,1.0
x_LTDA,-0.28931295442232824,6.0
x_IndRel_EPSToSalesChg1Y,-0.2886348285190249,4.0
x_AdjEPSNumRevFY1C,0.2862008996560292,3.0
x_CashAst,0.2837533978366302,5.0
x_IndRel_BP,-0.2798502004237307,5.0
x_52WVPT20DLag,-0.2702748748282049,1.0
x_IndRel_CashP,-0.2695557687489019,5.0
x_InvToAsset,0.2326128816639567,4.0
x_SharpeRatio,-0.22984558887861198,1.0
x_BP,0.2277643545440337,5.0
x_IndRel_WCAccruals,-0.22757828744774974,4.0
x_CQPTTMCFtoSales,-0.2257521756213898,2.0
x_60MAVGTTMROA,-0.22311129264790375,6.0
x_DivP,-0.220794138394483,5.0
x_MaxRetPayoff,-0.21617993527256882,1.0
x_FCFEqt,0.21583606372945421,5.0
x_IndRel_CashEV,-0.21538947945808212,5.0
x_IndRel_EBITDAEV,0.21527094470231548,5.0
x_PM6M,0.21447218230752604,1.0
x_PSlopeSERR_26W,0.21381021234044054,1.0
x_CashAdjEV,0.21280812648919437,5.0
x_PAdjChg1YEPS,0.20731461937576712,2.0
x_IO_Level,0.20413337827415304,1.0
x_AdjAstAdjChg1YFCF,0.20240208858641734,2.0
x_IndRel_ShortIntTrdVol,-0.2013641912904149,1.0
x_ROE,-0.20122225927381565,6.0
x_DivToCF,-0.19925286390193173,5.0
x_IndRel_MaxRetPayoff,0.19163088199065761,1.0
x_CashCycle,0.1915895934522999,4.0
x_CashP,-0.1896149912036848,5.0
x_AdjChgEPStoSales,-0.18688928884113695,4.0
x_IndRel_ChgSalesMargin,0.1851616482651808,4.0
x_STO,-0.1851382913881425,1.0
x_Chg1YTurnover,-0.18369079345370035,1.0
x_SalesAcc,-0.17959278462287168,2.0
x_DepToCapex,0.17539887925682943,4.0
x_WCAccruals,0.17268842131668016,4.0
x_IndRel_DA,0.17138954268270662,6.0
x_ChgATO_2,-0.17044391719347837,2.0
x_IndRel_RONA,-0.17011799900160254,5.0
x_Chg1YOCF,-0.16715747994572408,2.0
x_Chg1YROA,-0.16441899257491982,2.0
x_IndRel_AccrualRatioCF,-0.16416766208902275,4.0
x_IndRel_PM6M,-0.16302556842416627,1.0
x_PrcTo52WH,0.1629916092468948,1.0
x_Chg1YOPM,-0.1604072263678788,2.0
x_IndRel_OEP,-0.15932630126266029,5.0
x_PA52WL20DLag,-0.15890584358184418,1.0
x_IO_BreadthStabHD,-0.15836246306182072,1.0
x_ShareChg,-0.15825515896160983,6.0
x_SUEC,-0.1562576572971899,3.0
x_Chg3YOPM,-0.15397453121405108,2.0
x_Beta60M,-0.15181880889680727,8.0
