model,r2,mse,rmse,mae
linear,36.71656292992396,922.9926353489674,17.855558109940112,0.9868944139144622
ridge,3.5013214842261036,87.07354252061926,4.406560372123427,0.3220302802910962
lasso,0.00034877629532522887,0.4681775243026064,0.047061073871353276,0.04847895532983709
enet,0.0006505626693993236,0.46301928527013275,0.04655529333833151,0.047900421633060165
xgb,0.025009678209853916,0.6721969666164165,0.06867727577112745,0.05254800141577802
lgbm,0.026532386973195845,0.7204887395188933,0.07440816706730881,0.05679699326114004
catboost,0.017027356264642423,0.5179966933049468,0.05380108584804481,0.05245901347973142
nn1,0.008884971304988935,0.55696131136924,0.05692118885456289,0.062152067157720065
nn2,0.015853947802912525,0.7382121698428367,0.07519727084154704,0.05650183030688104
nn3,0.015417097006277516,0.6386015121590797,0.06515615877262575,0.039468699583503644
