model,r2,mse,rmse,mae
linear,-104.41341489480854,145397.9520686471,221.66678880266977,34.54024207988117
ridge,-1.4132905175821882,3366.8637603421375,55.467740757828054,26.937954732187364
lasso,0.04007070489804534,1356.6306235856096,36.79416739763354,23.81739030297361
enet,0.04404780651445792,1350.9263969371482,36.717341272221255,23.815552795411698
xgb,0.04470704653196367,1347.794370647613,36.686004386077045,24.196634106171174
lgbm,0.04177269511904478,1352.6823038736006,36.74846166747435,24.27408128092406
catboost,0.06962528002503783,1314.4996951592216,36.21997211441833,23.597320673211346
nn1,0.02771157036680676,1373.8571564101785,37.02858328956941,24.222357936116378
nn2,0.027675018931027306,1374.820475175485,37.034782296811876,24.02870574930924
nn3,0.012135615915417786,1396.871326417743,37.32934074849793,24.493044701600358
