feature,importance,feature_category
x_IndRel_EPSSurpC,1.4306478640233649,3.0
x_SUEC,1.368827745734561,3.0
x_IndRel_DepToCapex,1.318270672784389,4.0
x_IndRel_CapExToAst,0.996627646169307,6.0
x_EBITEstDisp,0.966650117333418,3.0
x_IndRel_SUEC,0.9546596722043149,3.0
x_ChgSalestoChgEPS,0.9460140548171446,4.0
x_IndRel_PM1M,0.9109066257847916,1.0
x_IndRel_Chg1YOCF,0.8851402841100149,2.0
x_SalesToEPSChg,0.8685389656206375,4.0
x_Chg1YOPM,0.8601508962825958,2.0
x_14DayRSI,0.8450707575363753,1.0
x_calendarquarter,0.8314731647750245,
x_DepToCapex,0.8307997490156144,4.0
x_IndRel_DebtChg1Y,0.8202542591382149,6.0
x_IO_Level,0.8156107115704373,1.0
x_BuyToSellRecLess3MEMA,0.8044561035030074,3.0
x_CVVolPrc20D,0.8006496779638899,1.0
x_IO_ChgofIO_HF,0.7985163744201865,1.0
x_IndRel_CFEV,0.7921433852633885,5.0
x_Alpha12M6MPChg,0.7749429883753063,1.0
x_RONA,0.7654403912281549,5.0
x_PAdjChg3YEPS,0.748958433773099,2.0
x_EPSStab,0.7418819514608738,2.0
x_RskAdjRS,0.730530144208659,1.0
x_IndRel_InvToAsset,0.7287063309262211,4.0
x_Beta60M,0.7276184177589317,8.0
x_SEV,0.7264536950387519,5.0
x_HL1M,0.7237969848596065,1.0
x_ShortIntRatio,0.7230150140869547,1.0
x_CapExToAst,0.7189490849540914,6.0
x_IndRel_PM5D,0.6951401953082843,1.0
x_IndRel_CashAst,0.6691383056280135,5.0
x_IO_TO,0.6679581355212325,1.0
x_PM1M,0.6613171984877163,1.0
x_BP,0.6566764833179264,5.0
x_CashBurn,0.6518292032254349,4.0
x_IndRel_MaxRetPayoff,0.650714407357851,1.0
x_Alpha18M6MPChg,0.6445338495615316,1.0
x_EBITMargin,0.6333209427260132,4.0
x_IO_BreadthStabBY,0.6191008153364773,1.0
x_EPSEstDispFY2C,0.6177435761696971,3.0
x_LTDA,0.6172671185527797,6.0
x_AdjEPSNumRevFY2C,0.616262666580176,3.0
x_SharpeRatio,0.5995544915955642,1.0
x_IndRel_SolvencyRatio,0.5898523324914502,5.0
x_IO_ChgofIO_AM,0.5845448680411102,1.0
x_AstGrwth,0.5817677543287135,6.0
x_IndRel_AstP,0.578244168253126,5.0
x_REToAst_2,0.5769222993183408,4.0
x_Chg1YAmihud,0.5761440809876698,8.0
x_IO_Level_AM,0.5660288544740302,1.0
x_LogTTMSales,0.5645525349876966,7.0
x_IndRel_PAdjChg1YSales,0.5595965660357649,2.0
x_IndRel_AdjAccruals,0.5549623104090255,4.0
x_IO_NAT,0.5367986535490824,1.0
x_IndRel_FwdFCFPC,0.5331023591432461,5.0
x_6MChgTgtPrcGap,0.5318677714873594,3.0
x_RevEstDisp,0.5267543171257362,3.0
x_PAdjChg1YEPS,0.5258280101230639,2.0
x_PM5D,0.5250017796840275,1.0
x_GPMargin,0.519955444418105,4.0
x_RecTurn,0.5187301400535392,6.0
x_HL52W,0.5165487507771217,1.0
x_5DMoneyFlowVol,0.5117023279652968,1.0
x_IndRel_OCFP,0.509872198545341,5.0
x_IO_InvDuration,0.5082856214001877,1.0
x_PTIToNOA,0.5029034977161105,4.0
x_PAdjChg3YSales,0.49936461719118663,2.0
x_IndRel_LTDA,0.497296961806298,6.0
x_IndRel_RecTurn,0.4959366582612911,6.0
x_ChgATO_2,0.4949909785392506,2.0
x_ShareChg,0.4915289994577937,6.0
x_IndRel_EPSEstDispFY1C,0.49051206266796227,3.0
x_CashAdjEV,0.485558893801982,5.0
x_IndRel_EBITDAEV,0.4845396776625318,5.0
x_EPSNumRevFY1C,0.4830337988439336,3.0
x_AssetTurn_2,0.47708183138398363,4.0
x_IndRel_FCFEV,0.47491984398403525,5.0
x_CashCycle,0.4705034322779992,4.0
x_InvToAsset,0.4704536645340402,4.0
x_Alpha60M,0.4700193336029426,1.0
x_IO_Concentration,0.46946161331752084,1.0
x_Alpha36M6MPChg,0.4628528892890144,1.0
x_52WVPT20DLag,0.46232366618948567,1.0
x_ROE,0.4608385833141494,6.0
x_IndRel_DivP,0.45755533945069904,5.0
x_IndRel_GPMargin,0.4556107927443148,4.0
x_IndRel_OCFEV,0.45405825423809415,5.0
x_IndRel_CashP,0.45074645738828306,5.0
x_PrcTo52WH,0.44968179611129944,1.0
x_AstAdjChg3YEPS,0.4482425767976656,2.0
x_IndRel_CashCycle,0.43990186627712224,4.0
x_Chg4QSalesTrend,0.4382286866704074,2.0
x_IndRel_SP,0.43818236676599515,5.0
x_CashEV,0.4355585734385272,5.0
x_IndRel_DA,0.43498590274264215,6.0
x_AdjAstAdjChg1YFCF,0.4346533862001699,2.0
x_FCFP,0.43411148019668083,5.0
x_AdjRevMagC,0.43320293899213225,3.0
x_PSlopeSERR_26W,0.4315525537233422,1.0
x_52WSlope,0.43136513037246577,1.0
x_LogAssets,0.43046298023981183,7.0
x_Chg3YOPM,0.4252480510760642,2.0
x_OCFAst_2,0.4245463831361221,4.0
x_STO_6M,0.4179854308058141,1.0
x_12QTrendTTMEPS,0.417818478224021,2.0
x_IndRel_FCFP,0.41657673690987645,5.0
x_AstAdjChg1YOCF,0.41605888251364237,2.0
x_ETO,0.415511475304867,4.0
x_Adj50DVolSig,0.4107752753104911,8.0
x_RevMagFY1C,0.40840881641935106,3.0
x_CFEV,0.40651254862243585,5.0
x_BVEV,0.4063838504480412,5.0
x_CapAcqRatio,0.4026710520519303,6.0
x_IndRel_OEA,0.4025479611860516,4.0
x_IndRel_ShortIntTrdVol,0.4023049296997439,1.0
x_MVEToTL,0.4015485437770392,6.0
x_60MAVGTTMROA,0.39566240887952137,6.0
x_AdjEBITP,0.39548668967936895,5.0
x_RelPrStr_12M,0.3941522855878727,1.0
x_Chg1YLTDA,0.39346983213497977,2.0
x_ROA_2,0.3893214348315812,6.0
x_InvToAst,0.388567959435093,4.0
x_DivToCF,0.3885296713179282,5.0
x_SalesAcc,0.3863200377878949,2.0
x_5DVolSig,0.38166534472253083,1.0
x_4To52WPrcOsc,0.38136093925442216,1.0
x_IO_ChgofNumBY,0.3808101280727015,1.0
x_IndRel_InvToAst,0.3802959024102695,4.0
x_AdjFwdFCFPC,0.3801077558725766,5.0
x_IndRel_CashEV,0.3794317697722151,5.0
x_PAdjChg1YSales,0.36889159630916196,2.0
x_Chg1YOCF,0.3686279412399798,2.0
x_IO_BreadthStabHD,0.36220733989740567,1.0
x_IndRel_PTIP,0.36188212564837247,5.0
x_ROEStab,0.36094419510440295,2.0
x_IndRel_TotalAccruals,0.3597574650833855,4.0
x_IndRel_ROA,0.358596306355299,6.0
x_6MAvgChg1MRecC,0.35493258136144257,3.0
x_IndRel_FwdEPC,0.354390167306561,5.0
x_IndRel_BP,0.3521913760170306,5.0
x_PA52WL20DLag,0.34834864273873006,1.0
x_AdjEPSNumRevFY1C,0.34781321241776086,3.0
x_IndRel_CFROIC,0.3449950043417833,6.0
x_EPSToOCFChg,0.3443782507930237,4.0
x_ConsQPosChgTTMEPS,0.3442616636022999,2.0
x_IndRel_NCAP,0.3433751441758285,5.0
x_Chg1YTurnover,0.3431342005967202,1.0
x_90DCV,0.34120409736731183,8.0
x_IndRel_ShareChg,0.3375180072988806,6.0
x_YoYChgDA,0.32929363900553343,8.0
x_AdjSTO_6M,0.3271179948012873,1.0
x_AnnVol1M,0.32500979554570636,8.0
x_IndRel_EPSToSalesChg1Y,0.32016742721350566,4.0
x_UnexpectedRecChg,0.3193268433680755,4.0
x_CashP,0.3134343614178373,5.0
x_AdjFwdEPC,0.3122983751465694,5.0
x_TobinQ,0.30601901628705747,6.0
x_IndRel_PAdjChg1YEPS,0.30510054069132625,2.0
x_6MChgTgtPrcGapEMA,0.3008315661764451,3.0
x_AdjChgEPStoSales,0.30014927186725626,4.0
x_CVVolPrc30D,0.2986006695397107,1.0
x_CFP,0.29655737528263604,5.0
x_CashAst,0.29497241572763444,5.0
x_130DMinRtn,0.2936026777780158,8.0
x_PAdjChg1YOCF,0.2930775630214666,2.0
x_InvToAstChg1Y,0.2913114919858061,4.0
x_PrcTo260DL,0.2904358161299847,1.0
x_ChgSalesMargin,0.28863770852799703,4.0
x_IndRel_ROIC,0.2876109114417708,6.0
x_AstAdjChg1YCF,0.28543764587859893,2.0
x_AdjAccruals,0.2845708865871778,4.0
x_IndRel_LTDE,0.2808832995837568,6.0
x_IndRel_ChgSalesMargin,0.2807857249626294,4.0
x_CVVolPrc60D,0.277893266513811,1.0
x_IndRel_FCFEqt,0.2763052561221549,5.0
x_STO,0.2741020177315574,1.0
x_PM6M,0.27326538827790176,1.0
x_IndRel_AssetTurn,0.26784789296665734,4.0
x_IndRel_RONA,0.2673804562256117,5.0
x_IndRel_ROE,0.25466292674446306,6.0
x_IndRel_PM12M1M,0.24916506112746004,1.0
x_IO_StabofChgHD,0.24911333316867054,1.0
x_EBITDAEV,0.24644220505003292,5.0
x_StdErr180D,0.24416542496220262,1.0
x_IndRel_PM6M,0.24195241584485921,1.0
x_DebtChg1Y,0.2369484966403705,6.0
x_IndRel_Chg1YOPM,0.23373558888114238,2.0
x_SalesToInvCap,0.23183634058714472,4.0
x_CQPTTMCFtoSales,0.23000524590208407,2.0
x_IndRel_PM9M,0.22212283236991895,1.0
x_AnnVol12M,0.22018978433230468,8.0
x_IndRel_OEP,0.2145902251105306,5.0
x_AccrualRatioCF,0.21085809381933485,4.0
x_CFIC,0.21066834480688304,4.0
x_WCAccruals,0.20882902513661625,4.0
x_CQDRItoSales,0.2063634787369788,2.0
x_IndRel_TobinQ,0.2061528901248847,6.0
x_AccrualRatioBS,0.20402804345218667,4.0
x_IndRel_WCAccruals,0.19919822565861264,4.0
x_AdjRev3MFY1C,0.1952548235588966,3.0
x_IndRel_AccrualRatioBS,0.18718847121867366,4.0
x_IndRel_EBITDAP,0.17919701478662156,5.0
x_IO_Foreign,0.17879708669685473,1.0
x_24MResRtnVar,0.1779554712738013,1.0
x_ConsQPosChginTTMCF,0.17743946406486436,2.0
x_AdjEBITDAEV,0.17396799093237886,5.0
