feature,importance,feature_category
x_RevEstDisp,7.748259125575704,3.0
x_SalesAcc,2.2819366052160173,2.0
x_ChgSalesMargin,1.6226240572843442,4.0
x_SalesToInvCap,1.3595615449858192,4.0
x_AssetTurn_2,1.3246905355854817,4.0
x_IndRel_AstP,1.245744260788334,5.0
x_Chg4QSalesTrend,1.2281407383915819,2.0
x_AdjChgEPStoSales,1.2168117605919089,4.0
x_EBITEstDisp,1.1713631050052455,3.0
x_PAdjChg1YSales,1.155659895182336,2.0
x_AstAdjChg1YOCF,1.0890655232627537,2.0
x_InvToAsset,1.0679992774144524,4.0
x_Chg1YLTDA,1.0590502997930562,2.0
x_EPSNumRevFY1C,1.0253236474898366,3.0
x_DepToCapex,0.9940772517558871,4.0
x_EPSEstDispFY2C,0.9396115645182735,3.0
x_EPSStab,0.9099048136191132,2.0
x_IndRel_TotalAccruals,0.9068769661455234,4.0
x_RevMagFY1C,0.8705970534978706,3.0
x_IO_BreadthStabHD,0.8601437121771072,1.0
x_SUEC,0.8529360491975594,3.0
x_IndRel_ShortIntTrdVol,0.8367650867399246,1.0
x_ShareChg,0.8243053969462205,6.0
x_6MAvgChg1MRecC,0.8208065636765065,3.0
x_Alpha36M6MPChg,0.8045846424608707,1.0
x_CapAcqRatio,0.7968622544268272,6.0
x_14DayRSI,0.7767062644352261,1.0
x_AstGrwth,0.773601100554875,6.0
x_IndRel_Chg1YOCF,0.7563971651194032,2.0
x_LogTTMSales,0.7165945415747519,7.0
x_IndRel_ChgSalesMargin,0.6754951721363381,4.0
x_IndRel_GPMargin,0.6521841257066583,4.0
x_IndRel_AccrualRatioBS,0.6481657972107991,4.0
x_ETO,0.6200814768153041,4.0
x_AdjFwdEPC,0.6184245899606355,5.0
x_RecTurn,0.6151494349963087,6.0
x_ShortIntRatio,0.6135157033416186,1.0
x_LTDA,0.6068478812879651,6.0
x_52WSlope,0.605840730720116,1.0
x_ChgATO_2,0.6010180969143533,2.0
x_Chg1YROA,0.5801597201500164,2.0
x_CashCycle,0.5764679877200088,4.0
x_IndRel_ShareChg,0.5656138240333742,6.0
x_IO_ChgofNumBY,0.549622354854068,1.0
x_SEV,0.5474411915694293,5.0
x_IndRel_LTDA,0.5433147026551598,6.0
x_Beta60M,0.5429186727012372,8.0
x_AccrualRatioCF,0.5311188005408569,4.0
x_CapExToAst,0.5262078728817348,6.0
x_IndRel_EPSEstDispFY1C,0.5214423732668131,3.0
x_CashAst,0.5184100855938589,5.0
x_UnexpectedRecChg,0.5083755186884019,4.0
x_MaxRetPayoff,0.5053760020691398,1.0
x_IndRel_SolvencyRatio,0.49752943287188617,5.0
x_AdjAstAdjChg1YFCF,0.4954636861438292,2.0
x_AdjRev3MFY1C,0.49240549610251716,3.0
x_IndRel_EPSSurpC,0.48534742895388416,3.0
x_IO_Level_AM,0.4848142392639611,1.0
x_DivP,0.4788080748978469,5.0
x_IndRel_InvToAst,0.47594094853501434,4.0
x_IndRel_DebtChg1Y,0.47508052021253866,6.0
x_CashAdjEV,0.4720388457642534,5.0
x_AdjRevMagC,0.47173067797337037,3.0
x_SharpeRatio,0.47077906615229537,1.0
x_5DVolSig,0.47054830383171836,1.0
x_5DMoneyFlowVol,0.4700786031844931,1.0
x_DebtChg1Y,0.46909540348708323,6.0
x_IndRel_RONA,0.4649620627870968,5.0
x_4To52WPrcOsc,0.4563977032705477,1.0
x_Chg3YOPM,0.44846551289278597,2.0
x_Alpha60M,0.4447224087287046,1.0
x_CashEV,0.44437831386540655,5.0
x_EBITDAEV,0.4348276493302268,5.0
x_AdjFwdFCFPC,0.43413582347597746,5.0
x_IO_NAT,0.4265560173135624,1.0
x_AdjEBITDAEV,0.4252964881263025,5.0
x_STO_6M,0.41692661562213956,1.0
x_IndRel_FwdEPC,0.41198335880456344,5.0
x_IndRel_PAdjChg1YSales,0.4044610245849311,2.0
x_IndRel_RecTurn,0.3978218855934527,6.0
x_IndRel_OEA,0.39328608671406984,4.0
x_IndRel_ROE,0.39305493572049355,6.0
x_IndRel_DepToCapex,0.38821742363973943,4.0
x_IndRel_PTIP,0.38768077534986933,5.0
x_IndRel_FCFP,0.3869581256239923,5.0
x_IndRel_ROA,0.38210180174969677,6.0
x_IndRel_WCAccruals,0.38116941468759247,4.0
x_WCAccruals,0.3799389875883706,4.0
x_PM9M,0.3790994145827551,1.0
x_PM5D,0.3789276841146541,1.0
x_IndRel_MaxRetPayoff,0.3776172530757998,1.0
x_52WVPT20DLag,0.3766519316603869,1.0
x_IO_ChgofIO_AM,0.3745306307807964,1.0
x_PM1M,0.37185533591708697,1.0
x_IndRel_Chg1YOPM,0.3714835490378061,2.0
x_PAdjChg1YOCF,0.36732287775811173,2.0
x_IndRel_SP,0.3639629710610579,5.0
x_PTIToNOA,0.36177381741942344,4.0
x_RskAdjRS,0.3569099873306843,1.0
x_DivToCF,0.35403514800662156,5.0
x_12QTrendTTMEPS,0.3532120179888651,2.0
x_Adj50DVolSig,0.3493341760957856,8.0
x_CashBurn,0.34783646872274787,4.0
x_IndRel_TobinQ,0.34592644497736885,6.0
x_EPSToOCFChg,0.3454392634115249,4.0
x_AnnVol1M,0.3439358536066762,8.0
x_BuyToSellRecLess3MEMA,0.3424134798375609,3.0
x_Chg1YOCF,0.34160142012553363,2.0
x_LogUnadjPrice,0.3413677845893066,1.0
x_IndRel_PTMargin,0.3393105977275989,6.0
x_PM6M,0.3384975627091484,1.0
x_IndRel_BP,0.3384671223858725,5.0
x_AdjAccruals,0.33511722375450964,4.0
x_90DCV,0.3349714031651135,8.0
x_Chg1YAmihud,0.3337244554713472,8.0
x_IO_StabofChgHD,0.3329787753105501,1.0
x_IndRel_PM5D,0.33290823788592455,1.0
x_OCFAst_2,0.32914400472118077,4.0
x_24MResRtnVar,0.3234785763991469,1.0
x_IndRel_OCFP,0.32334641835209954,5.0
x_PAdjChg1YEPS,0.31615655845267315,2.0
x_IO_Foreign,0.3146278675984241,1.0
x_CVVolPrc60D,0.31446819161796397,1.0
x_IndRel_CFP,0.31360804898225525,5.0
x_IndRel_AccrualRatioCF,0.30844308748406285,4.0
x_BVEV,0.30628966720525386,5.0
x_ChgSalestoChgEPS,0.30608019194650166,4.0
x_ROA_2,0.30333060475041257,6.0
x_PSlopeSERR_26W,0.3027085155999551,1.0
x_Rev3MFY2C,0.2990743057225467,3.0
x_IndRel_DA,0.29906006579934996,6.0
x_130DMinRtn,0.2987084338336319,8.0
x_EPSEstDispFY1C,0.29641489734122434,3.0
x_IndRel_CFROIC,0.29395151693384725,6.0
x_IndRel_CFEV,0.2914773228957216,5.0
x_EBITMargin,0.28992073469469976,4.0
x_IndRel_EPSToSalesChg1Y,0.2872380386130876,4.0
x_Alpha12M6MPChg,0.2858818487694514,1.0
x_IO_InvDuration,0.28568155395082623,1.0
x_AdjEPSNumRevFY2C,0.2853405068250069,3.0
x_CQDOHtoSales,0.28288797315966396,2.0
x_IndRel_FCFEV,0.27969182214369265,5.0
x_FCFEqt,0.276851842434008,5.0
x_IndRel_SUEC,0.2751410407628716,3.0
x_60MAVGTTMROE,0.2742264790990951,6.0
x_AstAdjChg1YCF,0.27422213659727024,2.0
x_PA52WL20DLag,0.2740591644965789,1.0
x_IndRel_NCAP,0.2726186926964553,5.0
x_60MAVGTTMROA,0.27071199845215127,6.0
x_HL1M,0.27004210736562184,1.0
x_PrcTo260DL,0.2695873575087162,1.0
x_FCFP,0.26825407100971255,5.0
x_AdjEPSNumRevFY1C,0.2663964138780488,3.0
x_AdjSTO_6M,0.26553079319581496,1.0
x_Alpha18M6MPChg,0.2641562840259758,1.0
x_LogAssets,0.26350196776417556,7.0
x_IO_ChgofIO_HF,0.26294355716580897,1.0
x_IndRel_LTDE,0.260443616613964,6.0
x_IO_Level,0.25830063998612235,1.0
