feature,importance,feature_category
x_SUEC,137,3.0
x_6MChgTgtPrcGapEMA,128,3.0
x_IO_ChgofNumBY,124,1.0
x_IO_ChgofIO_HF,121,1.0
x_EPSStab,120,2.0
x_EBITEstDisp,119,3.0
x_EPSEstDispFY1C,118,3.0
x_IndRel_SUEC,114,3.0
x_6MAvgChg1MRecC,114,3.0
x_IO_NAT,111,1.0
x_SalesAcc,110,2.0
x_5DMoneyFlowVol,104,1.0
x_SalesToEPSChg,104,4.0
x_Beta60M,103,8.0
x_Alpha12M6MPChg,102,1.0
x_Chg1YAmihud,102,8.0
x_IO_Concentration,101,1.0
x_Chg1YOPM,99,2.0
x_SharpeRatio,98,1.0
x_IndRel_Chg1YOCF,97,2.0
x_IndRel_FCFEqt,97,5.0
x_Alpha18M6MPChg,97,1.0
x_RskAdjRS,96,1.0
x_Alpha36M6MPChg,96,1.0
x_ChgSalestoChgEPS,96,4.0
x_Adj50DVolSig,95,8.0
x_6MChgTgtPrcGap,95,3.0
x_IndRel_ShortIntTrdVol,95,1.0
x_CVVolPrc60D,94,1.0
x_IndRel_EPSToSalesChg1Y,94,4.0
x_IndRel_SEV,93,5.0
x_CVVolPrc30D,91,1.0
x_PAdjChg1YSales,91,2.0
x_5DVolSig,90,1.0
x_IndRel_OCFEV,89,5.0
x_PAdjChg3YEPS,89,2.0
x_BuyToSellRecLess3MEMA,87,3.0
x_DepToCapex,87,4.0
x_IO_StabofChgHD,87,1.0
x_IndRel_EPSEstDispFY1C,86,3.0
x_ChgATO_2,86,2.0
x_IndRel_AstP,86,5.0
x_AdjFwdFCFPC,85,5.0
x_IO_Foreign,85,1.0
x_CashBurn,85,4.0
x_ROA_2,84,6.0
x_Chg1YTurnover,84,1.0
x_IO_Level,84,1.0
x_IO_ChgofIO_AM,84,1.0
x_GPMargin,84,4.0
x_14DayRSI,83,1.0
x_InvToAsset,83,4.0
x_BVEV,83,5.0
x_PSlopeSERR_26W,82,1.0
x_IO_BreadthStabBY,82,1.0
x_RelPrStr_12M,82,1.0
x_IndRel_InvToAsset,82,4.0
x_IO_Level_AM,80,1.0
x_IndRel_AccrualRatioCF,80,4.0
x_IndRel_PM6M,79,1.0
x_EPSNumRevFY1C,79,3.0
x_RecTurn,78,6.0
x_IndRel_InvToAst,78,4.0
x_IndRel_LTDE,77,6.0
x_RevMagFY1C,77,3.0
x_IndRel_CashAst,76,5.0
x_IndRel_ROA,76,6.0
x_Chg3YOPM,76,2.0
x_IndRel_PM5D,76,1.0
x_AdjAccruals,76,4.0
x_IndRel_PAdjChg1YSales,75,2.0
x_IndRel_LTDA,75,6.0
x_ROEStab,74,2.0
x_IndRel_AdjAccruals,74,4.0
x_IndRel_ROIC,74,6.0
x_PM6M,74,1.0
x_12QTrendTTMEPS,74,2.0
x_EPSEstDispFY2C,73,3.0
x_ShareChg,73,6.0
x_IndRel_RecTurn,72,6.0
x_IndRel_EPSSurpC,71,3.0
x_STO_6M,71,1.0
x_PM1M,71,1.0
x_PM5D,71,1.0
x_Alpha60M,71,1.0
x_IndRel_RONA,71,5.0
x_ShortIntRatio,70,1.0
x_IndRel_CashCycle,70,4.0
x_AdjRevMagC,70,3.0
x_IndRel_OEA,70,4.0
x_IO_TO,70,1.0
x_WCAccruals,69,4.0
x_IndRel_AssetTurn,69,4.0
x_PAdjChg1YEPS,69,2.0
x_UnexpectedRecChg,69,4.0
x_CapExToAst,69,6.0
x_IndRel_FCFEV,68,5.0
x_IndRel_ChgSalesMargin,68,4.0
x_RevEstDisp,68,3.0
x_CVVolPrc20D,68,1.0
x_IndRel_CFROIC,67,6.0
x_MaxRetPayoff,67,1.0
x_PAdjChg3YSales,67,2.0
x_130DMinRtn,66,8.0
x_AdjAstAdjChg1YFCF,66,2.0
x_LogUnadjPrice,66,1.0
x_IndRel_DepToCapex,66,4.0
x_BP,66,5.0
x_90DCV,66,8.0
x_HL1M,66,1.0
x_IndRel_CashP,65,5.0
x_IndRel_DebtChg1Y,65,6.0
x_AdjEBITDAEV,64,5.0
x_ChgSalesMargin,64,4.0
x_IndRel_ShareChg,64,6.0
x_IndRel_TobinQ,64,6.0
x_AnnVol1M,64,8.0
x_AstAdjChg3YEPS,64,2.0
x_IndRel_PAdjChg1YEPS,63,2.0
x_AccrualRatioCF,63,4.0
x_IndRel_FwdFCFPC,63,5.0
x_IndRel_SP,63,5.0
x_IndRel_DivP,63,5.0
x_IndRel_DA,62,6.0
x_IndRel_PM12M1M,62,1.0
x_PTIToNOA,62,4.0
x_EPSToOCFChg,62,4.0
x_IndRel_SolvencyRatio,62,5.0
x_IO_InvDuration,62,1.0
x_StdErr180D,62,1.0
x_IndRel_ROE,62,6.0
x_IndRel_CFP,61,5.0
x_FL,61,6.0
x_IndRel_NCAP,61,5.0
x_AccrualRatioBS,61,4.0
x_IndRel_FwdEPC,60,5.0
x_SEV,60,5.0
x_DebtChg1Y,60,6.0
x_IndRel_PM1M,59,1.0
x_AnnVol12M,59,8.0
x_IO_BreadthStabHD,59,1.0
x_Chg1YOCF,58,2.0
x_AdjFwdEPC,58,5.0
x_IndRel_Chg1YOPM,58,2.0
x_SalesToInvCap,58,4.0
x_CQDRItoSales,57,2.0
x_52WSlope,57,1.0
x_IndRel_MaxRetPayoff,57,1.0
x_IndRel_PTMargin,56,6.0
x_REToAst_2,56,4.0
x_AssetTurn_2,55,4.0
x_IndRel_PM9M,55,1.0
x_AdjEPSNumRevFY2C,55,3.0
x_PA52WL20DLag,54,1.0
x_IndRel_FCFP,54,5.0
x_ETO,53,4.0
x_IndRel_EBITDAP,53,5.0
x_Chg1YLTDA,53,2.0
x_OCFAst_2,53,4.0
x_IndRel_CapExToAst,53,6.0
x_CashAst,52,5.0
x_PAdjChg1YOCF,52,2.0
x_Chg1YROA,51,2.0
x_AstGrwth,50,6.0
x_MVEToTL,50,6.0
x_InvToAst,50,4.0
x_IndRel_TotalAccruals,50,4.0
x_ROE,49,6.0
x_52WVPT20DLag,49,1.0
x_IndRel_PTIP,49,5.0
x_CFEV,49,5.0
x_Chg4QSalesTrend,49,2.0
x_LogTTMSales,48,7.0
x_IndRel_EP,48,5.0
x_AstAdjChg1YCF,48,2.0
x_IndRel_OEP,48,5.0
x_HL52W,48,1.0
x_CashCycle,47,4.0
x_IndRel_CashEV,47,5.0
x_AdjChgEPStoSales,47,4.0
x_CashP,47,5.0
x_TobinQ,46,6.0
x_CFP,46,5.0
x_ConsQPosChgTTMEPS,45,2.0
x_CQDOHtoSales,45,2.0
x_6MChgTgtPrc,45,3.0
x_IndRel_AccrualRatioBS,45,4.0
x_EBITMargin,45,4.0
x_CFIC,44,4.0
x_AdjEBITP,44,5.0
x_YoYChgDA,44,8.0
x_AdjSTO_6M,43,1.0
x_PrcTo260DL,43,1.0
x_60MAVGTTMROE,42,6.0
x_IndRel_EBITDAEV,42,5.0
x_CashAdjEV,42,5.0
x_IndRel_GPMargin,42,4.0
x_EBITDAEV,42,5.0
x_FCFP,41,5.0
x_IndRel_BP,41,5.0
x_IndRel_OCFP,41,5.0
x_AdjEPSNumRevFY1C,40,3.0
x_RONA,40,5.0
x_Rev3MFY2C,40,3.0
x_STO,39,1.0
x_InvToAstChg1Y,39,4.0
x_LTDA,38,6.0
x_IndRel_CFEV,38,5.0
x_IndRel_WCAccruals,38,4.0
x_PrcTo52WH,38,1.0
x_LogAssets,38,7.0
x_60MAVGTTMROA,37,6.0
x_AstAdjChg1YOCF,36,2.0
x_ConsQPosChginTTMCF,36,2.0
x_AdjRev3MFY1C,36,3.0
x_4To52WPrcOsc,36,1.0
x_PM9M,35,1.0
x_DivP,34,5.0
x_CapAcqRatio,33,6.0
x_FCFEqt,33,5.0
x_DivToCF,31,5.0
x_CFAst,30,4.0
x_24MResRtnVar,19,1.0
x_CashEV,16,5.0
x_CQPTTMCFtoSales,14,2.0
x_calendarquarter,14,
