feature,importance,feature_category
x_RevEstDisp,9.575748206724157,3.0
x_SalesAcc,2.340379127110486,2.0
x_GPMargin,1.7131696163241181,4.0
x_SUEC,1.666556686426575,3.0
x_LogTTMSales,1.5714546394728492,7.0
x_LogAssets,1.4259281757660076,7.0
x_IndRel_BP,1.332733154821991,5.0
x_EBITMargin,1.2515078900274037,4.0
x_CashAst,1.082065383896821,5.0
x_IndRel_InvToAsset,1.081332726777143,4.0
x_IndRel_PM9M,1.0330413344145633,1.0
x_REToAst_2,0.9809369964746962,4.0
x_IndRel_MaxRetPayoff,0.9080222634748519,1.0
x_DivToCF,0.8858810730476216,5.0
x_14DayRSI,0.8510654336965665,1.0
x_ChgSalesMargin,0.7897302399909972,4.0
x_EPSNumRevFY1C,0.7856711641926236,3.0
x_IndRel_LTDA,0.7854950005256409,6.0
x_calendarquarter,0.7841981436749416,
x_PM9M,0.7796416193956197,1.0
x_AdjEBITP,0.7671345456080004,5.0
x_IndRel_CashAst,0.7355389233474079,5.0
x_InvToAst,0.7329515866460474,4.0
x_IndRel_DivP,0.721135799938247,5.0
x_AstGrwth,0.7129146200926572,6.0
x_Chg1YLTDA,0.7095015821160271,2.0
x_EBITEstDisp,0.684760635601871,3.0
x_IndRel_EBITDAEV,0.6840379650468102,5.0
x_IO_ChgofNumBY,0.6566737708533831,1.0
x_IndRel_TotalAccruals,0.6473247104646941,4.0
x_PSlopeSERR_26W,0.6456684779276253,1.0
x_UnexpectedRecChg,0.630096812776215,4.0
x_IO_Level,0.6061924347228532,1.0
x_PAdjChg3YSales,0.6051713303666723,2.0
x_IndRel_AccrualRatioBS,0.5993938517217173,4.0
x_Chg1YOPM,0.5953401998215808,2.0
x_IndRel_InvToAst,0.589440681704786,4.0
x_SharpeRatio,0.5822541867036528,1.0
x_IndRel_CashCycle,0.581009853011396,4.0
x_IO_ChgofIO_AM,0.5667178837601959,1.0
x_Chg3YOPM,0.5580480400000316,2.0
x_FCFEqt,0.5570531769962445,5.0
x_AdjEPSNumRevFY1C,0.5552300517354972,3.0
x_Alpha36M6MPChg,0.5540941063725066,1.0
x_IndRel_NCAP,0.5485164169159535,5.0
x_IndRel_PTIP,0.5356406194783103,5.0
x_LTDA,0.5273264089263822,6.0
x_CFEV,0.5248822870320556,5.0
x_6MAvgChg1MRecC,0.5224980181752221,3.0
x_12QTrendTTMEPS,0.518614097541087,2.0
x_RevMagFY1C,0.5144488210734653,3.0
x_Chg1YAmihud,0.5093845293614322,8.0
x_PTIToNOA,0.5042608113072525,4.0
x_ShareChg,0.4951811937546441,6.0
x_ConsQPosChgTTMEPS,0.4932522071634639,2.0
x_IndRel_DepToCapex,0.49292049535817684,4.0
x_130DMinRtn,0.4858437824068995,8.0
x_Adj50DVolSig,0.48395647447030843,8.0
x_LogUnadjPrice,0.48298764368616,1.0
x_IndRel_PAdjChg1YEPS,0.46820313266772595,2.0
x_EPSEstDispFY2C,0.467996521784001,3.0
x_RskAdjRS,0.4666903895163569,1.0
x_IndRel_EPSSurpC,0.46613316986502573,3.0
x_CQPTTMCFtoSales,0.45934621330348135,2.0
x_EPSEstDispFY1C,0.4583052852444684,3.0
x_IO_Concentration,0.4566723589421556,1.0
x_PrcTo260DL,0.45558494347057654,1.0
x_IndRel_LTDE,0.4520923296495449,6.0
x_CashAdjEV,0.4472289084986949,5.0
x_SEV,0.4417677056124398,5.0
x_ROA_2,0.4352252439829466,6.0
x_CashCycle,0.43214785468240646,4.0
x_IO_InvDuration,0.4312841313327922,1.0
x_6MChgTgtPrcGapEMA,0.4302668292801201,3.0
x_IndRel_CashP,0.4298307060868905,5.0
x_IndRel_PM6M,0.4220562806684726,1.0
x_IndRel_ShortIntTrdVol,0.42030043351540985,1.0
x_BuyToSellRecLess3MEMA,0.41932217010291256,3.0
x_IndRel_CFEV,0.40850026598303146,5.0
x_EBITDAEV,0.4079864106756474,5.0
x_AnnVol1M,0.40625091286658893,8.0
x_IndRel_RecTurn,0.4030312473413424,6.0
x_IndRel_Chg1YOCF,0.401742414507477,2.0
x_Beta60M,0.4005255686764704,8.0
x_MaxRetPayoff,0.4004779181134156,1.0
x_AdjFwdFCFPC,0.39772486376196403,5.0
x_IndRel_AstP,0.3972731101680941,5.0
x_STO_6M,0.3964009052315486,1.0
x_EPSStab,0.3943150193481064,2.0
x_YoYChgDA,0.3929399966556479,8.0
x_IndRel_PM12M1M,0.3884111568874353,1.0
x_Chg4QSalesTrend,0.37819644925261736,2.0
x_AccrualRatioCF,0.3761511607749806,4.0
x_CapExToAst,0.37397297103525157,6.0
x_CFP,0.3710279596026842,5.0
x_ChgSalestoChgEPS,0.3645647624715102,4.0
x_AdjSTO_6M,0.3617363922755008,1.0
x_IO_Foreign,0.36104219294535494,1.0
x_IndRel_GPMargin,0.35595123274323415,4.0
x_InvToAstChg1Y,0.3525815754565695,4.0
x_24MResRtnVar,0.34625664122915595,1.0
x_OCFAst_2,0.3425546170487272,4.0
x_RecTurn,0.3376391111680535,6.0
x_CVVolPrc60D,0.33219613967090805,1.0
x_6MChgTgtPrcGap,0.3299422082312965,3.0
x_IO_BreadthStabBY,0.3277117771386698,1.0
x_Alpha12M6MPChg,0.32697180575011336,1.0
x_IndRel_SUEC,0.3262268525811065,3.0
x_IO_NAT,0.3238392710823652,1.0
x_IndRel_FCFP,0.32196182653863387,5.0
x_StdErr180D,0.32189727701588217,1.0
x_BVEV,0.32009259763659215,5.0
x_IndRel_FwdEPC,0.319313542340264,5.0
x_CVVolPrc20D,0.318688596166901,1.0
x_PAdjChg1YSales,0.3143551079235619,2.0
x_IndRel_PM5D,0.31354417777765686,1.0
x_IndRel_DA,0.31217507413056333,6.0
x_PrcTo52WH,0.3119641749843632,1.0
x_CQDOHtoSales,0.31156545752700965,2.0
x_AdjEBITDAEV,0.31122640791064093,5.0
x_IndRel_SP,0.30980763254205557,5.0
x_52WSlope,0.3064772528731166,1.0
x_HL1M,0.3050195932132298,1.0
x_AdjEPSNumRevFY2C,0.3046892956854274,3.0
x_5DVolSig,0.3035482622422903,1.0
x_IndRel_FCFEV,0.30140597580449613,5.0
x_AdjRevMagC,0.2997359572894028,3.0
x_AccrualRatioBS,0.2991352979138385,4.0
x_PM1M,0.29771714934570304,1.0
x_CashBurn,0.2971391396017266,4.0
x_IndRel_PTMargin,0.29423594118435126,6.0
x_ConsQPosChginTTMCF,0.2938423870257755,2.0
x_IO_StabofChgHD,0.2937461315995044,1.0
x_60MAVGTTMROA,0.2923941695477765,6.0
x_SalesToEPSChg,0.2885245420064747,4.0
x_6MChgTgtPrc,0.2869457577456872,3.0
x_DivP,0.2831947597796906,5.0
x_AdjAstAdjChg1YFCF,0.28037674063713247,2.0
x_IO_TO,0.2794538812085047,1.0
x_IO_ChgofIO_HF,0.2785398049579822,1.0
x_Chg1YOCF,0.2744309426986716,2.0
x_CVVolPrc30D,0.27384212092815674,1.0
x_IO_Level_AM,0.2733589472871109,1.0
x_IndRel_ROE,0.2638675675992572,6.0
x_ROEStab,0.26352937148041816,2.0
x_IndRel_OCFP,0.2614883528142493,5.0
x_PM6M,0.258085862486654,1.0
x_AdjFwdEPC,0.25645807712788693,5.0
x_4To52WPrcOsc,0.2533434904805251,1.0
x_IndRel_ShareChg,0.2530985814664976,6.0
x_IndRel_CFP,0.2520038874742587,5.0
x_PAdjChg1YEPS,0.24897392885764402,2.0
x_Alpha18M6MPChg,0.24808382106407775,1.0
x_IndRel_EP,0.2473134148205304,5.0
x_ChgATO_2,0.24676540080136333,2.0
x_CashEV,0.24673414340390584,5.0
x_FL,0.24592880039742715,6.0
x_IndRel_EPSEstDispFY1C,0.24442039565887774,3.0
x_IndRel_DebtChg1Y,0.24307442262459658,6.0
x_IndRel_TobinQ,0.2416708728622982,6.0
x_PA52WL20DLag,0.23902260738136621,1.0
x_CQDRItoSales,0.2386836772528306,2.0
x_ShortIntRatio,0.238170503138678,1.0
x_Chg1YTurnover,0.23747218091135244,1.0
x_IO_BreadthStabHD,0.23560890111441404,1.0
x_60MAVGTTMROE,0.23221862716000055,6.0
x_IndRel_OCFEV,0.2300109478097283,5.0
x_IndRel_SEV,0.2281787759394319,5.0
x_IndRel_CashEV,0.22812129789602043,5.0
x_CFAst,0.22335660243507247,4.0
x_CFIC,0.22317201092916772,4.0
x_ETO,0.2222686932387297,4.0
x_Chg1YROA,0.2180384048685412,2.0
x_IndRel_ROA,0.21797719196470736,6.0
x_90DCV,0.2143114114123817,8.0
x_IndRel_EPSToSalesChg1Y,0.20929448705176318,4.0
x_Rev3MFY2C,0.20604162236630333,3.0
x_IndRel_ROIC,0.20601495111887153,6.0
x_InvToAsset,0.2044791760234538,4.0
x_AstAdjChg1YCF,0.2043523069172944,2.0
x_SalesToInvCap,0.2001355104515346,4.0
x_RelPrStr_12M,0.19619532663061512,1.0
x_Alpha60M,0.19550033089724667,1.0
x_AdjChgEPStoSales,0.19450103857001405,4.0
x_AnnVol12M,0.1934100728978926,8.0
x_PM5D,0.19330457443972635,1.0
x_IndRel_FCFEqt,0.18913623956337072,5.0
x_FCFP,0.18763018874845452,5.0
x_DebtChg1Y,0.18708260629942464,6.0
x_CapAcqRatio,0.18645144579692954,6.0
x_EPSToOCFChg,0.18282150577141398,4.0
x_AstAdjChg1YOCF,0.18230828177721753,2.0
x_AstAdjChg3YEPS,0.18203534207456537,2.0
x_MVEToTL,0.18012504998000395,6.0
x_IndRel_FwdFCFPC,0.17523950564178578,5.0
x_RONA,0.1752008726843773,5.0
x_IndRel_CFROIC,0.17304173320614152,6.0
x_PAdjChg1YOCF,0.1709100571175307,2.0
x_IndRel_OEP,0.1687882436919118,5.0
x_IndRel_Chg1YOPM,0.16744115440478816,2.0
x_HL52W,0.1668619547970847,1.0
x_BP,0.16566003401812365,5.0
x_IndRel_OEA,0.1559500411606297,4.0
x_AdjRev3MFY1C,0.15522610884292168,3.0
x_IndRel_AdjAccruals,0.1532557026366101,4.0
x_IndRel_SolvencyRatio,0.1478805412337287,5.0
x_TobinQ,0.13609593993349284,6.0
x_PAdjChg3YEPS,0.13038561399339832,2.0
x_5DMoneyFlowVol,0.13023655951241664,1.0
x_IndRel_AccrualRatioCF,0.12978845292060615,4.0
x_IndRel_RONA,0.12708898156961485,5.0
x_WCAccruals,0.120624310641791,4.0
x_IndRel_PAdjChg1YSales,0.11705186250563276,2.0
