model,r2,mse,rmse,mae
linear,498.7166698303663,4683.442403653462,41.959675442337385,1.5134049027001268
ridge,1.7630074290092719,16.417202188934276,1.5290610456411708,0.10649597165790775
lasso,0.0017892934534911892,0.12441629835410305,0.020524224523389697,0.02257433670728788
enet,0.00320587158431258,0.11548380278891028,0.019064674091466203,0.021055625727342965
xgb,0.022488954173619007,0.2681646086324441,0.0461876504986007,0.025281048071774774
lgbm,0.012305043161255894,0.18493224222435375,0.03185944702380326,0.01884715093723749
catboost,0.018943329587948508,0.23699536146689704,0.041647807164694496,0.023322330324347523
nn1,0.052900407354486846,0.5821721959216822,0.09566691030384059,0.03296660492337967
nn2,0.03686310489654929,0.390280336346494,0.06521166441491058,0.04211977592013767
nn3,0.04882602708738755,0.5766572480846186,0.094066646995626,0.04783241795612757
