feature,importance,feature_category
x_EBITEstDisp,5.289963108267451,3.0
x_AdjFwdEPC,3.3834310350321464,5.0
x_EPSEstDispFY2C,3.3516950169012425,3.0
x_SUEC,2.999368538534808,3.0
x_EPSEstDispFY1C,1.8730946296769186,3.0
x_Chg1YOPM,1.7167050291662693,2.0
x_CVVolPrc60D,1.568131635588335,1.0
x_RevMagFY1C,1.5338797612382558,3.0
x_AdjRevMagC,1.529463524190822,3.0
x_AdjEPSNumRevFY1C,1.226154006214871,3.0
x_6MAvgChg1MRecC,1.1643314286377149,3.0
x_DivToCF,1.1101811795731829,5.0
x_PAdjChg3YEPS,1.068819001095612,2.0
x_AdjEBITP,1.009136891374332,5.0
x_Chg1YROA,0.9738377006820718,2.0
x_LogTTMSales,0.9579808772905741,7.0
x_IndRel_ShortIntTrdVol,0.9321270819766524,1.0
x_LogAssets,0.9262935881206141,7.0
x_SalesToEPSChg,0.9054983036288138,4.0
x_ChgSalestoChgEPS,0.8945494947607657,4.0
x_AnnVol12M,0.8920918681701098,8.0
x_24MResRtnVar,0.8889950565960512,1.0
x_60MAVGTTMROE,0.8693611602872654,6.0
x_CashAst,0.8303970388639607,5.0
x_MaxRetPayoff,0.8288621744116018,1.0
x_LogUnadjPrice,0.8224227261184686,1.0
x_EPSNumRevFY1C,0.7963992018495498,3.0
x_Beta60M,0.7601558663914469,8.0
x_IndRel_SUEC,0.7407883002285063,3.0
x_52WVPT20DLag,0.7291550014441602,1.0
x_WCAccruals,0.7103949605661217,4.0
x_IndRel_InvToAsset,0.7102895668436185,4.0
x_Chg1YTurnover,0.7082281904039833,1.0
x_90DCV,0.6966722884645878,8.0
x_IndRel_EPSEstDispFY1C,0.6774151587190438,3.0
x_IndRel_InvToAst,0.6696354874554626,4.0
x_FL,0.6649645476820096,6.0
x_MVEToTL,0.6643463971806298,6.0
x_IndRel_EPSSurpC,0.6314611892047325,3.0
x_12QTrendTTMEPS,0.6096248834250426,2.0
x_CVVolPrc20D,0.6047537505190024,1.0
x_AdjSTO_6M,0.5854524951806763,1.0
x_IndRel_ChgSalesMargin,0.568886755230297,4.0
x_IO_Foreign,0.5557148554709288,1.0
x_IndRel_FwdEPC,0.5527765908607964,5.0
x_PrcTo52WH,0.552096715727458,1.0
x_PTIToNOA,0.5416525266615554,4.0
x_IndRel_Chg1YOCF,0.5307628882973296,2.0
x_PM9M,0.5250456470009239,1.0
x_DivP,0.5121464876204258,5.0
x_BVEV,0.5119584053626918,5.0
x_STO_6M,0.5048158782769347,1.0
x_IO_ChgofIO_AM,0.501169109842307,1.0
x_AdjChgEPStoSales,0.49411944015108705,4.0
x_GPMargin,0.4834625303019952,4.0
