feature,importance,feature_category
x_AdjEBITP,0.023499621,5.0
x_EBITEstDisp,0.014747158,3.0
x_DivToCF,0.013110758,5.0
x_AdjFwdEPC,0.011734375,5.0
x_CashP,0.01111736,5.0
x_IndRel_TotalAccruals,0.009009467,4.0
x_IndRel_DivP,0.008678545,5.0
x_CashEV,0.008511339,5.0
x_Chg1YOCF,0.00842441,2.0
x_ChgSalestoChgEPS,0.007627527,4.0
x_EPSEstDispFY2C,0.007541938,3.0
x_IndRel_CashCycle,0.0072534285,4.0
x_AstAdjChg1YCF,0.007249873,2.0
x_IndRel_ROA,0.0071987147,6.0
x_CashAst,0.007067957,5.0
x_AdjRev3MFY1C,0.0069716065,3.0
x_PAdjChg3YEPS,0.006930763,2.0
x_DivP,0.00691936,5.0
x_EBITMargin,0.006772607,4.0
x_52WVPT20DLag,0.0066912966,1.0
x_AdjChgEPStoSales,0.0066871657,4.0
x_IndRel_Chg1YOCF,0.0065499158,2.0
x_CFIC,0.0063802004,4.0
x_RONA,0.0063710166,5.0
x_52WSlope,0.006272154,1.0
x_Chg1YOPM,0.006194587,2.0
x_AnnVol1M,0.0061090873,8.0
x_AdjAccruals,0.006068052,4.0
x_AstGrwth,0.0058915894,6.0
x_ROE,0.0056927297,6.0
x_CashCycle,0.0056572836,4.0
x_TobinQ,0.0055959444,6.0
x_IndRel_WCAccruals,0.005563914,4.0
x_ConsQPosChginTTMCF,0.0055227247,2.0
x_IndRel_LTDE,0.005508142,6.0
x_PAdjChg1YOCF,0.0054944083,2.0
x_SUEC,0.0054860846,3.0
x_IndRel_FCFEV,0.0054765316,5.0
x_STO_6M,0.0054657334,1.0
x_RevEstDisp,0.0054363455,3.0
x_ShareChg,0.005426073,6.0
x_AdjFwdFCFPC,0.0053897435,5.0
x_12QTrendTTMEPS,0.005365953,2.0
x_Chg1YROA,0.0053646127,2.0
x_LTDA,0.0053248517,6.0
x_SalesToEPSChg,0.0053086933,4.0
x_Rev3MFY2C,0.005281784,3.0
x_CFEV,0.0052374774,5.0
x_RecTurn,0.005137368,6.0
x_REToAst_2,0.0051202406,4.0
x_CapAcqRatio,0.0051078997,6.0
x_PM1M,0.005054715,1.0
x_IndRel_CFP,0.005050758,5.0
x_CashBurn,0.005013884,4.0
x_EPSEstDispFY1C,0.0049718935,3.0
x_IndRel_FCFP,0.004957734,5.0
x_CFAst,0.0048635867,4.0
x_IndRel_PAdjChg1YSales,0.0048399214,2.0
x_IndRel_CashAst,0.0047918013,5.0
x_IndRel_EBITDAEV,0.004787284,5.0
x_PTIToNOA,0.0047853477,4.0
x_IndRel_ShareChg,0.0047643553,6.0
x_Adj50DVolSig,0.00474907,8.0
x_WCAccruals,0.0047259186,4.0
x_IndRel_Chg1YOPM,0.00471537,2.0
x_IndRel_PM9M,0.0047027506,1.0
x_PAdjChg1YEPS,0.0046902797,2.0
x_LogAssets,0.0046573947,7.0
x_CapExToAst,0.0046545696,6.0
x_IO_Concentration,0.0046411147,1.0
x_ROA_2,0.004640925,6.0
x_Beta60M,0.0046177916,8.0
x_AdjEBITDAEV,0.004616451,5.0
x_24MResRtnVar,0.0045739315,1.0
x_AccrualRatioBS,0.004572527,4.0
x_SalesAcc,0.004545797,2.0
x_DebtChg1Y,0.004536256,6.0
x_DepToCapex,0.0045100376,4.0
x_BP,0.0045076166,5.0
x_IndRel_ChgSalesMargin,0.0045010387,4.0
x_AdjRevMagC,0.0044937576,3.0
x_SalesToInvCap,0.00448989,4.0
x_AdjEPSNumRevFY1C,0.00446607,3.0
x_IndRel_TobinQ,0.0044534206,6.0
x_MaxRetPayoff,0.0044460273,1.0
x_StdErr180D,0.0044053886,1.0
x_AnnVol12M,0.004399529,8.0
x_IndRel_OCFEV,0.004371769,5.0
x_IndRel_InvToAst,0.0043379636,4.0
x_Chg3YOPM,0.0043346435,2.0
x_IndRel_OCFP,0.0043204273,5.0
x_6MChgTgtPrcGapEMA,0.004287398,3.0
x_LogUnadjPrice,0.0042794524,1.0
x_AstAdjChg1YOCF,0.004194209,2.0
x_IndRel_EPSToSalesChg1Y,0.0041895024,4.0
x_CFP,0.0041781724,5.0
x_IndRel_InvToAsset,0.0041771275,4.0
x_IndRel_CFEV,0.004174237,5.0
x_AdjEPSNumRevFY2C,0.0041653262,3.0
x_OCFAst_2,0.0041603367,4.0
x_CVVolPrc30D,0.004150305,1.0
x_UnexpectedRecChg,0.0041313916,4.0
x_CVVolPrc60D,0.0041014473,1.0
x_IndRel_AdjAccruals,0.0040969644,4.0
x_IndRel_PTMargin,0.0040951027,6.0
x_5DVolSig,0.0040874286,1.0
x_RskAdjRS,0.0040709907,1.0
x_CVVolPrc20D,0.0040676147,1.0
x_Chg1YTurnover,0.0040546674,1.0
x_IndRel_EBITDAP,0.0040439805,5.0
x_IndRel_CashP,0.004043759,5.0
x_6MAvgChg1MRecC,0.0040358747,3.0
x_InvToAstChg1Y,0.004028121,4.0
x_STO,0.004022829,1.0
x_IndRel_SUEC,0.004005993,3.0
x_ChgSalesMargin,0.0039826822,4.0
x_IndRel_ROIC,0.00396025,6.0
x_IO_ChgofIO_AM,0.003951052,1.0
x_IndRel_CashEV,0.003942052,5.0
x_Chg1YLTDA,0.0039353105,2.0
x_SharpeRatio,0.0039169686,1.0
x_PM5D,0.00391404,1.0
