feature,importance,feature_category
x_AdjFwdEPC,0.02223066,5.0
x_AdjEBITP,0.018735817,5.0
x_SUEC,0.013629415,3.0
x_AdjRev3MFY1C,0.010726638,3.0
x_PAdjChg3YSales,0.010657978,2.0
x_AnnVol12M,0.01051907,8.0
x_EBITEstDisp,0.009667231,3.0
x_24MResRtnVar,0.009537945,1.0
x_EBITMargin,0.008979442,4.0
x_EPSEstDispFY2C,0.008598016,3.0
x_RevMagFY1C,0.008198396,3.0
x_CashEV,0.0081881285,5.0
x_DivP,0.0081394985,5.0
x_STO,0.008021517,1.0
x_CFP,0.007735528,5.0
x_CashAst,0.007668882,5.0
x_PTIToNOA,0.007620722,4.0
x_AdjRevMagC,0.0074412883,3.0
x_InvToAst,0.0070805294,4.0
x_EPSEstDispFY1C,0.0068606837,3.0
x_IndRel_OCFP,0.006643843,5.0
x_AdjEBITDAEV,0.0065673855,5.0
x_PrcTo52WH,0.0065526706,1.0
x_CashP,0.0064302906,5.0
x_CashAdjEV,0.006372431,5.0
x_IndRel_CFROIC,0.0063039484,6.0
x_IO_Level_AM,0.0062342794,1.0
x_IndRel_EPSEstDispFY1C,0.0062195715,3.0
x_PrcTo260DL,0.006146071,1.0
x_IndRel_TotalAccruals,0.0061235847,4.0
x_EBITDAEV,0.006106361,5.0
x_Chg1YOCF,0.00602814,2.0
x_WCAccruals,0.0059392946,4.0
x_IndRel_DA,0.005931036,6.0
x_PAdjChg3YEPS,0.00590233,2.0
x_RevEstDisp,0.0058731236,3.0
x_PAdjChg1YSales,0.0058401017,2.0
x_SalesToInvCap,0.005749353,4.0
x_UnexpectedRecChg,0.005686158,4.0
x_IndRel_NCAP,0.005638063,5.0
x_IndRel_CashAst,0.005629253,5.0
x_Chg1YOPM,0.005597991,2.0
x_CapAcqRatio,0.005592413,6.0
x_AccrualRatioBS,0.00559051,4.0
x_PM9M,0.005477367,1.0
x_IndRel_BP,0.005371516,5.0
x_CFEV,0.005303984,5.0
x_AdjFwdFCFPC,0.00523475,5.0
x_IndRel_FwdEPC,0.0052132374,5.0
x_GPMargin,0.005209174,4.0
x_PM6M,0.0051741833,1.0
x_PA52WL20DLag,0.0051648,1.0
x_ROA_2,0.0051345397,6.0
x_DivToCF,0.005045617,5.0
x_AstAdjChg1YOCF,0.0050346646,2.0
x_Alpha60M,0.00502977,1.0
x_IndRel_CashEV,0.0049700527,5.0
x_RecTurn,0.0049577923,6.0
x_Rev3MFY2C,0.004951558,3.0
x_RONA,0.0049109147,5.0
x_5DMoneyFlowVol,0.004875819,1.0
x_IndRel_OCFEV,0.004834832,5.0
x_IndRel_GPMargin,0.0048035136,4.0
x_IndRel_SUEC,0.0047346395,3.0
x_AdjEPSNumRevFY1C,0.004718094,3.0
x_ChgSalesMargin,0.004707258,4.0
x_IndRel_EBITDAP,0.004687377,5.0
x_CFAst,0.004667711,4.0
x_IndRel_CFEV,0.004635204,5.0
x_InvToAstChg1Y,0.00463459,4.0
x_PAdjChg1YOCF,0.0046292217,2.0
x_CVVolPrc30D,0.0046188203,1.0
x_IO_Foreign,0.0046184147,1.0
x_OCFAst_2,0.004610805,4.0
x_IndRel_ShareChg,0.0045819515,6.0
x_IndRel_PM9M,0.004522644,1.0
x_ShareChg,0.004517968,6.0
x_Beta60M,0.00451225,8.0
x_SharpeRatio,0.004448595,1.0
x_ETO,0.004443363,4.0
x_StdErr180D,0.0044056005,1.0
x_AdjAccruals,0.004404465,4.0
x_52WSlope,0.0043711374,1.0
x_IO_ChgofNumBY,0.0043604835,1.0
x_ChgSalestoChgEPS,0.004343174,4.0
x_IO_BreadthStabHD,0.0043342696,1.0
x_IndRel_LTDE,0.004319378,6.0
x_SalesToEPSChg,0.0043077604,4.0
x_Chg1YROA,0.0042921766,2.0
x_YoYChgDA,0.0042811707,8.0
x_IndRel_EBITDAEV,0.0042478163,5.0
x_5DVolSig,0.0042350884,1.0
x_IO_ChgofIO_AM,0.004222432,1.0
x_MaxRetPayoff,0.0042038825,1.0
x_BP,0.004142593,5.0
x_14DayRSI,0.004141843,1.0
x_Alpha36M6MPChg,0.004116061,1.0
x_6MChgTgtPrcGap,0.0041042753,3.0
x_CapExToAst,0.004089276,6.0
x_PM1M,0.004070408,1.0
x_IO_InvDuration,0.004064989,1.0
x_IndRel_OEA,0.004045877,4.0
x_AccrualRatioCF,0.004040111,4.0
x_Chg1YLTDA,0.00401167,2.0
x_STO_6M,0.0040091476,1.0
x_IndRel_Chg1YOCF,0.003943742,2.0
x_12QTrendTTMEPS,0.003939127,2.0
x_Chg4QSalesTrend,0.0039352104,2.0
x_IndRel_WCAccruals,0.003900224,4.0
x_CVVolPrc60D,0.003887506,1.0
x_LTDA,0.0038729862,6.0
x_AdjAstAdjChg1YFCF,0.0038689729,2.0
x_InvToAsset,0.0038568657,4.0
x_HL52W,0.003848279,1.0
x_HL1M,0.0038436677,1.0
x_IndRel_CashCycle,0.003835604,4.0
x_RskAdjRS,0.0038260606,1.0
x_IndRel_ShortIntTrdVol,0.0037984338,1.0
x_LogUnadjPrice,0.0037982955,1.0
x_SalesAcc,0.0037832665,2.0
x_IndRel_DivP,0.003724052,5.0
x_IndRel_PTMargin,0.0037219254,6.0
x_FL,0.0037184334,6.0
x_CashBurn,0.0037089034,4.0
x_IndRel_FCFEqt,0.0037014754,5.0
x_Chg1YAmihud,0.0036943,8.0
x_90DCV,0.0036690352,8.0
x_IndRel_AssetTurn,0.0036681278,4.0
x_IndRel_InvToAst,0.0036666102,4.0
x_IndRel_MaxRetPayoff,0.0036604863,1.0
x_AdjSTO_6M,0.0036455956,1.0
x_IndRel_TobinQ,0.0036414887,6.0
x_CFIC,0.00364147,4.0
x_IO_Level,0.0036410019,1.0
x_IndRel_CashP,0.003624093,5.0
x_6MChgTgtPrc,0.0036214476,3.0
x_EPSNumRevFY1C,0.0036152815,3.0
x_IndRel_SEV,0.0036148538,5.0
x_CashCycle,0.003591621,4.0
x_FCFEqt,0.00358707,5.0
x_EPSToOCFChg,0.0035328234,4.0
x_IO_StabofChgHD,0.003524577,1.0
x_LogAssets,0.0034539616,7.0
x_IndRel_AstP,0.0034502062,5.0
x_IndRel_CFP,0.0034484572,5.0
x_IndRel_PM1M,0.0034466216,1.0
x_IndRel_FCFEV,0.0034350837,5.0
x_PM5D,0.0034314923,1.0
x_IndRel_CapExToAst,0.0034307123,6.0
x_IndRel_ROIC,0.0034211776,6.0
x_IO_NAT,0.0034205688,1.0
x_IndRel_PTIP,0.0034114574,5.0
x_IndRel_SP,0.0033912018,5.0
x_Chg3YOPM,0.0033799687,2.0
x_Adj50DVolSig,0.0033705109,8.0
x_ConsQPosChgTTMEPS,0.0033700475,2.0
x_ConsQPosChginTTMCF,0.003351481,2.0
x_IndRel_RONA,0.0033386922,5.0
x_AstAdjChg3YEPS,0.003333225,2.0
x_DebtChg1Y,0.0033318438,6.0
x_PAdjChg1YEPS,0.0033141817,2.0
x_SEV,0.003312458,5.0
x_Chg1YTurnover,0.0033051812,1.0
x_AdjEPSNumRevFY2C,0.003300938,3.0
x_IndRel_RecTurn,0.003279699,6.0
x_IndRel_FCFP,0.0032739642,5.0
x_AdjChgEPStoSales,0.0032275596,4.0
x_IndRel_DepToCapex,0.0032212082,4.0
x_BuyToSellRecLess3MEMA,0.0032089928,3.0
x_Alpha12M6MPChg,0.0032045443,1.0
x_IndRel_PM12M1M,0.0031805725,1.0
x_52WVPT20DLag,0.0031626814,1.0
x_IO_BreadthStabBY,0.0031444791,1.0
x_IndRel_AdjAccruals,0.0031388595,4.0
x_IndRel_OEP,0.0031285186,5.0
x_IndRel_ChgSalesMargin,0.0031133348,4.0
x_PSlopeSERR_26W,0.0030861944,1.0
x_IndRel_EP,0.003059727,5.0
x_CQDOHtoSales,0.003042328,2.0
x_AssetTurn_2,0.003029429,4.0
x_6MChgTgtPrcGapEMA,0.0030230249,3.0
x_CVVolPrc20D,0.0030212486,1.0
x_MVEToTL,0.0030208381,6.0
x_IndRel_Chg1YOPM,0.0029990512,2.0
x_EPSStab,0.002989497,2.0
x_ROE,0.002982836,6.0
x_IO_Concentration,0.0029819955,1.0
x_IndRel_InvToAsset,0.002969939,4.0
x_AstGrwth,0.0029650552,6.0
x_AnnVol1M,0.0029192134,8.0
x_TobinQ,0.0028894737,6.0
x_IndRel_PAdjChg1YSales,0.0028687397,2.0
x_4To52WPrcOsc,0.0028383632,1.0
x_6MAvgChg1MRecC,0.0028301398,3.0
x_RelPrStr_12M,0.002792252,1.0
x_IndRel_EPSToSalesChg1Y,0.0027898564,4.0
x_IndRel_PM6M,0.0027742332,1.0
x_IndRel_ROA,0.002764056,6.0
x_130DMinRtn,0.0027634115,8.0
x_IndRel_PAdjChg1YEPS,0.0027513641,2.0
x_CQPTTMCFtoSales,0.0027498037,2.0
x_IndRel_ROE,0.0027480864,6.0
x_Alpha18M6MPChg,0.002746474,1.0
x_IndRel_EPSSurpC,0.002738984,3.0
x_ShortIntRatio,0.0027044544,1.0
x_LogTTMSales,0.0026824104,7.0
x_IO_ChgofIO_HF,0.0026796982,1.0
x_DepToCapex,0.0026138762,4.0
x_CQDRItoSales,0.0025818495,2.0
x_IndRel_AccrualRatioBS,0.0025407118,4.0
x_IndRel_PM5D,0.0022882784,1.0
x_REToAst_2,0.0022434,4.0
x_IndRel_SolvencyRatio,0.0021258977,5.0
x_IndRel_DebtChg1Y,0.00211749,6.0
x_IndRel_LTDA,0.0020287328,6.0
x_IndRel_FwdFCFPC,0.0018924263,5.0
x_IndRel_AccrualRatioCF,0.0018833728,4.0
x_ChgATO_2,0.0017716986,2.0
x_calendarquarter,0.001725225,
x_AstAdjChg1YCF,0.0015908914,2.0
x_IO_TO,0.0015595485,1.0
x_BVEV,0.001516236,5.0
x_FCFP,0.00127033,5.0
x_60MAVGTTMROE,0.0011780087,6.0
x_ROEStab,0.0011745803,2.0
x_60MAVGTTMROA,0.0007207651,6.0
