model,r2,mse,rmse,mae
linear,-212.39672582265447,5813.716394888347,62.71665744647949,6.0055688246579635
ridge,-5.222755193755033,164.89984548192803,11.874792783325324,4.132211023841914
lasso,-0.0006331870156093711,26.659262529586634,5.162675562009754,3.6336538340128497
enet,0.006713496419977183,26.46355086602366,5.143689357627655,3.61698089295324
xgb,0.061525890142563225,24.998162196379887,4.999030093247204,3.612471733812211
lgbm,0.06921171518239008,24.79631047739118,4.97893573407883,3.6101724217352595
catboost,0.08049905946179214,24.49749762921362,4.948383364249073,3.54710226010162
nn1,0.030510551817973307,25.830833804162733,5.0816830038167025,3.611680389746546
nn2,0.03337217247772815,25.75890003869039,5.0742009436184805,3.6131343452177234
nn3,0.023290397358598103,26.019871369738564,5.099726294215498,3.6973167014220083
