model,r2,mse,rmse,mae
linear,-276.4697548967848,2082.6237480006776,33.235482303512256,3.441831674571701
ridge,-4.9984214652258965,45.27829447213679,5.914251081151379,2.2822367438558238
lasso,-0.0005807602180582183,7.574042929895823,2.7519695816357648,2.1159788032854365
enet,-0.0005807602180582183,7.574042929895823,2.7519695816357648,2.1159788032854365
xgb,0.1465224830869279,6.462340951486048,2.5413038924128353,1.940246820413411
lgbm,0.1393665827977327,6.516039886995206,2.5520839996011753,1.9454712716662255
catboost,0.17113594998760273,6.275234501384236,2.5044041117385323,1.9102508591135277
nn1,0.02692843609904274,7.369917981432463,2.713493986103532,2.07684687473608
nn2,0.05770627767852099,7.134101084423423,2.6704765546525318,2.0386752773041503
nn3,0.02622652517508377,7.37385798875319,2.7143995593308317,2.069740693445056
