feature,importance,feature_category
x_SalesAcc,0.013589387,2.0
x_RevEstDisp,0.011095242,3.0
x_PM9M,0.008619749,1.0
x_CashEV,0.008453911,5.0
x_PTIToNOA,0.008017124,4.0
x_CashAst,0.0078188535,5.0
x_Chg4QSalesTrend,0.0075823297,2.0
x_CFIC,0.0072477614,4.0
x_AdjChgEPStoSales,0.0070566344,4.0
x_LogTTMSales,0.0070478856,7.0
x_EBITMargin,0.007047871,4.0
x_AdjRev3MFY1C,0.006905457,3.0
x_PrcTo260DL,0.006876456,1.0
x_AdjFwdEPC,0.0068577914,5.0
x_Rev3MFY2C,0.006484011,3.0
x_CFAst,0.0064769327,4.0
x_SUEC,0.006392801,3.0
x_CFEV,0.0062026563,5.0
x_IndRel_TotalAccruals,0.006170635,4.0
x_InvToAstChg1Y,0.006142276,4.0
x_AdjAstAdjChg1YFCF,0.0060996236,2.0
x_AccrualRatioBS,0.0060486407,4.0
x_UnexpectedRecChg,0.0059633497,4.0
x_IndRel_PM9M,0.005933397,1.0
x_CashBurn,0.005915587,4.0
x_IndRel_ShareChg,0.0058954335,6.0
x_DivToCF,0.005887376,5.0
x_SharpeRatio,0.005838918,1.0
x_AstGrwth,0.0058303424,6.0
x_IndRel_CashAst,0.00582198,5.0
x_EPSEstDispFY2C,0.00580281,3.0
x_BP,0.005792844,5.0
x_IndRel_CFP,0.005742887,5.0
x_IndRel_EBITDAP,0.0057390155,5.0
x_CQPTTMCFtoSales,0.0057234876,2.0
x_SalesToInvCap,0.0056989035,4.0
x_GPMargin,0.005671979,4.0
x_CapExToAst,0.0056192093,6.0
x_ChgSalesMargin,0.0056120767,4.0
x_52WVPT20DLag,0.005607714,1.0
x_Beta60M,0.0056038657,8.0
x_IndRel_Chg1YOPM,0.0055973846,2.0
x_PAdjChg1YOCF,0.005588826,2.0
x_IndRel_SEV,0.0055353786,5.0
x_RevMagFY1C,0.0055103824,3.0
x_IndRel_Chg1YOCF,0.005437122,2.0
x_IndRel_OCFP,0.0054361676,5.0
x_AccrualRatioCF,0.0054246746,4.0
x_IndRel_ROA,0.0054239044,6.0
x_AdjRevMagC,0.0053763124,3.0
x_IndRel_FCFEqt,0.005362941,5.0
x_IndRel_WCAccruals,0.0053068576,4.0
x_PM1M,0.0053034998,1.0
x_Chg1YOPM,0.0053026984,2.0
x_PAdjChg3YEPS,0.0053025126,2.0
x_CFP,0.005298454,5.0
x_AdjEBITDAEV,0.0052670063,5.0
x_MVEToTL,0.0052468353,6.0
x_AstAdjChg1YCF,0.0052372296,2.0
x_Chg1YOCF,0.0052283425,2.0
x_PAdjChg1YEPS,0.005191526,2.0
x_LogAssets,0.005173189,7.0
