feature,importance,feature_category
x_SalesToEPSChg,6.15180346232955,4.0
x_PAdjChg1YSales,-6.059081835665955,2.0
x_GPMargin,1.222292539714286,4.0
x_EBITMargin,-1.2009387238548281,4.0
x_ROA_2,0.6159834991478988,6.0
x_Chg1YROA,-0.5854985258168296,2.0
x_AdjEBITP,-0.5687006322622741,5.0
x_OCFAst_2,0.5544819630623405,4.0
x_IndRel_SUEC,0.5466189927560031,3.0
x_AstAdjChg1YCF,-0.5150372094057486,2.0
x_CFP,0.44243169169131835,5.0
x_REToAst_2,-0.43099061724742976,4.0
x_CFAst,0.42459062518746143,4.0
x_TobinQ,-0.3055176055700708,6.0
x_LTDA,-0.30262986219723986,6.0
x_CFIC,0.3006699855985975,4.0
x_CashAdjEV,-0.27653214127672304,5.0
x_BVEV,0.2705207934779457,5.0
x_CashAst,0.2696050442125581,5.0
x_EPSNumRevFY1C,0.2595454000291011,3.0
x_IndRel_EPSEstDispFY1C,-0.24137033210930278,3.0
x_AnnVol12M,0.21752165052282543,8.0
x_CapExToAst,-0.21517753228767844,6.0
x_IndRel_LTDA,0.20759792300095847,6.0
x_IndRel_BP,0.20567898689648678,5.0
x_IndRel_OCFEV,0.20267450661071346,5.0
x_Chg1YLTDA,0.19721604571291662,2.0
x_ShortIntRatio,-0.19495744144294763,1.0
x_IO_Level_AM,0.19233050529794754,1.0
x_IndRel_AssetTurn,-0.1851810843191418,4.0
x_EPSEstDispFY1C,0.18284698534261828,3.0
x_4To52WPrcOsc,-0.18167863507753026,1.0
x_PrcTo52WH,0.17677749420208352,1.0
x_YoYChgDA,-0.17292906770281852,8.0
x_MVEToTL,-0.1601037467798423,6.0
x_IndRel_FCFEV,-0.1584288690234381,5.0
x_SUEC,-0.15640342181759537,3.0
x_IndRel_SEV,0.15351170984767057,5.0
x_InvToAst,0.1523317032288993,4.0
x_AstGrwth,0.14731365428281723,6.0
x_CVVolPrc30D,-0.14412107623406945,1.0
x_AdjSTO_6M,0.1360359280469458,1.0
x_LogAssets,-0.13393627115160306,7.0
x_IndRel_AccrualRatioCF,0.1330024997447526,4.0
x_AdjRevMagC,0.1269019937691045,3.0
x_IndRel_TobinQ,-0.12599631337617648,6.0
x_IndRel_CashP,-0.12569771337303912,5.0
x_CashEV,-0.12483585580668055,5.0
x_CashP,0.12310909982093457,5.0
x_IndRel_InvToAst,-0.12207688419718238,4.0
x_RevMagFY1C,-0.11838352893859064,3.0
x_24MResRtnVar,-0.1171494871504487,1.0
x_PA52WL20DLag,-0.11698656312972923,1.0
x_DepToCapex,-0.11309271139842991,4.0
x_SEV,-0.10757751999610252,5.0
x_IndRel_PM1M,0.10693163070977516,1.0
x_IndRel_CashCycle,0.10512191060911033,4.0
x_AdjAccruals,-0.10382846750869082,4.0
x_LogUnadjPrice,0.10318735863207723,1.0
x_RevEstDisp,-0.09941903742898059,3.0
x_IndRel_ShortIntTrdVol,-0.09758315724234022,1.0
x_ConsQPosChginTTMCF,0.09446593696542346,2.0
x_UnexpectedRecChg,0.09357430180161855,4.0
x_IO_Concentration,0.0935474922251899,1.0
x_FCFP,-0.09281133581882445,5.0
x_BP,-0.09278495692541486,5.0
x_IndRel_MaxRetPayoff,-0.0911111928675168,1.0
x_AstAdjChg3YEPS,0.09097093202252116,2.0
x_PAdjChg3YEPS,-0.09025897903709497,2.0
x_RelPrStr_12M,0.08876635067279098,1.0
x_IndRel_SP,0.08528891727843174,5.0
x_CQPTTMCFtoSales,-0.0841437675032479,2.0
x_PM9M,-0.0837636176465356,1.0
x_IndRel_CFROIC,-0.08130876221769943,6.0
x_IndRel_EBITDAEV,-0.08088883902138476,5.0
x_AccrualRatioCF,-0.08030149323647179,4.0
x_AdjChgEPStoSales,0.0799782648329386,4.0
x_IndRel_DivP,-0.07958909524572302,5.0
x_STO,-0.07832093691784428,1.0
x_IndRel_EPSToSalesChg1Y,-0.07820617287176124,4.0
x_StdErr180D,-0.07782262877282058,1.0
x_AstAdjChg1YOCF,-0.07746383515737568,2.0
x_IndRel_RecTurn,-0.07605051220212457,6.0
x_Chg1YOPM,0.07598234000401424,2.0
x_SalesAcc,-0.0753690876591584,2.0
x_AdjAstAdjChg1YFCF,0.07347027563678799,2.0
x_STO_6M,-0.07290347273513406,1.0
x_5DMoneyFlowVol,0.07287020931666746,1.0
x_IndRel_SolvencyRatio,-0.07232716130243183,5.0
x_SalesToInvCap,0.07167317999008078,4.0
x_MaxRetPayoff,0.0714835926841857,1.0
x_60MAVGTTMROE,0.07059494614328397,6.0
x_ChgSalestoChgEPS,0.07026153143028269,4.0
x_DebtChg1Y,0.06957818472655924,6.0
x_IndRel_EBITDAP,-0.06831080448910519,5.0
x_Beta60M,-0.06798594483991718,8.0
x_IndRel_WCAccruals,-0.06732619107604115,4.0
x_IO_ChgofNumBY,0.06717652171837143,1.0
x_AdjEPSNumRevFY2C,0.06669988836135037,3.0
x_IO_InvDuration,-0.06568514285181588,1.0
x_InvToAstChg1Y,0.065213638003536,4.0
x_PM6M,-0.06485680903646363,1.0
x_IndRel_ShareChg,-0.06409128412861587,6.0
x_WCAccruals,0.06370660363657005,4.0
x_PAdjChg1YOCF,-0.06355921588340084,2.0
x_PM5D,0.06347882403721285,1.0
x_IO_ChgofIO_HF,0.06319305715682294,1.0
x_RskAdjRS,0.06227380512960959,1.0
x_IndRel_AstP,0.061577296189345564,5.0
x_IndRel_DebtChg1Y,0.058927871055917354,6.0
x_6MChgTgtPrcGap,0.05890862280815046,3.0
x_IndRel_PM6M,0.0576973846574026,1.0
x_IndRel_RONA,0.0573309629963161,5.0
x_IO_ChgofIO_AM,-0.0565448886648976,1.0
x_CQDOHtoSales,-0.05628741889741673,2.0
x_IndRel_EP,0.05499203715169464,5.0
x_IndRel_GPMargin,0.05478012433185965,4.0
x_ChgATO_2,0.054723215630461765,2.0
x_14DayRSI,-0.05394499465749901,1.0
x_IO_Level,0.053837994430023114,1.0
x_IndRel_TotalAccruals,-0.052606776962019375,4.0
x_AssetTurn_2,-0.052536805947294166,4.0
x_PTIToNOA,-0.0514030332343736,4.0
x_PrcTo260DL,0.05135962630998355,1.0
x_AnnVol1M,-0.050635677915026295,8.0
x_IndRel_PAdjChg1YEPS,-0.05049183489526117,2.0
x_IndRel_ChgSalesMargin,-0.04959363914781113,4.0
x_IndRel_PM12M1M,0.04899806903077597,1.0
x_DivToCF,-0.048265735828688865,5.0
x_InvToAsset,0.046288895403485755,4.0
x_EPSStab,0.046088823458498296,2.0
x_CVVolPrc20D,-0.0457110902623811,1.0
x_EPSEstDispFY2C,0.04549063644854259,3.0
x_RONA,-0.04361978447682276,5.0
x_Chg1YOCF,-0.043481862795039725,2.0
x_IndRel_PM5D,-0.04324058489439713,1.0
x_AdjRev3MFY1C,-0.042519704838709545,3.0
x_IndRel_FwdEPC,-0.041953163402377786,5.0
x_IndRel_Chg1YOCF,0.041703422271535645,2.0
x_CashBurn,0.0415048966955197,4.0
x_IO_StabofChgHD,-0.04146181380357125,1.0
x_IndRel_DepToCapex,0.04092405389175302,4.0
x_CVVolPrc60D,0.040917645437640954,1.0
x_6MChgTgtPrc,-0.04083157871015809,3.0
x_IndRel_ROA,0.04000822778475918,6.0
x_AdjFwdFCFPC,-0.040001524058124585,5.0
x_BuyToSellRecLess3MEMA,0.039679811715050944,3.0
x_60MAVGTTMROA,0.039597625619373425,6.0
x_EBITDAEV,-0.039593871918413015,5.0
x_IndRel_PTIP,0.038966878818788644,5.0
x_90DCV,0.03759501229305518,8.0
