feature,importance,feature_category
x_GPMargin,0.7866848952272959,4.0
x_EBITMargin,-0.7644136031936516,4.0
x_AdjEBITP,-0.5553273886377299,5.0
x_OCFAst_2,0.5535953728386674,4.0
x_IndRel_SUEC,0.5425956653874947,3.0
x_SalesToEPSChg,0.4605244035795206,4.0
x_CFP,0.44765351560923383,5.0
x_AstAdjChg1YCF,-0.416924501794652,2.0
x_PAdjChg1YSales,-0.3664530540712114,2.0
x_REToAst_2,-0.346176680017193,4.0
x_LTDA,-0.30237307253606743,6.0
x_CFAst,0.2932593536573518,4.0
x_CFIC,0.2743780147959262,4.0
x_CashAdjEV,-0.2741714064085846,5.0
x_CashAst,0.27061165410014626,5.0
x_BVEV,0.26824633174102946,5.0
x_EPSNumRevFY1C,0.2596778540280361,3.0
x_IndRel_EPSEstDispFY1C,-0.2412302534179219,3.0
x_TobinQ,-0.23329586708970063,6.0
x_CapExToAst,-0.2132666942463047,6.0
x_AnnVol12M,0.2109406001900861,8.0
x_IndRel_LTDA,0.20814801877897104,6.0
x_IndRel_BP,0.20421683973535157,5.0
x_IndRel_OCFEV,0.20285689257968778,5.0
x_Chg1YLTDA,0.1966979034330933,2.0
x_ShortIntRatio,-0.1954218064434473,1.0
x_IO_Level_AM,0.19004007954740623,1.0
x_IndRel_AssetTurn,-0.18602782845257307,4.0
x_EPSEstDispFY1C,0.18210464969279636,3.0
x_4To52WPrcOsc,-0.1806447030431817,1.0
x_PrcTo52WH,0.1760319297485902,1.0
x_YoYChgDA,-0.17278311533778076,8.0
x_ROA_2,0.16334114408737666,6.0
x_MVEToTL,-0.15945953567986818,6.0
x_IndRel_FCFEV,-0.15866610610268234,5.0
x_SUEC,-0.1535288632078742,3.0
x_IndRel_SEV,0.1521373729030037,5.0
x_InvToAst,0.15120945801478983,4.0
x_CVVolPrc30D,-0.14422843566024063,1.0
x_AstGrwth,0.13894380484316776,6.0
x_AdjSTO_6M,0.1375680619982798,1.0
x_LogAssets,-0.13544915666057555,7.0
x_IndRel_AccrualRatioCF,0.132657559905007,4.0
x_Chg1YROA,-0.13035955115832654,2.0
x_IndRel_TobinQ,-0.12690863023760304,6.0
x_AdjRevMagC,0.1258832197055421,3.0
x_IndRel_CashP,-0.12516407739226657,5.0
x_CashEV,-0.12501605131751498,5.0
x_CashP,0.12154951337986604,5.0
x_IndRel_InvToAst,-0.11998376782196953,4.0
x_RevMagFY1C,-0.11749181414714713,3.0
x_24MResRtnVar,-0.11540155936412402,1.0
x_DepToCapex,-0.11364140968926774,4.0
x_PA52WL20DLag,-0.11245724650484047,1.0
x_IndRel_PM1M,0.10749961571497114,1.0
x_SEV,-0.10667258382071242,5.0
x_IndRel_CashCycle,0.10553147271586444,4.0
x_AdjAccruals,-0.10340405706758127,4.0
x_LogUnadjPrice,0.10225417662533019,1.0
x_RevEstDisp,-0.09968731856016466,3.0
x_IndRel_ShortIntTrdVol,-0.09769826920449305,1.0
x_ConsQPosChginTTMCF,0.09534173859296882,2.0
x_UnexpectedRecChg,0.0939357894933524,4.0
x_BP,-0.09286452869398071,5.0
x_AstAdjChg3YEPS,0.09285315164899646,2.0
x_IO_Concentration,0.09256489986875577,1.0
x_IndRel_MaxRetPayoff,-0.09078166741272796,1.0
