feature,importance,feature_category
x_SUEC,0.0346715,3.0
x_RevEstDisp,0.01865782,3.0
x_CapAcqRatio,0.012323158,6.0
x_CashAst,0.009774876,5.0
x_CFP,0.009439838,5.0
x_FCFEqt,0.008290485,5.0
x_AdjEBITDAEV,0.0077102957,5.0
x_EBITEstDisp,0.0076822015,3.0
x_EBITDAEV,0.0075606564,5.0
x_SalesToInvCap,0.007402729,4.0
x_EPSEstDispFY1C,0.0070918878,3.0
x_PA52WL20DLag,0.0067634336,1.0
x_EPSNumRevFY1C,0.0066592237,3.0
x_EPSEstDispFY2C,0.006494275,3.0
x_CashEV,0.0063318475,5.0
x_DivP,0.0061818454,5.0
x_IndRel_OCFEV,0.005940754,5.0
x_AdjEBITP,0.0059013,5.0
x_AdjEPSNumRevFY1C,0.005857277,3.0
x_LogAssets,0.005802788,7.0
x_AccrualRatioCF,0.0057769376,4.0
x_AdjEPSNumRevFY2C,0.005731623,3.0
x_6MChgTgtPrc,0.005652085,3.0
x_PM9M,0.005590556,1.0
x_GPMargin,0.005502444,4.0
x_IO_Level_AM,0.0054878322,1.0
x_IndRel_CFP,0.0054650805,5.0
x_DivToCF,0.0053821323,5.0
x_AccrualRatioBS,0.00532295,4.0
x_IndRel_PM9M,0.005319287,1.0
x_LogTTMSales,0.0052504563,7.0
x_IndRel_CashCycle,0.0052239182,4.0
x_CFEV,0.005200612,5.0
x_CashCycle,0.0051920167,4.0
x_PrcTo260DL,0.005170998,1.0
x_LTDA,0.005113293,6.0
x_IndRel_OCFP,0.0051128482,5.0
x_IndRel_ShareChg,0.005095885,6.0
x_IndRel_SUEC,0.0050824513,3.0
x_IO_InvDuration,0.005046777,1.0
x_EPSToOCFChg,0.005020767,4.0
x_RevMagFY1C,0.0050106104,3.0
x_AstGrwth,0.0049971305,6.0
x_52WSlope,0.004995553,1.0
x_IndRel_TotalAccruals,0.0049911705,4.0
x_UnexpectedRecChg,0.004984335,4.0
x_Chg1YOCF,0.0049276226,2.0
x_CashAdjEV,0.0049093366,5.0
x_IndRel_DivP,0.004908791,5.0
x_WCAccruals,0.004907944,4.0
x_IndRel_ROA,0.0049023363,6.0
x_CFAst,0.004896511,4.0
x_IndRel_CashAst,0.004878328,5.0
x_YoYChgDA,0.0048696343,8.0
x_IndRel_ChgSalesMargin,0.0048422106,4.0
x_IndRel_DA,0.0048295916,6.0
x_IndRel_BP,0.0048251906,5.0
x_AdjFwdEPC,0.004814311,5.0
x_IndRel_PAdjChg1YSales,0.004800948,2.0
x_IndRel_EP,0.004799889,5.0
x_CashP,0.0047906386,5.0
x_12QTrendTTMEPS,0.0047801295,2.0
x_PAdjChg1YSales,0.0047748783,2.0
x_IndRel_FCFEV,0.0047305664,5.0
x_PAdjChg3YEPS,0.004709807,2.0
x_IndRel_ShortIntTrdVol,0.004686079,1.0
x_IO_ChgofNumBY,0.0046459553,1.0
x_IO_Level,0.0046444642,1.0
x_IndRel_GPMargin,0.0046232706,4.0
x_IndRel_PM1M,0.0046088155,1.0
x_IndRel_AstP,0.0045518186,5.0
x_STO_6M,0.0045466903,1.0
x_PM6M,0.0045373417,1.0
x_IndRel_FCFP,0.0045370404,5.0
x_IndRel_PAdjChg1YEPS,0.0045295423,2.0
x_IndRel_TobinQ,0.0044702436,6.0
x_MVEToTL,0.0044629634,6.0
x_ROE,0.0044576027,6.0
x_CQDRItoSales,0.0044460082,2.0
x_AdjSTO_6M,0.0044359686,1.0
x_AdjRevMagC,0.004430278,3.0
x_AdjRev3MFY1C,0.004389989,3.0
x_InvToAst,0.0043748706,4.0
x_IndRel_FCFEqt,0.004357184,5.0
x_IndRel_InvToAsset,0.0043402193,4.0
x_IndRel_CFROIC,0.0043398687,6.0
x_CQPTTMCFtoSales,0.0043274844,2.0
x_IndRel_PTMargin,0.0043128883,6.0
x_IndRel_OEA,0.0042956145,4.0
