model,r2,mse,rmse,mae
linear,69.81201787899398,35303.48203713313,106.61079417775788,4.294725483224246
ridge,5.148803847608019,2630.4433738778716,25.830393327694328,1.3732512312640193
lasso,0.015658037771170728,22.206919776802874,0.5043453914578511,0.255457023296341
enet,0.012964413458549958,21.736852313331397,0.4950188132742303,0.2427419427030785
xgb,0.024295899710135446,10.877185813549035,0.2561521339003645,0.06972347761076605
lgbm,0.033654731452492835,11.07315396856802,0.2590116249072876,0.11634080581333056
catboost,0.01981673841078365,13.227231633723635,0.3158317950319784,0.1060211905195199
nn1,0.03246001171177305,16.566761916164207,0.3703971355742103,0.21546486190659603
nn2,0.02871528145748631,22.08640624898106,0.48238293868018717,0.2656195948434045
nn3,0.06078471488191415,36.69923081080918,0.788243479726979,0.4280207843904099
