feature,importance,feature_category
x_calendarquarter,11.992709077581704,
x_AdjFwdEPC,4.053812001690437,5.0
x_EBITEstDisp,2.2490091219857717,3.0
x_AdjEBITP,2.229801731031085,5.0
x_EBITMargin,1.5370407062986438,4.0
x_AdjEPSNumRevFY2C,1.1378194569831253,3.0
x_RONA,1.0301181338039123,5.0
x_IndRel_CFROIC,1.022495519324571,6.0
x_Alpha12M6MPChg,0.8358745292435245,1.0
x_FCFP,0.8103309969798728,5.0
x_IndRel_DepToCapex,0.8033354209919638,4.0
x_IndRel_CashAst,0.7986612954391501,5.0
x_IndRel_AssetTurn,0.7802717546100766,4.0
x_Alpha18M6MPChg,0.7795166963658641,1.0
x_Chg3YOPM,0.7793277563717433,2.0
x_SalesToEPSChg,0.756437036982958,4.0
x_IndRel_TobinQ,0.7526350167092513,6.0
x_AdjEBITDAEV,0.7461847977578667,5.0
x_EPSEstDispFY2C,0.7461826375242546,3.0
x_60MAVGTTMROE,0.7431582542726516,6.0
x_IndRel_EP,0.7332959617054455,5.0
x_AdjAccruals,0.7305172574599825,4.0
x_PM6M,0.6978513527787126,1.0
x_IndRel_MaxRetPayoff,0.683674409320538,1.0
x_CFP,0.6831617655909613,5.0
x_InvToAst,0.6712764333475533,4.0
x_IndRel_AccrualRatioBS,0.6598693301994503,4.0
x_DivToCF,0.6559251889549241,5.0
x_PTIToNOA,0.6554873856246627,4.0
x_ROE,0.6512740497223666,6.0
x_RevMagFY1C,0.6438139389396786,3.0
x_AdjFwdFCFPC,0.6424566055509284,5.0
x_Chg1YOPM,0.6403621233997457,2.0
x_RecTurn,0.6344055089328295,6.0
x_CashP,0.6281045755024659,5.0
x_MVEToTL,0.6252014705300261,6.0
x_IndRel_AstP,0.6191756742837469,5.0
x_GPMargin,0.5907404682138063,4.0
x_WCAccruals,0.5906086792947451,4.0
x_PAdjChg1YEPS,0.5713690627343888,2.0
x_LogUnadjPrice,0.5680596592250441,1.0
x_CVVolPrc20D,0.5663726285166943,1.0
x_IndRel_FwdFCFPC,0.5495757107577712,5.0
x_AstAdjChg1YOCF,0.5329289525856774,2.0
x_CashAdjEV,0.5249555456253845,5.0
x_AdjRevMagC,0.5239169598131332,3.0
x_IndRel_Chg1YOPM,0.5145712284754098,2.0
x_STO_6M,0.5080687122649374,1.0
x_CapAcqRatio,0.5051421567831302,6.0
x_IndRel_FCFEV,0.5029629578669201,5.0
x_ROA_2,0.4997690336217527,6.0
x_Adj50DVolSig,0.4969329254479723,8.0
x_IO_Level_AM,0.4953610628028611,1.0
x_CashAst,0.48250604730821084,5.0
x_IO_NAT,0.48138020671880577,1.0
x_DepToCapex,0.47309735153152777,4.0
x_Chg4QSalesTrend,0.46391694414412254,2.0
x_IndRel_EPSSurpC,0.4637027854787768,3.0
x_Chg1YROA,0.4623011077159931,2.0
x_IndRel_EPSEstDispFY1C,0.4621276345968198,3.0
x_PAdjChg3YEPS,0.4598243865644665,2.0
x_AssetTurn_2,0.4504720766998642,4.0
x_BP,0.4461886993117722,5.0
x_6MAvgChg1MRecC,0.4442911761772458,3.0
x_IndRel_PAdjChg1YEPS,0.4427838069203848,2.0
x_EPSEstDispFY1C,0.44249246058653,3.0
x_IndRel_InvToAst,0.43578455985293685,4.0
x_IO_TO,0.43545082638423177,1.0
x_PAdjChg1YSales,0.43302116161309245,2.0
x_IndRel_TotalAccruals,0.4278846464151402,4.0
x_ChgSalesMargin,0.42680918973985765,4.0
x_SUEC,0.4241287797010438,3.0
x_IndRel_CashEV,0.42012250147319036,5.0
x_CashEV,0.4185495086600784,5.0
x_PM9M,0.41652078819458077,1.0
x_IndRel_ROIC,0.41581714933568026,6.0
x_ChgSalestoChgEPS,0.41258633601716593,4.0
x_IO_Level,0.41084898857521773,1.0
x_IndRel_SUEC,0.4099851258842714,3.0
x_IndRel_EPSToSalesChg1Y,0.40312495837231205,4.0
x_AccrualRatioCF,0.40067108846284877,4.0
x_CVVolPrc60D,0.39388016334561937,1.0
x_Chg1YOCF,0.38872341399840576,2.0
x_IndRel_LTDE,0.3844849117699544,6.0
x_AccrualRatioBS,0.37973430521676177,4.0
x_IndRel_AdjAccruals,0.37868071801466496,4.0
x_RevEstDisp,0.37610172709875256,3.0
x_SalesAcc,0.3756850551522084,2.0
x_PrcTo52WH,0.375369206224226,1.0
x_6MChgTgtPrcGapEMA,0.3675020475190575,3.0
x_IndRel_InvToAsset,0.3653548151483558,4.0
x_AnnVol12M,0.36461982225238854,8.0
x_Chg1YTurnover,0.3645474665252065,1.0
x_IndRel_AccrualRatioCF,0.36386119046368953,4.0
x_IndRel_Chg1YOCF,0.35584124281352203,2.0
x_52WVPT20DLag,0.35478980739826016,1.0
x_ChgATO_2,0.34534248230377207,2.0
x_HL52W,0.3419494342825794,1.0
x_IndRel_FCFEqt,0.3394642013072314,5.0
x_4To52WPrcOsc,0.33680766118382854,1.0
x_BVEV,0.334571263695736,5.0
x_SalesToInvCap,0.3270636606461047,4.0
x_SharpeRatio,0.3254678638015577,1.0
x_AnnVol1M,0.32459479039764877,8.0
x_IndRel_FCFP,0.3219206587900371,5.0
x_AstAdjChg3YEPS,0.3196790507047824,2.0
x_DivP,0.31767779058804696,5.0
x_REToAst_2,0.3145372956929454,4.0
x_60MAVGTTMROA,0.31434746832307214,6.0
x_BuyToSellRecLess3MEMA,0.30980147035915495,3.0
x_IndRel_RecTurn,0.30958244588118716,6.0
x_IndRel_BP,0.3092444005050395,5.0
x_CashCycle,0.3091121163837709,4.0
x_MaxRetPayoff,0.30504995024944,1.0
x_Beta60M,0.30429393831302304,8.0
x_PAdjChg1YOCF,0.3022000522192481,2.0
x_IndRel_PAdjChg1YSales,0.3015048987958505,2.0
x_EPSToOCFChg,0.29715904042925284,4.0
x_EPSNumRevFY1C,0.2961734105100656,3.0
x_PM1M,0.29553440327784475,1.0
x_PAdjChg3YSales,0.2941592521530044,2.0
x_LogAssets,0.29125601402728113,7.0
x_IO_BreadthStabHD,0.2905218437088277,1.0
x_PA52WL20DLag,0.28856192358943755,1.0
x_Chg1YLTDA,0.2849977822149173,2.0
x_IndRel_OCFEV,0.28050950622332393,5.0
x_IO_Foreign,0.2779168906675772,1.0
x_5DVolSig,0.27674476674591936,1.0
x_AstGrwth,0.2756312742266229,6.0
x_IndRel_OEP,0.2723981293966181,5.0
x_IndRel_CashP,0.2700520226982828,5.0
x_Chg1YAmihud,0.26945121997244065,8.0
x_PrcTo260DL,0.268585048280715,1.0
x_IO_ChgofIO_HF,0.26511232792689254,1.0
x_IndRel_CapExToAst,0.26245321598201604,6.0
x_5DMoneyFlowVol,0.26190719323910344,1.0
x_PM5D,0.2591603640223006,1.0
x_14DayRSI,0.2590429927401837,1.0
x_IO_ChgofIO_AM,0.25750363691824446,1.0
x_StdErr180D,0.2532989154549705,1.0
x_Alpha36M6MPChg,0.25008652080794747,1.0
x_CVVolPrc30D,0.24908621421557947,1.0
x_SEV,0.2467816928335673,5.0
x_6MChgTgtPrc,0.24441625528327582,3.0
x_ShareChg,0.2429995562866948,6.0
x_IndRel_ShareChg,0.24127723014778812,6.0
x_52WSlope,0.24100391811622643,1.0
x_IndRel_RONA,0.23999040874152577,5.0
x_InvToAsset,0.23797612684902397,4.0
x_CQDOHtoSales,0.23677818899540043,2.0
x_IO_Concentration,0.23647770516514363,1.0
x_IndRel_PTIP,0.23549555015437634,5.0
x_130DMinRtn,0.2343434064063329,8.0
x_IndRel_CFEV,0.23210146058446243,5.0
x_OCFAst_2,0.22821516390288205,4.0
x_FL,0.22678812232387122,6.0
x_FCFEqt,0.226088625525582,5.0
x_IndRel_CFP,0.2251061740498292,5.0
x_IndRel_CashCycle,0.22464356927349768,4.0
x_RskAdjRS,0.2244572070818923,1.0
x_Alpha60M,0.22261932226145453,1.0
x_TobinQ,0.21952603804846668,6.0
x_IndRel_LTDA,0.21633233406709879,6.0
x_IndRel_ChgSalesMargin,0.2153719751431343,4.0
x_ConsQPosChgTTMEPS,0.2146056717806065,2.0
x_IndRel_DA,0.21352635964107725,6.0
x_IndRel_ROE,0.21302475106007107,6.0
x_CashBurn,0.21018324714757936,4.0
x_IndRel_PM1M,0.20730174226788353,1.0
x_AdjSTO_6M,0.20686238697494003,1.0
x_RelPrStr_12M,0.20283011120582237,1.0
x_IndRel_EBITDAP,0.20202642687661432,5.0
x_12QTrendTTMEPS,0.2018308483849504,2.0
x_CFEV,0.19888133470848116,5.0
x_IndRel_ShortIntTrdVol,0.19840386146714792,1.0
x_CFIC,0.19800025751380387,4.0
x_PSlopeSERR_26W,0.19514862026802327,1.0
x_LogTTMSales,0.19409594683588563,7.0
x_IndRel_PTMargin,0.19384075232106737,6.0
x_AdjEPSNumRevFY1C,0.19377481183072193,3.0
x_90DCV,0.19283000778643053,8.0
x_6MChgTgtPrcGap,0.19164264033738404,3.0
x_IndRel_SolvencyRatio,0.19078738163716963,5.0
x_Rev3MFY2C,0.19060344117266287,3.0
x_IO_ChgofNumBY,0.18630137230175756,1.0
x_IndRel_SP,0.18426352460724033,5.0
x_IndRel_PM12M1M,0.18397063993957893,1.0
x_CapExToAst,0.18178391851622686,6.0
x_STO,0.18025807010799114,1.0
x_LTDA,0.1796926426910197,6.0
x_YoYChgDA,0.1780333104359672,8.0
x_IndRel_EBITDAEV,0.17111048669358314,5.0
x_IndRel_NCAP,0.16698141898031166,5.0
x_IndRel_DivP,0.16299859524218505,5.0
x_AdjChgEPStoSales,0.16286182996648976,4.0
x_IndRel_GPMargin,0.16104413845810578,4.0
x_IO_BreadthStabBY,0.1602666080650407,1.0
x_ROEStab,0.15730286230280613,2.0
x_IndRel_FwdEPC,0.15695515784264008,5.0
x_EBITDAEV,0.15210503957499888,5.0
x_IO_StabofChgHD,0.1512235364509052,1.0
x_24MResRtnVar,0.1503439099525008,1.0
x_IndRel_WCAccruals,0.14897924302192797,4.0
x_ShortIntRatio,0.14703495864200117,1.0
x_IndRel_OCFP,0.14481892607209002,5.0
x_UnexpectedRecChg,0.13972415717497924,4.0
x_IndRel_ROA,0.13707955557927343,6.0
x_IO_InvDuration,0.13162372483726828,1.0
x_IndRel_PM5D,0.12866789866777376,1.0
x_IndRel_SEV,0.11184210246968776,5.0
x_IndRel_PM9M,0.10239169991063886,1.0
x_CQDRItoSales,0.09775736439219983,2.0
x_HL1M,0.09180226550656181,1.0
x_AdjAstAdjChg1YFCF,0.09152242326503572,2.0
x_EPSStab,0.08526354215968748,2.0
x_DebtChg1Y,0.08122765368867116,6.0
x_ETO,0.07727136575757729,4.0
x_AdjRev3MFY1C,0.0669580813260078,3.0
x_IndRel_PM6M,0.05408131523216744,1.0
x_IndRel_OEA,0.05372596789379592,4.0
x_CQPTTMCFtoSales,0.052382203043791084,2.0
x_IndRel_DebtChg1Y,0.04914236595603814,6.0
x_InvToAstChg1Y,0.04781547368426583,4.0
x_AstAdjChg1YCF,0.023406310076573976,2.0
x_ConsQPosChginTTMCF,0.0,2.0
x_CFAst,0.0,4.0
