model,r2,mse,rmse,mae
linear,23.60308567921074,54721.89935523554,122.37355728919744,6.749189132447642
ridge,3.0812528762442826,7963.956060290031,39.404326276585415,3.18231566742351
lasso,0.03440978995268031,115.22909482342524,1.2468439765725832,0.9587477023862404
enet,0.028507990361407484,126.03931534106125,1.3584849717894598,1.0386648853521436
xgb,0.058354938652083195,119.5713775556599,1.324621383965681,1.013783722447781
lgbm,0.05150960965618937,94.47404826874772,1.0422229465855442,0.8380705801345038
catboost,0.04708630367336982,86.91114245355728,0.9783357173092,0.826005294252607
nn1,0.03907169978186774,135.42060744559424,1.4260491631939418,1.087886939716072
nn2,0.03377854245668027,142.74715876455332,1.5170760089641102,1.0672689334971
nn3,0.048410991455344415,105.19566064234998,1.1098261653700137,0.9461915326355941
