feature,importance,feature_category
x_calendarquarter,-7.493012414057366,
x_AdjFwdEPC,-4.7211856479663155,5.0
x_IndRel_AstP,4.61253586736589,5.0
x_EBITEstDisp,4.536288491954451,3.0
x_AnnVol12M,2.9515917971741175,8.0
x_AdjEPSNumRevFY2C,2.366311617682258,3.0
x_PSlopeSERR_26W,2.0056621072884755,1.0
x_ConsQPosChgTTMEPS,-1.8551915134251082,2.0
x_InvToAsset,-1.6695490321103623,4.0
x_AstAdjChg1YOCF,-1.6360425154495475,2.0
x_InvToAst,-1.5756435807948055,4.0
x_IndRel_MaxRetPayoff,-1.5397662872982276,1.0
x_Adj50DVolSig,-1.331136168128175,8.0
x_PrcTo260DL,1.2260851630325111,1.0
x_IndRel_CashP,0.93569414362466,5.0
x_Chg1YOPM,-0.8652261546093756,2.0
x_EPSEstDispFY1C,0.8322319774320185,3.0
x_PA52WL20DLag,0.767684243065819,1.0
x_IndRel_EPSToSalesChg1Y,-0.6761760503497387,4.0
x_IndRel_CFROIC,-0.6655114022776362,6.0
x_EPSEstDispFY2C,0.661857283152372,3.0
x_CashEV,0.6573003991024295,5.0
x_AdjRev3MFY1C,-0.5621083268465777,3.0
x_AdjEPSNumRevFY1C,-0.5494879834431294,3.0
x_IndRel_AssetTurn,-0.5435631791395926,4.0
x_IndRel_FCFP,-0.4726668019705313,5.0
x_ShareChg,-0.438299855801675,6.0
x_RevEstDisp,0.43328899870230864,3.0
x_CVVolPrc60D,-0.3563471391930663,1.0
x_60MAVGTTMROA,-0.34006950736918323,6.0
x_IndRel_RecTurn,0.31335637112756237,6.0
x_IndRel_CFP,-0.27062121865353594,5.0
x_IO_TO,0.2696717414935116,1.0
x_12QTrendTTMEPS,-0.26855343416940247,2.0
x_90DCV,0.2412032985298902,8.0
x_Alpha18M6MPChg,-0.23597193462197258,1.0
x_LogTTMSales,0.21582728780387267,7.0
x_IO_NAT,-0.15735583880385542,1.0
x_ETO,-0.14856124601462628,4.0
x_IndRel_ChgSalesMargin,0.14388054705652295,4.0
x_IndRel_DivP,-0.12166493741595145,5.0
x_IndRel_GPMargin,-0.089255632231014,4.0
x_ROA_2,0.08221043926995988,6.0
x_AdjAccruals,-0.061900246770054186,4.0
x_IO_StabofChgHD,-0.04287535080683317,1.0
x_Chg4QSalesTrend,-0.04277501218481985,2.0
x_LTDA,0.02166598698023946,6.0
x_CQPTTMCFtoSales,-0.02000316286434921,2.0
x_IndRel_TobinQ,-0.0,6.0
x_AdjRevMagC,0.0,3.0
x_ConsQPosChginTTMCF,-0.0,2.0
x_IndRel_ShortIntTrdVol,0.0,1.0
x_IndRel_SP,0.0,5.0
x_6MChgTgtPrc,-0.0,3.0
x_EPSNumRevFY1C,0.0,3.0
x_PM5D,0.0,1.0
x_IndRel_PTMargin,-0.0,6.0
x_IndRel_SEV,0.0,5.0
x_ChgSalestoChgEPS,0.0,4.0
x_SUEC,0.0,3.0
x_MVEToTL,0.0,6.0
x_Chg1YTurnover,-0.0,1.0
x_Chg1YROA,0.0,2.0
x_Chg1YLTDA,-0.0,2.0
x_Chg1YAmihud,-0.0,8.0
x_IndRel_PM9M,-0.0,1.0
x_5DMoneyFlowVol,0.0,1.0
x_BuyToSellRecLess3MEMA,0.0,3.0
x_AstGrwth,0.0,6.0
x_AdjSTO_6M,0.0,1.0
x_AdjEBITP,-0.0,5.0
x_6MChgTgtPrcGapEMA,0.0,3.0
x_AdjFwdFCFPC,0.0,5.0
x_6MChgTgtPrcGap,0.0,3.0
x_14DayRSI,0.0,1.0
x_IndRel_EBITDAP,0.0,5.0
x_IndRel_EP,-0.0,5.0
x_IndRel_FCFEV,-0.0,5.0
x_IndRel_FCFEqt,-0.0,5.0
x_IndRel_InvToAsset,-0.0,4.0
x_IndRel_OCFEV,-0.0,5.0
x_IndRel_OCFP,-0.0,5.0
x_IndRel_PAdjChg1YEPS,-0.0,2.0
x_IndRel_PM12M1M,0.0,1.0
x_IndRel_PM1M,-0.0,1.0
x_IndRel_PTIP,-0.0,5.0
x_ChgSalesMargin,0.0,4.0
x_FCFP,0.0,5.0
x_ROEStab,-0.0,2.0
x_SEV,0.0,5.0
x_LogUnadjPrice,-0.0,1.0
x_AssetTurn_2,-0.0,4.0
x_ChgATO_2,0.0,2.0
x_IndRel_ShareChg,-0.0,6.0
x_IndRel_TotalAccruals,0.0,4.0
x_IndRel_WCAccruals,0.0,4.0
x_130DMinRtn,-0.0,8.0
x_AccrualRatioBS,-0.0,4.0
x_CFAst,-0.0,4.0
x_BVEV,-0.0,5.0
x_AstAdjChg1YCF,-0.0,2.0
x_CFEV,-0.0,5.0
x_CFP,-0.0,5.0
x_CapAcqRatio,-0.0,6.0
x_CashCycle,0.0,4.0
x_Chg1YOCF,0.0,2.0
x_IndRel_PAdjChg1YSales,-0.0,2.0
x_EBITDAEV,0.0,5.0
