model,r2,mse,rmse,mae
linear,-67.07358190229209,32767.881738241686,109.18240133623237,18.422421638688252
ridge,-0.9639777014588823,963.4970965961029,30.55673989481407,15.765798068286605
lasso,0.06788078694748503,460.7839190915339,21.460650645843725,14.27704963455873
enet,0.07641270604122233,456.5758543227972,21.36215212593444,14.203570168230147
xgb,0.12856669218654343,431.0282167880226,20.74782107702192,13.796514732888491
lgbm,0.12497643770820359,432.84216520273304,20.787127667617124,13.811208710143358
catboost,0.14334908529263693,423.84918084903273,20.571948054896378,13.625509490445088
nn1,0.06369950370610149,462.95659819204855,21.510168628876787,14.184494680822258
nn2,0.07467055432801246,457.152723840557,21.373945390716607,14.122573115899627
nn3,-0.0048590755776916515,496.3108283549718,22.274863987902574,15.030077754413366
