feature,importance,feature_category
x_AdjChgEPStoSales,-1.2937217488429726,4.0
x_GPMargin,1.060643167462109,4.0
x_PA52WL20DLag,-0.9221311968700475,1.0
x_DivP,-0.8161076977749646,5.0
x_EBITDAEV,-0.6849416213244568,5.0
x_PrcTo260DL,0.6704527744797854,1.0
x_CFEV,0.6663218082152821,5.0
x_CashAst,0.6158111108195226,5.0
x_BVEV,0.5227261638993256,5.0
x_ETO,-0.5050853367203783,4.0
x_SalesToEPSChg,-0.4782092458904648,4.0
x_AnnVol12M,0.46656601006722803,8.0
x_IndRel_NCAP,-0.4657410918685833,5.0
x_IndRel_AstP,-0.4507036334867984,5.0
x_FCFEqt,0.4387232022554551,5.0
x_PrcTo52WH,0.4241158857262121,1.0
x_IndRel_OEP,-0.41316381978029726,5.0
x_AdjFwdFCFPC,-0.40733906883689586,5.0
x_IndRel_FCFEV,0.3868081547543719,5.0
x_AdjEBITP,-0.37892032405471243,5.0
x_AdjEBITDAEV,-0.35666309846992517,5.0
x_IndRel_OCFEV,-0.352442221759714,5.0
x_AdjFwdEPC,0.3497536694607156,5.0
x_PAdjChg1YSales,-0.34866824437790717,2.0
x_CFAst,0.322533553795175,4.0
x_ConsQPosChgTTMEPS,0.31356981169817943,2.0
x_EBITMargin,0.31148606924135447,4.0
x_AdjAstAdjChg1YFCF,0.31050225072185755,2.0
x_IndRel_EPSToSalesChg1Y,0.30301581198134164,4.0
x_SUEC,0.3024563581046077,3.0
x_IO_TO,-0.29671395644464804,1.0
x_Chg1YLTDA,0.29392493748701004,2.0
x_AdjSTO_6M,0.2932067217131526,1.0
x_IO_BreadthStabHD,-0.29257696007234224,1.0
x_AstAdjChg1YOCF,-0.2857782476280151,2.0
x_IndRel_CashCycle,0.2853724732949807,4.0
x_PM5D,0.2725291409765237,1.0
x_CVVolPrc60D,0.2659396756487554,1.0
x_STO,-0.26559658581120016,1.0
x_YoYChgDA,-0.2444128283274608,8.0
x_IO_Level,-0.2435013428744867,1.0
x_IndRel_CashP,-0.23445273640341352,5.0
x_IndRel_EPSSurpC,0.23229554306063055,3.0
x_LTDA,-0.23166498223142648,6.0
x_IndRel_GPMargin,-0.2308312641516782,4.0
x_IndRel_PTIP,-0.22322952384289907,5.0
x_IndRel_PM12M1M,0.21759515768673907,1.0
x_IndRel_RecTurn,0.21751034858143775,6.0
x_PAdjChg3YEPS,0.21340330840096555,2.0
x_IndRel_FwdEPC,-0.21194015499366695,5.0
x_ChgATO_2,-0.2114979350699031,2.0
x_IndRel_CFP,0.21119769268575989,5.0
x_IndRel_DivP,0.21044088963439447,5.0
x_LogTTMSales,-0.21016150860757762,7.0
x_IndRel_OCFP,0.20318888586692738,5.0
x_RelPrStr_12M,0.20294278155846884,1.0
x_6MChgTgtPrc,-0.20250062796506763,3.0
x_IndRel_InvToAsset,-0.1974709115868039,4.0
x_Beta60M,-0.19582030264650013,8.0
x_IndRel_AdjAccruals,0.19357636336199027,4.0
x_CVVolPrc30D,-0.18950063747514087,1.0
x_OCFAst_2,0.18890646506363676,4.0
x_AnnVol1M,-0.18800976553097187,8.0
x_5DMoneyFlowVol,0.18737156797387344,1.0
x_CQDOHtoSales,0.18334399966432532,2.0
x_IO_ChgofIO_AM,-0.1828687777188829,1.0
x_IndRel_LTDE,0.18213375138902638,6.0
x_InvToAst,-0.17955074345489247,4.0
x_Alpha18M6MPChg,-0.17627176935062228,1.0
x_AssetTurn_2,0.1739427148107314,4.0
x_ShareChg,0.17092317929640855,6.0
x_PM1M,-0.17030888611639783,1.0
x_calendarquarter,0.16928863524974275,
x_14DayRSI,-0.15778560097300812,1.0
x_BP,0.1560758080995826,5.0
x_IndRel_CapExToAst,0.1557557583744395,6.0
x_130DMinRtn,0.15235837428322088,8.0
x_STO_6M,0.1503588005462528,1.0
x_AdjEPSNumRevFY2C,-0.14811984664221695,3.0
x_Alpha36M6MPChg,0.1462044883859351,1.0
x_IndRel_EBITDAP,-0.14506320644602602,5.0
x_IndRel_LTDA,0.14479869776166476,6.0
x_Adj50DVolSig,-0.14393870554113622,8.0
x_SalesToInvCap,-0.14360458877126248,4.0
x_Chg1YTurnover,-0.14308157774936733,1.0
x_CashCycle,-0.1420637553804246,4.0
x_ROA_2,-0.1403213663147095,6.0
x_CashEV,0.13833187147286602,5.0
x_IndRel_ChgSalesMargin,-0.13177534270379576,4.0
x_StdErr180D,0.1317315582280283,1.0
x_CashAdjEV,-0.13074764849971665,5.0
x_IndRel_PM1M,0.13004209604367156,1.0
x_IndRel_TobinQ,-0.12876052004501673,6.0
x_IndRel_ShareChg,-0.12448508375679695,6.0
x_LogAssets,0.1230592005894906,7.0
x_CashP,0.12123067909128044,5.0
x_IO_Level_AM,0.12035863442979962,1.0
x_SharpeRatio,0.1203075415441395,1.0
x_RONA,-0.11920087945137386,5.0
x_AstGrwth,-0.11738808117268129,6.0
x_UnexpectedRecChg,0.1166368548502118,4.0
x_DebtChg1Y,-0.1162530571853478,6.0
x_IndRel_TotalAccruals,-0.11535136401156025,4.0
x_PAdjChg1YEPS,0.11467367825546845,2.0
x_6MAvgChg1MRecC,-0.114629489080884,3.0
x_52WSlope,-0.1135231805607603,1.0
x_IO_ChgofNumBY,0.11242774125106998,1.0
x_IndRel_InvToAst,0.11106179192058176,4.0
x_DivToCF,0.10832125869355869,5.0
x_CVVolPrc20D,-0.10621247597207761,1.0
x_IO_ChgofIO_HF,0.1056340191911208,1.0
x_PAdjChg3YSales,0.10355695380287129,2.0
x_IndRel_AssetTurn,-0.1021711214035888,4.0
x_RskAdjRS,0.09891255713503946,1.0
x_AstAdjChg1YCF,-0.09880978579086219,2.0
x_AdjRev3MFY1C,-0.09731969504777917,3.0
x_60MAVGTTMROE,-0.09532687925070263,6.0
x_ROEStab,0.09493708345018195,2.0
x_Chg1YOCF,0.09434656396551463,2.0
x_IndRel_PM5D,-0.092362199983366,1.0
x_FCFP,0.08994339323957956,5.0
x_InvToAsset,0.08866920099591563,4.0
x_WCAccruals,0.08866332555422797,4.0
x_IndRel_SUEC,0.08857830446658466,3.0
x_CapExToAst,0.08830879741884991,6.0
x_CapAcqRatio,-0.08644775354315529,6.0
x_IndRel_BP,-0.08612388083131566,5.0
x_IndRel_DebtChg1Y,0.08554329325231308,6.0
x_IndRel_PAdjChg1YSales,0.0849858943824303,2.0
x_IndRel_DA,-0.08294440230532454,6.0
x_HL1M,0.0816073427393853,1.0
x_IndRel_OEA,-0.08002611070498546,4.0
x_ChgSalesMargin,0.07997786619346285,4.0
x_IndRel_CashEV,-0.07968903531005408,5.0
x_AdjRevMagC,0.07948962362241264,3.0
x_IO_StabofChgHD,0.07802734187575705,1.0
x_IO_InvDuration,0.07592047965960372,1.0
x_EBITEstDisp,0.07390213024993568,3.0
x_IndRel_FCFP,0.07382325796374593,5.0
x_TobinQ,0.0727532275753864,6.0
x_MVEToTL,-0.07189384819292648,6.0
x_Chg1YOPM,0.07095090979661982,2.0
x_60MAVGTTMROA,-0.07025806838245512,6.0
x_EPSNumRevFY1C,0.0700094521800754,3.0
x_Chg1YAmihud,-0.06868413428089684,8.0
x_EPSEstDispFY1C,0.06862527630513512,3.0
x_IndRel_DepToCapex,-0.06785178089500035,4.0
x_AdjAccruals,-0.06734077415886601,4.0
x_RevMagFY1C,-0.06504701927839684,3.0
x_LogUnadjPrice,-0.060459084989379255,1.0
x_Alpha60M,-0.0596265564876788,1.0
x_IndRel_Chg1YOCF,-0.05942107403778476,2.0
x_ROE,0.05854431995576066,6.0
x_4To52WPrcOsc,0.057206391032884066,1.0
x_EPSEstDispFY2C,0.05676129023157512,3.0
x_ChgSalestoChgEPS,0.05588798629954779,4.0
x_5DVolSig,0.055809991179858895,1.0
x_AccrualRatioCF,0.055656710617227434,4.0
x_IndRel_EBITDAEV,0.052278647008633355,5.0
x_12QTrendTTMEPS,-0.0496755339736696,2.0
x_Chg1YROA,0.049268838123584596,2.0
x_RecTurn,-0.048968144476613934,6.0
x_IndRel_PM6M,-0.04875446201315985,1.0
x_52WVPT20DLag,0.04685533942511707,1.0
x_Chg4QSalesTrend,0.04536779652975367,2.0
x_90DCV,0.04514446306798539,8.0
x_MaxRetPayoff,-0.045138938268020776,1.0
x_InvToAstChg1Y,0.04406196394883432,4.0
x_Chg3YOPM,-0.04395979935729315,2.0
x_IndRel_RONA,0.04384301844171755,5.0
x_IndRel_PM9M,0.0430005860304781,1.0
x_IndRel_ROIC,0.04200165613268302,6.0
x_24MResRtnVar,0.04169487954336429,1.0
x_RevEstDisp,0.041494622865289335,3.0
x_IndRel_SolvencyRatio,-0.04007442211061921,5.0
x_IndRel_AccrualRatioBS,0.03702115764295547,4.0
x_CQDRItoSales,-0.03659525374896004,2.0
x_DepToCapex,0.036277110295375274,4.0
x_IndRel_PTMargin,-0.03610079557051997,6.0
x_IndRel_CFEV,-0.035400223013431126,5.0
x_CashBurn,0.03504008703166273,4.0
x_IndRel_EPSEstDispFY1C,-0.03234309917618078,3.0
x_IndRel_PAdjChg1YEPS,0.03190985796890663,2.0
x_CFP,-0.031667899066297196,5.0
x_FL,-0.031640348611622696,6.0
x_Alpha12M6MPChg,0.03145148606708373,1.0
x_IndRel_ShortIntTrdVol,-0.030652827500302716,1.0
x_BuyToSellRecLess3MEMA,0.028131556604609722,3.0
x_Rev3MFY2C,0.028049419578194124,3.0
x_IndRel_CashAst,0.027945709169662353,5.0
x_AccrualRatioBS,-0.027791373214411427,4.0
x_REToAst_2,-0.027121951644426184,4.0
x_IO_Foreign,0.024589959603431962,1.0
x_IndRel_MaxRetPayoff,0.024183336842696482,1.0
x_IndRel_CFROIC,-0.02329086720093182,6.0
x_HL52W,-0.022666240438504764,1.0
