feature,importance,feature_category
x_AstAdjChg3YEPS,2.606668459826924,2.0
x_RevEstDisp,1.8121349855838738,3.0
x_CashAst,1.6255510231676293,5.0
x_AdjEBITP,-1.5363939672203009,5.0
x_GPMargin,1.2914572590564357,4.0
x_AnnVol12M,1.2803045315742787,8.0
x_Rev3MFY2C,-1.1681012874259613,3.0
x_EPSEstDispFY2C,1.162516977262821,3.0
x_60MAVGTTMROA,-1.0783664598980967,6.0
x_TobinQ,0.9105435600136691,6.0
x_EBITEstDisp,0.89540975295302,3.0
x_IndRel_WCAccruals,0.8419709599631567,4.0
x_MaxRetPayoff,0.8187428196216527,1.0
x_EPSStab,-0.8183200464731522,2.0
x_ConsQPosChgTTMEPS,-0.7887063816630652,2.0
x_BP,0.7673800798991564,5.0
x_IndRel_ChgSalesMargin,-0.7616234094662835,4.0
x_AdjAccruals,-0.7338319935013038,4.0
x_AdjSTO_6M,0.7257224662494334,1.0
x_PAdjChg1YEPS,0.6950773598597176,2.0
x_IndRel_AdjAccruals,-0.693978229328725,4.0
x_ChgATO_2,0.6523124883220344,2.0
x_90DCV,0.6284189922942912,8.0
x_IndRel_OEP,-0.6057255645913363,5.0
x_IndRel_FCFP,-0.5941318799406039,5.0
x_IndRel_CFEV,-0.5774454170441139,5.0
x_Chg1YTurnover,-0.5767286426855966,1.0
x_RskAdjRS,0.5671437320654097,1.0
x_IO_BreadthStabBY,-0.5654425016929594,1.0
x_IO_ChgofIO_AM,-0.5644501270144878,1.0
x_IndRel_SP,-0.5260820878087242,5.0
x_CFIC,-0.5121356505075338,4.0
x_IndRel_AssetTurn,-0.5099552923706131,4.0
x_LTDA,-0.4759490231986433,6.0
x_AstGrwth,-0.4601256683991571,6.0
x_ChgSalestoChgEPS,0.4592327411904016,4.0
x_Alpha18M6MPChg,-0.42431672707847523,1.0
x_IndRel_OCFP,-0.4126714942857821,5.0
x_AdjFwdFCFPC,-0.3927583173539709,5.0
x_IndRel_PM5D,0.3917845029367946,1.0
x_InvToAstChg1Y,0.3719304001244002,4.0
x_IndRel_CashAst,0.35153137738027074,5.0
x_IndRel_PM1M,0.3483689570446888,1.0
x_PM5D,0.34803395568389867,1.0
x_CapExToAst,0.3383069511764279,6.0
x_6MChgTgtPrcGapEMA,-0.3380699580696199,3.0
x_IndRel_PTMargin,-0.3353731087818553,6.0
x_Alpha12M6MPChg,-0.32453405748366404,1.0
x_EPSNumRevFY1C,0.32311485026090875,3.0
x_IO_Level_AM,-0.32153584995302165,1.0
x_YoYChgDA,-0.31804243433121704,8.0
x_CFP,0.2953188468965514,5.0
x_IndRel_SUEC,0.29478528173340574,3.0
x_PAdjChg3YSales,0.2913770463858975,2.0
x_SalesAcc,-0.2785842868907605,2.0
x_SUEC,0.2609978442010411,3.0
x_LogUnadjPrice,-0.20870210128644695,1.0
x_CapAcqRatio,-0.19981766112147303,6.0
x_IndRel_FwdEPC,-0.17735251691369758,5.0
x_60MAVGTTMROE,-0.17386197108691415,6.0
x_SalesToInvCap,-0.1725445989619555,4.0
x_AdjFwdEPC,-0.14122388193235003,5.0
x_IO_InvDuration,-0.13282420081165325,1.0
x_IndRel_PAdjChg1YEPS,0.12445161389292028,2.0
x_Chg1YLTDA,-0.1212226043489525,2.0
x_IndRel_TobinQ,0.11812350596276576,6.0
x_Chg1YOCF,-0.11083964699282155,2.0
x_Chg1YAmihud,-0.1079801404435748,8.0
x_ConsQPosChginTTMCF,0.10764334022557982,2.0
x_IndRel_EPSSurpC,0.09646555878318004,3.0
x_IO_StabofChgHD,0.09075673318453979,1.0
x_IndRel_ROIC,-0.08854994691933962,6.0
x_6MChgTgtPrcGap,-0.08678386352202551,3.0
x_EPSEstDispFY1C,-0.07844649916598455,3.0
x_PM1M,0.07592099305862374,1.0
x_LogAssets,-0.07299838753864636,7.0
x_AdjRevMagC,-0.06631027410005644,3.0
x_IndRel_InvToAst,0.06386043135134298,4.0
x_RevMagFY1C,0.06337469799808142,3.0
x_Chg1YROA,0.05983538940198042,2.0
x_IndRel_RecTurn,0.05371058015087491,6.0
x_PTIToNOA,0.053124029284110745,4.0
x_ShortIntRatio,0.04942360342703677,1.0
x_IndRel_CFROIC,-0.048886406555831145,6.0
x_IndRel_ShareChg,-0.04885749852531918,6.0
x_12QTrendTTMEPS,-0.04786786948373869,2.0
x_AnnVol1M,0.046172602329113625,8.0
x_6MChgTgtPrc,-0.041329011983742225,3.0
x_IndRel_BP,0.038550194199510474,5.0
x_IndRel_CashEV,0.035803712918573316,5.0
x_CQDOHtoSales,0.02279944698053341,2.0
x_CQPTTMCFtoSales,0.02072506743722034,2.0
x_CVVolPrc60D,0.015264704485458969,1.0
x_IndRel_CashP,0.002462800410822667,5.0
x_IO_Concentration,0.0010948452508255802,1.0
x_Chg1YOPM,-0.0,2.0
x_ChgSalesMargin,-0.0,4.0
x_EBITDAEV,-0.0,5.0
x_CashCycle,0.0,4.0
x_CFEV,0.0,5.0
x_AstAdjChg1YOCF,0.0,2.0
x_AstAdjChg1YCF,0.0,2.0
x_PSlopeSERR_26W,0.0,1.0
x_RelPrStr_12M,0.0,1.0
x_ROA_2,-0.0,6.0
x_REToAst_2,0.0,4.0
x_OCFAst_2,-0.0,4.0
x_IndRel_SolvencyRatio,0.0,5.0
x_IndRel_RONA,-0.0,5.0
x_IndRel_PM6M,-0.0,1.0
x_AdjRev3MFY1C,-0.0,3.0
x_AdjEPSNumRevFY2C,0.0,3.0
x_AdjEPSNumRevFY1C,0.0,3.0
x_5DMoneyFlowVol,0.0,1.0
x_14DayRSI,0.0,1.0
x_FCFEqt,0.0,5.0
x_IndRel_EP,-0.0,5.0
x_IndRel_FCFEV,-0.0,5.0
x_IndRel_FCFEqt,-0.0,5.0
x_IndRel_InvToAsset,-0.0,4.0
x_IndRel_PTIP,0.0,5.0
x_IndRel_TotalAccruals,0.0,4.0
x_130DMinRtn,0.0,8.0
x_AccrualRatioBS,0.0,4.0
x_InvToAsset,-0.0,4.0
x_StdErr180D,-0.0,1.0
x_BVEV,-0.0,5.0
x_FCFP,-0.0,5.0
x_IO_TO,-0.0,1.0
x_ROEStab,0.0,2.0
x_SEV,0.0,5.0
x_CFAst,-0.0,4.0
x_EBITMargin,-0.0,4.0
x_InvToAst,-0.0,4.0
x_Adj50DVolSig,-0.0,8.0
x_IndRel_DA,-0.0,6.0
x_IndRel_LTDE,0.0,6.0
x_IndRel_ROA,-0.0,6.0
x_IndRel_ROE,-0.0,6.0
x_MVEToTL,-0.0,6.0
x_ROE,0.0,6.0
x_ShareChg,0.0,6.0
x_UnexpectedRecChg,0.0,4.0
x_IndRel_EBITDAP,0.0,5.0
x_IndRel_CFP,0.0,5.0
x_IndRel_EPSToSalesChg1Y,0.0,4.0
x_IndRel_FwdFCFPC,-0.0,5.0
x_IndRel_LTDA,-0.0,6.0
x_IndRel_MaxRetPayoff,0.0,1.0
x_IndRel_CashCycle,0.0,4.0
x_IndRel_Chg1YOCF,0.0,2.0
x_IndRel_Chg1YOPM,0.0,2.0
x_IndRel_EBITDAEV,-0.0,5.0
x_WCAccruals,0.0,4.0
x_PA52WL20DLag,-0.0,1.0
x_STO_6M,0.0,1.0
x_PrcTo52WH,-0.0,1.0
x_STO,0.0,1.0
x_SalesToEPSChg,0.0,4.0
x_52WVPT20DLag,-0.0,1.0
x_5DVolSig,-0.0,1.0
x_6MAvgChg1MRecC,0.0,3.0
x_BuyToSellRecLess3MEMA,0.0,3.0
x_AccrualRatioCF,0.0,4.0
x_AdjAstAdjChg1YFCF,0.0,2.0
