feature,importance,feature_category
x_AdjChgEPStoSales,-0.7829902756017102,4.0
x_EBITMargin,0.490955147724087,4.0
x_GPMargin,0.3518577836828746,4.0
x_PrcTo260DL,0.31329130011758205,1.0
x_PA52WL20DLag,-0.3113138247188956,1.0
x_FCFEqt,-0.26507497956326065,5.0
x_CashAst,0.2599821024113894,5.0
x_AnnVol12M,0.2524433173966317,8.0
x_LTDA,-0.243636654864765,6.0
x_TobinQ,0.2365770154411811,6.0
x_RevEstDisp,-0.2289824932951182,3.0
x_AdjFwdEPC,0.2271680271771039,5.0
x_LogAssets,-0.21588263152516943,7.0
x_ETO,0.20529921615202276,4.0
x_IndRel_AssetTurn,-0.19883585652706276,4.0
x_PrcTo52WH,0.1884766456181678,1.0
x_IndRel_OEP,-0.1858267449303883,5.0
x_InvToAsset,-0.18472672961288078,4.0
x_EPSNumRevFY1C,0.18111257330110309,3.0
x_IndRel_SP,0.17458241382904774,5.0
x_STO_6M,-0.1705216612087045,1.0
x_CFEV,0.17001388658446231,5.0
x_ConsQPosChginTTMCF,0.15981740333879357,2.0
x_YoYChgDA,-0.15453371493255158,8.0
x_CashAdjEV,-0.15244619251199962,5.0
x_AstAdjChg1YOCF,-0.15072273111983997,2.0
x_AstGrwth,0.1465056781870744,6.0
x_IndRel_SolvencyRatio,-0.1447290703047383,5.0
x_ConsQPosChgTTMEPS,-0.14224183597135898,2.0
x_CFIC,0.14178648459482057,4.0
x_SEV,-0.1404941203325846,5.0
x_CQPTTMCFtoSales,-0.13995620428513222,2.0
x_IndRel_MaxRetPayoff,-0.13875113218419016,1.0
x_PM5D,0.1366141383210703,1.0
x_IO_Concentration,-0.1330908853948064,1.0
x_PM9M,0.12209642579889265,1.0
x_IndRel_PM1M,0.12201199107632475,1.0
x_AssetTurn_2,0.1218099316344421,4.0
x_PAdjChg1YSales,0.12118422357233152,2.0
x_ChgATO_2,-0.11842724442253984,2.0
x_PAdjChg1YEPS,0.11821253439650584,2.0
x_SalesAcc,-0.11780326392150516,2.0
x_AdjSTO_6M,0.11686148039413953,1.0
x_IndRel_EPSToSalesChg1Y,-0.11464338618820673,4.0
x_IndRel_SUEC,0.11139780693658738,3.0
x_CFP,0.11104388537974738,5.0
x_Chg1YLTDA,0.11074280130683911,2.0
x_IO_BreadthStabHD,-0.10952048026119605,1.0
x_IndRel_PM12M1M,0.10852701287980988,1.0
x_SalesToInvCap,0.10799330997401804,4.0
x_IndRel_PM5D,-0.10592117980787591,1.0
x_52WVPT20DLag,-0.10521235177577425,1.0
x_IndRel_EP,0.1028923003406231,5.0
x_Chg1YOPM,0.10123939971452661,2.0
x_IndRel_LTDA,0.10045276465077507,6.0
x_IndRel_SEV,0.09851130885809366,5.0
x_CQDOHtoSales,0.09645940887348117,2.0
x_EPSStab,-0.09616345656211332,2.0
x_RecTurn,-0.0932049069913005,6.0
x_IndRel_FCFEV,0.09297165489180817,5.0
x_CashCycle,-0.09222118812754644,4.0
x_AdjAstAdjChg1YFCF,0.09178972358658316,2.0
x_4To52WPrcOsc,-0.09046473714500551,1.0
x_IndRel_PTMargin,-0.09012235863003748,6.0
x_IndRel_OCFP,0.08790986014397423,5.0
x_IndRel_DebtChg1Y,-0.08752911493296649,6.0
x_ROA_2,0.0860209403989822,6.0
x_IndRel_PM9M,-0.08587675591248997,1.0
x_IndRel_PAdjChg1YSales,-0.0855118909047168,2.0
x_ROE,0.08540395106442084,6.0
x_Alpha60M,-0.08380171924214545,1.0
x_MaxRetPayoff,-0.08302724539489365,1.0
x_Chg4QSalesTrend,0.08231037075808041,2.0
x_IndRel_CapExToAst,0.08139946835527259,6.0
x_RevMagFY1C,-0.08042314759305082,3.0
x_Adj50DVolSig,0.07986372849451136,8.0
x_PAdjChg1YOCF,-0.07981246109578972,2.0
x_IndRel_InvToAst,0.07955299754719389,4.0
x_IndRel_DepToCapex,-0.07789911924894863,4.0
x_WCAccruals,-0.07751422357347175,4.0
x_DebtChg1Y,0.0727141217565749,6.0
x_IndRel_CFEV,-0.0721033259183043,5.0
x_DepToCapex,0.07105239307823909,4.0
x_MVEToTL,-0.07075289271513709,6.0
x_IndRel_AstP,-0.07035729433378995,5.0
x_IO_BreadthStabBY,-0.06971327812081853,1.0
x_CapExToAst,0.06966317690060991,6.0
x_RONA,-0.06901321623221533,5.0
x_IndRel_ShortIntTrdVol,-0.06872919294568577,1.0
x_InvToAstChg1Y,0.06730132005609335,4.0
x_IndRel_PM6M,0.06720718113668712,1.0
x_ShortIntRatio,-0.06690556422326051,1.0
x_CVVolPrc20D,-0.06669620953368442,1.0
x_IndRel_Chg1YOPM,-0.06613905678203373,2.0
x_RelPrStr_12M,-0.06610634518762057,1.0
x_IndRel_GPMargin,0.06544193812472718,4.0
x_IndRel_RecTurn,0.06274622996209606,6.0
x_IndRel_OEA,0.062330223215419374,4.0
x_AdjFwdFCFPC,0.06194043220792014,5.0
x_IO_Level_AM,-0.06192942904740098,1.0
x_IndRel_OCFEV,-0.06074850541957111,5.0
x_BVEV,0.058539079839010036,5.0
x_AstAdjChg3YEPS,-0.05715568165082025,2.0
x_IndRel_PAdjChg1YEPS,-0.057091608740456455,2.0
x_AccrualRatioCF,-0.05631917847569312,4.0
x_FCFP,-0.056205066067360775,5.0
x_IndRel_EBITDAEV,-0.05515818052357496,5.0
x_AdjEBITP,-0.05478353250258398,5.0
x_ChgSalestoChgEPS,0.05339941015889926,4.0
x_EPSEstDispFY2C,0.05305152605293078,3.0
x_5DMoneyFlowVol,0.052458900867004506,1.0
x_IndRel_WCAccruals,0.05210122325516686,4.0
x_IndRel_ROE,0.05184728475231487,6.0
x_SalesToEPSChg,0.05065169796067851,4.0
x_IndRel_ROIC,-0.04903468384783495,6.0
x_AdjAccruals,0.0489245799949498,4.0
x_IndRel_ShareChg,-0.048554526268825636,6.0
x_IndRel_CashP,-0.04699464214288686,5.0
x_IndRel_NCAP,-0.04694295105198202,5.0
x_SharpeRatio,0.046920716702107554,1.0
x_OCFAst_2,-0.04642909883656965,4.0
x_CashEV,-0.0459159858387263,5.0
x_AdjEBITDAEV,0.04538188654340842,5.0
x_IO_ChgofNumBY,-0.04516028231965405,1.0
x_CQDRItoSales,0.045003664943417204,2.0
x_StdErr180D,0.04493972430403946,1.0
x_CFAst,-0.04468267613206167,4.0
x_PM1M,-0.0437364928402192,1.0
x_IndRel_DA,-0.043674757562210856,6.0
x_ROEStab,0.043359836608097196,2.0
x_IndRel_BP,0.04319883502669277,5.0
x_STO,-0.04318069362472693,1.0
x_UnexpectedRecChg,0.043145092895094675,4.0
x_IndRel_TotalAccruals,-0.04304580684272055,4.0
x_Rev3MFY2C,-0.04290135404607626,3.0
x_LogTTMSales,-0.042755301600585244,7.0
x_IndRel_CashCycle,0.0427264952265823,4.0
x_IndRel_FCFEqt,0.042233579145103915,5.0
x_6MChgTgtPrcGap,0.04125786207162821,3.0
x_EBITDAEV,-0.04114235036694634,5.0
x_14DayRSI,-0.0410181199312774,1.0
x_Beta60M,-0.0409557845859561,8.0
x_ShareChg,0.04089984540302761,6.0
x_IO_InvDuration,0.04035816668201863,1.0
x_Chg1YTurnover,-0.040158166407336625,1.0
x_IndRel_EPSSurpC,0.04014405953940022,3.0
x_IndRel_CFROIC,-0.04010403502332711,6.0
x_IndRel_AccrualRatioCF,-0.03962504081226462,4.0
x_CVVolPrc30D,-0.03933805241155823,1.0
x_60MAVGTTMROE,0.03881043107217423,6.0
x_InvToAst,-0.038520483564428484,4.0
x_60MAVGTTMROA,0.03768774911953071,6.0
x_IndRel_CashAst,-0.0372186378459171,5.0
x_IO_Foreign,0.03711228593644701,1.0
x_IO_ChgofIO_HF,-0.036687638221918284,1.0
x_BuyToSellRecLess3MEMA,0.03606521750721063,3.0
x_AdjEPSNumRevFY2C,-0.035695952232069936,3.0
x_IndRel_ROA,-0.034922705174116386,6.0
x_PM6M,0.03373962203250928,1.0
x_CVVolPrc60D,-0.032643579419782146,1.0
x_5DVolSig,0.032004015249709424,1.0
x_EPSToOCFChg,-0.03189668051249719,4.0
x_PAdjChg3YEPS,-0.03169632974672535,2.0
x_AdjRev3MFY1C,-0.03163005142283215,3.0
x_DivToCF,0.03146258092698812,5.0
x_Chg1YOCF,0.02997300921913714,2.0
x_IndRel_CFP,0.029281262042994704,5.0
x_IndRel_TobinQ,-0.0287431125589398,6.0
x_90DCV,0.02871671743606319,8.0
x_IndRel_CashEV,0.027621525152133952,5.0
x_IndRel_AccrualRatioBS,-0.027441935817390503,4.0
x_AdjRevMagC,0.02697932410654164,3.0
x_IO_Level,0.025940318649582884,1.0
x_IndRel_EBITDAP,-0.02592629233274653,5.0
x_130DMinRtn,-0.025868650560924106,8.0
x_DivP,-0.023987331419226793,5.0
x_Chg1YROA,0.023766468483087156,2.0
x_24MResRtnVar,0.02315833676857834,1.0
x_LogUnadjPrice,-0.022920799754602643,1.0
x_AccrualRatioBS,0.02184262612545252,4.0
x_PSlopeSERR_26W,0.02131294537000465,1.0
x_IndRel_FCFP,-0.020797380666493198,5.0
x_IndRel_PTIP,0.020133745652731808,5.0
x_IndRel_FwdEPC,-0.020060952081495935,5.0
x_REToAst_2,0.019472617170696677,4.0
x_HL52W,0.019187448592691933,1.0
x_AdjEPSNumRevFY1C,-0.017781708017787286,3.0
x_RskAdjRS,0.017724296338632786,1.0
x_IndRel_FwdFCFPC,0.016462096605056625,5.0
x_IndRel_RONA,0.016064108803864774,5.0
x_ChgSalesMargin,-0.01578288151209776,4.0
x_IndRel_AdjAccruals,-0.015499158212948644,4.0
x_CashP,-0.014926965094420451,5.0
x_EPSEstDispFY1C,0.014860140184657726,3.0
x_IO_TO,0.014776438657339769,1.0
x_calendarquarter,-0.013726721695276112,
x_PTIToNOA,0.013354633026107003,4.0
x_12QTrendTTMEPS,0.01232038459048028,2.0
x_IO_ChgofIO_AM,-0.011655840152800398,1.0
x_BP,0.011252186655429541,5.0
x_IO_NAT,0.010659253541817893,1.0
x_SUEC,-0.010559525897171886,3.0
x_IndRel_DivP,0.010177165742820293,5.0
x_Alpha36M6MPChg,-0.009940236749398087,1.0
x_IndRel_LTDE,0.009061180254570917,6.0
x_PAdjChg3YSales,-0.008582198960789263,2.0
x_Chg3YOPM,-0.008388760035582483,2.0
x_IndRel_ChgSalesMargin,0.008115132879764113,4.0
x_FL,-0.00811302541243536,6.0
x_6MChgTgtPrc,0.006865854934507802,3.0
x_IndRel_Chg1YOCF,-0.0064445031298207426,2.0
x_EBITEstDisp,0.005822919415328987,3.0
x_IO_StabofChgHD,-0.005234103700175198,1.0
x_AnnVol1M,0.004982435642925415,8.0
x_Chg1YAmihud,0.004688002576934247,8.0
x_IndRel_InvToAsset,-0.004624098281194075,4.0
x_CapAcqRatio,-0.004554660535965621,6.0
x_6MChgTgtPrcGapEMA,-0.004504600436407082,3.0
x_IndRel_EPSEstDispFY1C,-0.004478300283357217,3.0
x_52WSlope,0.003939381605657481,1.0
x_6MAvgChg1MRecC,-0.003293192605955564,3.0
x_CashBurn,-0.0018507811451688467,4.0
x_HL1M,0.0016414030812688454,1.0
x_Alpha18M6MPChg,-0.001256357420073427,1.0
x_AstAdjChg1YCF,0.0010951444533376792,2.0
x_Alpha12M6MPChg,-1.6813870051382573e-05,1.0
