feature,importance,feature_category
x_SUEC,6.430050427722343,3.0
x_calendarquarter,5.087929805105127,
x_RevEstDisp,2.901941692995028,3.0
x_EBITEstDisp,1.7149296432939978,3.0
x_IndRel_EPSEstDispFY1C,1.570444193860827,3.0
x_EPSEstDispFY1C,1.4626458593748621,3.0
x_IndRel_MaxRetPayoff,1.153727338053457,1.0
x_EPSNumRevFY1C,1.1270217104376248,3.0
x_IO_ChgofIO_AM,1.05735039228383,1.0
x_SalesToInvCap,1.0381154788968583,4.0
x_PM6M,1.0171779287622047,1.0
x_AdjFwdEPC,0.8567362961208548,5.0
x_AdjEPSNumRevFY1C,0.8110112431612774,3.0
x_PM1M,0.808188057098761,1.0
x_IO_Level_AM,0.8025899652047918,1.0
x_AnnVol12M,0.8020414080256376,8.0
x_AnnVol1M,0.7978873001712462,8.0
x_IO_ChgofNumBY,0.7415794979968298,1.0
x_IndRel_PM5D,0.7013285986825412,1.0
x_IndRel_PAdjChg1YEPS,0.6818138809135138,2.0
x_DepToCapex,0.6793924665402536,4.0
x_Chg1YOCF,0.6675354684247327,2.0
x_GPMargin,0.6577933536645376,4.0
x_ETO,0.6576832502220186,4.0
x_IndRel_SUEC,0.6495651743448798,3.0
x_14DayRSI,0.643252408107557,1.0
x_Chg1YTurnover,0.6383720581392882,1.0
x_CashP,0.6179874110940632,5.0
x_ChgATO_2,0.6174439762734394,2.0
x_IndRel_RecTurn,0.6153553671935822,6.0
x_IndRel_RONA,0.609247460194173,5.0
x_IndRel_PTMargin,0.6088616277016493,6.0
x_CapAcqRatio,0.6067511199809988,6.0
x_Alpha18M6MPChg,0.6051524079391145,1.0
x_IndRel_BP,0.5983870245282313,5.0
x_IO_Foreign,0.59622785695077,1.0
x_HL52W,0.5771517861994587,1.0
x_DivToCF,0.5762009707214129,5.0
x_5DMoneyFlowVol,0.5752845487145716,1.0
x_IndRel_DepToCapex,0.570336371368941,4.0
x_PrcTo52WH,0.5683859430105053,1.0
x_IndRel_FwdFCFPC,0.5663843178116955,5.0
x_Adj50DVolSig,0.565719601215459,8.0
x_EPSStab,0.5604505666743823,2.0
x_BuyToSellRecLess3MEMA,0.5397931457644378,3.0
x_PSlopeSERR_26W,0.53469301351894,1.0
x_IndRel_CashEV,0.5247301872543682,5.0
x_InvToAst,0.5240832229104277,4.0
x_5DVolSig,0.5211921621168492,1.0
x_IndRel_DA,0.518999767406246,6.0
x_UnexpectedRecChg,0.5186973500653256,4.0
x_REToAst_2,0.5143204491487277,4.0
x_IndRel_LTDE,0.5102960519362388,6.0
x_Alpha60M,0.5100276547871866,1.0
x_IndRel_DivP,0.5018221688909933,5.0
x_IO_TO,0.4991144530119855,1.0
x_IO_Level,0.4907914793987786,1.0
x_PrcTo260DL,0.4866553859102709,1.0
x_STO_6M,0.4861619280179367,1.0
x_RelPrStr_12M,0.48130380256585586,1.0
x_IndRel_EP,0.47940125696961666,5.0
x_Beta60M,0.4698319261187667,8.0
x_IndRel_CashP,0.4691697249942828,5.0
x_LogTTMSales,0.46528167456621716,7.0
x_IndRel_Chg1YOPM,0.4541979890962407,2.0
x_IO_BreadthStabBY,0.453105435284735,1.0
x_IndRel_ShortIntTrdVol,0.44802357409884175,1.0
