feature,importance,feature_category
x_BP,-1.655366091044769,5.0
x_CFP,-1.500455331825945,5.0
x_CapExToAst,-0.7308879594350655,6.0
x_calendarquarter,0.7167752877370414,
x_IndRel_CapExToAst,0.5923106725784437,6.0
x_Rev3MFY2C,-0.5660442515552795,3.0
x_AdjEBITP,0.5280803754765657,5.0
x_CVVolPrc60D,-0.49453525542931,1.0
x_CVVolPrc30D,0.4938632491378382,1.0
x_YoYChgDA,-0.4639724454129462,8.0
x_PrcTo52WH,0.4119029422079186,1.0
x_90DCV,-0.4092081723744522,8.0
x_CashP,0.4015455002924796,5.0
x_CFAst,0.39847590117841764,4.0
x_Chg1YOPM,-0.39742483489222635,2.0
x_LogTTMSales,-0.39047230762661245,7.0
x_AssetTurn_2,0.3875565474484846,4.0
x_IndRel_CashEV,0.3697414461470688,5.0
x_IndRel_AssetTurn,-0.36786537354588217,4.0
x_IndRel_OEP,-0.3654733990514319,5.0
x_ChgSalesMargin,-0.36168981079539264,4.0
x_CashEV,-0.35309982457012923,5.0
x_CashAst,0.34994853267834447,5.0
x_EBITDAEV,0.286951497148997,5.0
x_ConsQPosChgTTMEPS,0.28121751236385206,2.0
x_EPSNumRevFY1C,0.2812173041803244,3.0
x_PA52WL20DLag,-0.27930357950892093,1.0
x_TobinQ,0.2771993732093075,6.0
x_DebtChg1Y,0.27381746164175164,6.0
x_IndRel_PTIP,0.27097595150566806,5.0
x_IndRel_SUEC,0.27088893002251313,3.0
x_InvToAst,0.2702313286885353,4.0
x_Chg1YAmihud,-0.2642836878759142,8.0
x_IndRel_EBITDAEV,-0.2609714911666315,5.0
x_IndRel_DA,-0.25745463032153215,6.0
x_AdjFwdFCFPC,-0.24939114292609044,5.0
x_EPSStab,0.2474052958756919,2.0
x_ChgATO_2,-0.24616350970475795,2.0
x_Beta60M,0.23641310819330014,8.0
x_IndRel_LTDA,0.21894236675387158,6.0
x_PM9M,-0.21473010357758762,1.0
x_IndRel_RONA,0.21340659460241573,5.0
x_IndRel_PM12M1M,0.21237982688685306,1.0
x_AdjEPSNumRevFY2C,0.2102124230049116,3.0
x_130DMinRtn,-0.20557819825760631,8.0
x_IndRel_EPSToSalesChg1Y,0.20330889017481327,4.0
x_IndRel_TotalAccruals,0.20323971247775272,4.0
x_IndRel_AstP,-0.20215766392941034,5.0
x_AstGrwth,-0.2009623689841701,6.0
x_ConsQPosChginTTMCF,0.19312543404004706,2.0
x_FCFEqt,0.19290998814651625,5.0
x_5DMoneyFlowVol,0.19220912989671915,1.0
x_InvToAsset,0.1919999405758078,4.0
x_EPSToOCFChg,-0.18542151740452747,4.0
x_LTDA,-0.1835405937562566,6.0
x_IndRel_CFEV,0.17388587175141562,5.0
x_STO,-0.17273199946174667,1.0
x_PTIToNOA,-0.17031373011098558,4.0
x_IndRel_TobinQ,-0.16733111010326332,6.0
x_IndRel_CashP,-0.16246256254342686,5.0
x_24MResRtnVar,-0.1610767392674007,1.0
x_IndRel_LTDE,0.1606786431114116,6.0
x_CFEV,-0.15719955255322834,5.0
x_IndRel_DepToCapex,0.1561260296835399,4.0
x_OCFAst_2,-0.15314590477638249,4.0
x_Chg1YROA,0.15241761163054351,2.0
x_PM1M,-0.15217970655741128,1.0
x_RONA,-0.15078541553684413,5.0
x_IO_TO,-0.1493883146829328,1.0
x_IndRel_GPMargin,-0.1457367296300969,4.0
x_IndRel_FCFEqt,-0.14215859515544596,5.0
x_IO_Level,-0.14158110745652486,1.0
x_AdjEBITDAEV,-0.1415152129556764,5.0
x_ROEStab,-0.1410302401361673,2.0
x_BVEV,0.1367655758603305,5.0
x_AstAdjChg3YEPS,-0.13652847905998308,2.0
x_WCAccruals,-0.13489586820639465,4.0
x_StdErr180D,-0.1345146091540468,1.0
x_STO_6M,0.1325188259126154,1.0
x_BuyToSellRecLess3MEMA,0.1291626947079,3.0
x_LogAssets,0.12540116496441805,7.0
x_IndRel_EP,-0.11987987921843224,5.0
x_IndRel_PTMargin,-0.11815367038194909,6.0
x_IO_StabofChgHD,0.11714820773164056,1.0
x_AdjSTO_6M,0.11702448592964491,1.0
x_UnexpectedRecChg,0.11489912254570121,4.0
x_PSlopeSERR_26W,0.11439606299048084,1.0
x_IO_ChgofNumBY,0.11375217152819468,1.0
x_SharpeRatio,-0.11322242582489563,1.0
x_IO_BreadthStabHD,-0.10960951339443793,1.0
x_AstAdjChg1YOCF,0.1092455030546722,2.0
x_CFIC,-0.10780065682034506,4.0
x_IndRel_NCAP,-0.10736237734537456,5.0
x_6MChgTgtPrcGapEMA,-0.10686247717553495,3.0
x_AccrualRatioBS,-0.10631336658493666,4.0
x_IndRel_DivP,-0.10557134191284076,5.0
x_IndRel_SP,-0.10518650150260522,5.0
x_IndRel_RecTurn,0.10362226397523665,6.0
x_PAdjChg3YEPS,0.10352315446777453,2.0
x_SalesToInvCap,0.10245284512226903,4.0
x_IndRel_FwdEPC,0.10174609253986801,5.0
x_IndRel_OEA,-0.10113266600398219,4.0
x_InvToAstChg1Y,0.09895733951470423,4.0
x_IndRel_CFP,-0.09827021865383744,5.0
x_IndRel_FCFEV,-0.09805084343897345,5.0
x_AdjAstAdjChg1YFCF,0.09635698594911533,2.0
x_AdjRev3MFY1C,0.09631969936326855,3.0
x_IndRel_ShareChg,-0.09583957704489614,6.0
x_AdjEPSNumRevFY1C,-0.09565450243732655,3.0
x_SalesToEPSChg,-0.09308866459167602,4.0
x_IO_BreadthStabBY,0.09158174890906538,1.0
x_PAdjChg1YOCF,0.09136679178289671,2.0
x_CVVolPrc20D,-0.09011549980407538,1.0
x_ShortIntRatio,-0.08933853937560712,1.0
x_IndRel_ROIC,0.08919804181683154,6.0
x_IO_InvDuration,-0.0887267330539459,1.0
x_PM6M,0.08724544991360669,1.0
x_Adj50DVolSig,-0.08712269689279177,8.0
x_IndRel_InvToAst,0.08694821367368323,4.0
x_IndRel_AdjAccruals,0.08400314883857365,4.0
x_LogUnadjPrice,0.08263136417396934,1.0
x_PrcTo260DL,0.08152254986321361,1.0
x_IndRel_CFROIC,0.07770623735744761,6.0
x_CashAdjEV,0.07590156966683655,5.0
x_IndRel_CashCycle,0.07480804297044913,4.0
x_IndRel_ROE,-0.07343547937495587,6.0
x_60MAVGTTMROE,0.07325100931539089,6.0
x_IndRel_OCFP,0.07196751017852883,5.0
x_14DayRSI,0.07094258202334444,1.0
x_EPSEstDispFY1C,-0.07091308839156295,3.0
x_AccrualRatioCF,0.06912009386555196,4.0
x_PM5D,-0.06898422415839363,1.0
x_Chg4QSalesTrend,-0.06875635723478936,2.0
x_AdjChgEPStoSales,0.06763760982731329,4.0
x_IndRel_DebtChg1Y,0.0675042994039623,6.0
x_ROA_2,-0.0671394143635583,6.0
x_IndRel_BP,0.06695431255085021,5.0
x_RskAdjRS,-0.06616845945352588,1.0
x_52WVPT20DLag,0.06521237314851329,1.0
x_HL52W,0.06246752270152872,1.0
x_Alpha60M,0.05979329510026931,1.0
x_PAdjChg1YEPS,0.059719918999186945,2.0
x_IndRel_ShortIntTrdVol,-0.05786218302840932,1.0
x_CapAcqRatio,0.05783615370293492,6.0
x_IndRel_AccrualRatioCF,-0.05597782145550622,4.0
x_Chg1YLTDA,0.055560792899876976,2.0
x_FCFP,-0.05503251472594154,5.0
x_6MChgTgtPrcGap,0.05498140175170589,3.0
x_CQDRItoSales,-0.05462313088851753,2.0
x_CashCycle,0.05394304580537269,4.0
x_DepToCapex,-0.053435258754684876,4.0
x_IO_ChgofIO_HF,0.05230834174225054,1.0
x_ChgSalestoChgEPS,-0.05123426622658377,4.0
x_IndRel_EPSSurpC,-0.05116776660038129,3.0
x_EPSEstDispFY2C,0.0499505635328992,3.0
x_HL1M,0.04992883665138421,1.0
x_DivToCF,-0.04957164652954024,5.0
x_AnnVol12M,-0.047936048884716725,8.0
x_Chg1YOCF,0.0471947537823498,2.0
x_IndRel_FwdFCFPC,0.04610184778602005,5.0
x_IndRel_InvToAsset,-0.04557034927181731,4.0
x_6MChgTgtPrc,0.04527549994735238,3.0
x_IndRel_PAdjChg1YSales,0.0448943842169537,2.0
x_CQPTTMCFtoSales,-0.04485659638751627,2.0
x_FL,-0.04481060905033065,6.0
x_CQDOHtoSales,-0.043682078566685455,2.0
x_IndRel_EBITDAP,-0.043538800939213154,5.0
x_CashBurn,0.04184773791654822,4.0
x_RelPrStr_12M,-0.041607880945638,1.0
x_RevEstDisp,-0.041219295506934726,3.0
x_PAdjChg1YSales,0.040620743417765885,2.0
x_IO_Level_AM,0.040216023224938044,1.0
x_IndRel_PM1M,0.03907505281713,1.0
x_60MAVGTTMROA,-0.036993978033402715,6.0
x_IO_NAT,0.03449324137133913,1.0
x_MaxRetPayoff,0.03320374856417283,1.0
x_IndRel_SolvencyRatio,0.03280959872236766,5.0
x_Alpha18M6MPChg,0.03249993178097528,1.0
x_Chg3YOPM,0.032439187768439626,2.0
x_Alpha36M6MPChg,0.03206735544901025,1.0
x_GPMargin,0.03154049741625213,4.0
x_IndRel_EPSEstDispFY1C,0.03078636349759494,3.0
x_Chg1YTurnover,-0.030210629569136727,1.0
x_AdjRevMagC,-0.028056088406159984,3.0
x_SUEC,-0.026765032055236646,3.0
x_PAdjChg3YSales,0.025912377247216265,2.0
x_12QTrendTTMEPS,-0.025044061470126642,2.0
x_ROE,-0.024826700130614603,6.0
x_IO_Foreign,-0.024458596796654117,1.0
x_AdjAccruals,-0.024133166341134986,4.0
x_AnnVol1M,0.022988722423687817,8.0
x_DivP,0.022545667837255902,5.0
x_52WSlope,-0.022351094314512966,1.0
x_IndRel_ChgSalesMargin,0.020973367854279504,4.0
x_6MAvgChg1MRecC,-0.019538198768436214,3.0
x_SalesAcc,0.018695552236459197,2.0
x_IndRel_Chg1YOCF,-0.018130350666185915,2.0
x_4To52WPrcOsc,0.017694569592332916,1.0
x_AdjFwdEPC,-0.017522152415415278,5.0
x_IndRel_Chg1YOPM,-0.016798252528465913,2.0
x_EBITEstDisp,-0.016749861237486535,3.0
x_IndRel_FCFP,-0.01581619161849604,5.0
x_IndRel_CashAst,0.013356710950661807,5.0
x_IndRel_PAdjChg1YEPS,-0.013066315422670878,2.0
x_AstAdjChg1YCF,0.01197399455430492,2.0
x_SEV,0.011709466851987437,5.0
x_RecTurn,-0.01152707178524632,6.0
x_IndRel_PM6M,0.010926788906550595,1.0
