feature,importance,feature_category
x_RevEstDisp,328,3.0
x_SUEC,139,3.0
x_LogTTMSales,119,7.0
x_CVVolPrc60D,118,1.0
x_IO_Level_AM,116,1.0
x_RecTurn,113,6.0
x_EBITEstDisp,113,3.0
x_StdErr180D,112,1.0
x_CashAst,111,5.0
x_IO_ChgofIO_HF,109,1.0
x_IO_Concentration,109,1.0
x_Alpha36M6MPChg,104,1.0
x_IndRel_CashAst,103,5.0
x_5DVolSig,103,1.0
x_IO_ChgofNumBY,99,1.0
x_ChgSalestoChgEPS,99,4.0
x_LogUnadjPrice,98,1.0
x_Alpha18M6MPChg,97,1.0
x_ChgATO_2,96,2.0
x_Chg1YAmihud,95,8.0
x_IndRel_GPMargin,95,4.0
x_RelPrStr_12M,95,1.0
x_AstGrwth,94,6.0
x_RskAdjRS,93,1.0
x_EPSEstDispFY2C,93,3.0
x_Chg4QSalesTrend,93,2.0
x_SalesAcc,92,2.0
x_YoYChgDA,91,8.0
x_Adj50DVolSig,91,8.0
x_IndRel_InvToAst,91,4.0
x_Alpha12M6MPChg,91,1.0
x_AdjEPSNumRevFY1C,90,3.0
x_BuyToSellRecLess3MEMA,89,3.0
x_ROEStab,89,2.0
x_EPSNumRevFY1C,89,3.0
x_IndRel_SUEC,89,3.0
x_GPMargin,89,4.0
x_IndRel_FwdEPC,88,5.0
x_IndRel_TobinQ,88,6.0
x_Chg3YOPM,88,2.0
x_IO_ChgofIO_AM,87,1.0
x_Chg1YTurnover,87,1.0
x_DepToCapex,86,4.0
x_IndRel_PM6M,85,1.0
x_IndRel_TotalAccruals,85,4.0
x_Beta60M,85,8.0
x_6MChgTgtPrcGap,84,3.0
x_IndRel_LTDE,84,6.0
x_IO_NAT,83,1.0
x_5DMoneyFlowVol,83,1.0
x_130DMinRtn,83,8.0
x_IO_BreadthStabBY,82,1.0
x_Alpha60M,81,1.0
x_IndRel_EPSSurpC,81,3.0
x_AccrualRatioBS,81,4.0
x_IndRel_EPSToSalesChg1Y,81,4.0
x_90DCV,81,8.0
x_EPSEstDispFY1C,81,3.0
x_6MAvgChg1MRecC,80,3.0
x_MaxRetPayoff,80,1.0
x_Chg1YOPM,79,2.0
x_SalesToInvCap,79,4.0
x_IndRel_SP,79,5.0
x_ChgSalesMargin,79,4.0
x_IndRel_ShortIntTrdVol,78,1.0
x_CVVolPrc30D,78,1.0
x_IndRel_EPSEstDispFY1C,78,3.0
x_AdjFwdFCFPC,77,5.0
x_IndRel_PM9M,76,1.0
x_IndRel_NCAP,76,5.0
x_IO_StabofChgHD,76,1.0
x_ShortIntRatio,74,1.0
x_IndRel_CashCycle,74,4.0
x_IO_Level,74,1.0
x_AnnVol1M,73,8.0
x_IndRel_AccrualRatioCF,73,4.0
x_IO_InvDuration,72,1.0
x_IndRel_Chg1YOCF,72,2.0
x_IndRel_DebtChg1Y,72,6.0
x_IndRel_AssetTurn,72,4.0
x_IndRel_OEP,71,5.0
x_PrcTo52WH,71,1.0
x_Chg1YLTDA,70,2.0
x_IndRel_CapExToAst,70,6.0
x_calendarquarter,70,
x_IO_Foreign,70,1.0
x_IndRel_FwdFCFPC,70,5.0
x_LogAssets,69,7.0
x_EPSStab,69,2.0
x_IndRel_ROE,68,6.0
x_PTIToNOA,68,4.0
x_RevMagFY1C,67,3.0
x_PM5D,67,1.0
x_52WSlope,67,1.0
x_IndRel_ChgSalesMargin,67,4.0
x_IndRel_LTDA,67,6.0
x_IndRel_PM5D,67,1.0
x_14DayRSI,67,1.0
x_IndRel_RONA,66,5.0
x_60MAVGTTMROE,66,6.0
x_UnexpectedRecChg,66,4.0
x_PAdjChg1YSales,65,2.0
x_52WVPT20DLag,65,1.0
x_AdjAccruals,64,4.0
x_PAdjChg3YEPS,64,2.0
x_WCAccruals,64,4.0
x_IndRel_OEA,64,4.0
x_InvToAstChg1Y,63,4.0
x_CashCycle,63,4.0
x_PAdjChg3YSales,63,2.0
x_SEV,63,5.0
x_Chg1YOCF,63,2.0
x_IndRel_DivP,62,5.0
x_6MChgTgtPrcGapEMA,62,3.0
x_STO_6M,62,1.0
x_IndRel_AstP,62,5.0
x_HL52W,62,1.0
x_IndRel_DepToCapex,62,4.0
x_IndRel_ROIC,62,6.0
x_IndRel_AdjAccruals,61,4.0
x_PSlopeSERR_26W,61,1.0
x_RONA,61,5.0
x_DebtChg1Y,61,6.0
x_IndRel_PM1M,61,1.0
x_IndRel_SolvencyRatio,61,5.0
x_IndRel_AccrualRatioBS,60,4.0
x_IndRel_EBITDAEV,60,5.0
x_CVVolPrc20D,60,1.0
x_IndRel_CashEV,60,5.0
x_TobinQ,59,6.0
x_IndRel_RecTurn,59,6.0
x_SalesToEPSChg,59,4.0
x_ShareChg,59,6.0
x_PrcTo260DL,58,1.0
x_IndRel_EBITDAP,57,5.0
x_CashBurn,57,4.0
x_InvToAsset,57,4.0
x_IO_BreadthStabHD,57,1.0
x_AdjEPSNumRevFY2C,57,3.0
x_12QTrendTTMEPS,57,2.0
x_PM6M,56,1.0
x_EPSToOCFChg,56,4.0
x_IndRel_InvToAsset,56,4.0
x_PA52WL20DLag,56,1.0
x_AdjEBITDAEV,56,5.0
x_Rev3MFY2C,56,3.0
x_CFIC,56,4.0
x_HL1M,55,1.0
x_AdjRevMagC,55,3.0
x_BP,55,5.0
x_IO_TO,55,1.0
x_IndRel_CFP,54,5.0
x_InvToAst,54,4.0
x_IndRel_CFROIC,54,6.0
x_FCFEqt,54,5.0
x_CQDOHtoSales,54,2.0
x_AstAdjChg1YOCF,54,2.0
x_IndRel_ROA,53,6.0
x_IndRel_FCFP,53,5.0
x_Chg1YROA,52,2.0
x_REToAst_2,52,4.0
x_IndRel_OCFEV,52,5.0
x_IndRel_WCAccruals,52,4.0
x_IndRel_ShareChg,52,6.0
x_IndRel_CashP,52,5.0
x_AnnVol12M,51,8.0
x_AdjChgEPStoSales,51,4.0
x_ETO,51,4.0
x_SharpeRatio,51,1.0
x_IndRel_Chg1YOPM,51,2.0
x_IndRel_PM12M1M,50,1.0
x_IndRel_PAdjChg1YEPS,50,2.0
x_6MChgTgtPrc,50,3.0
x_AdjAstAdjChg1YFCF,50,2.0
x_IndRel_FCFEV,50,5.0
x_BVEV,50,5.0
x_PAdjChg1YOCF,49,2.0
x_CapAcqRatio,48,6.0
x_IndRel_PTMargin,48,6.0
x_AstAdjChg1YCF,47,2.0
x_IndRel_MaxRetPayoff,47,1.0
x_AssetTurn_2,47,4.0
x_60MAVGTTMROA,47,6.0
x_IndRel_BP,46,5.0
x_IndRel_SEV,46,5.0
x_MVEToTL,46,6.0
x_IndRel_FCFEqt,46,5.0
x_PM1M,45,1.0
x_IndRel_PTIP,45,5.0
x_FCFP,45,5.0
x_IndRel_OCFP,44,5.0
x_IndRel_PAdjChg1YSales,44,2.0
x_CashAdjEV,44,5.0
x_AstAdjChg3YEPS,43,2.0
x_IndRel_EP,42,5.0
x_OCFAst_2,41,4.0
x_LTDA,41,6.0
x_IndRel_CFEV,41,5.0
x_AdjSTO_6M,40,1.0
x_IndRel_DA,40,6.0
x_PAdjChg1YEPS,40,2.0
x_AdjEBITP,38,5.0
x_FL,38,6.0
x_CQDRItoSales,37,2.0
x_CapExToAst,37,6.0
x_CFAst,36,4.0
x_ConsQPosChgTTMEPS,36,2.0
x_ROE,35,6.0
x_ROA_2,35,6.0
x_CashP,35,5.0
x_AdjFwdEPC,35,5.0
x_CFP,35,5.0
x_24MResRtnVar,34,1.0
x_AccrualRatioCF,33,4.0
x_EBITDAEV,33,5.0
x_DivP,32,5.0
