feature,importance,feature_category
x_PAdjChg1YSales,24.207903941385315,2.0
x_PAdjChg1YOCF,-20.512468631900923,2.0
x_AstAdjChg3YEPS,-3.7813286258461885,2.0
x_PAdjChg3YEPS,3.7414873251273093,2.0
x_ShareChg,3.723043208673753,6.0
x_IndRel_EP,-1.6188852151385942,5.0
x_IndRel_PTIP,1.101337624571934,5.0
x_EPSStab,0.9735009502532539,2.0
x_calendarquarter,0.8101194173126668,
x_CapExToAst,-0.7824036239147188,6.0
x_RevEstDisp,-0.7700600678026018,3.0
x_LogTTMSales,-0.6799004637224519,7.0
x_AdjFwdEPC,-0.6493675592058372,5.0
x_IndRel_OCFP,0.591707706245291,5.0
x_Beta60M,-0.552393194535638,8.0
x_IndRel_OCFEV,-0.5405383488438785,5.0
x_IndRel_FCFEV,0.5384470218792159,5.0
x_InvToAst,0.5302932482731147,4.0
x_IndRel_CapExToAst,0.5127155460774205,6.0
x_PAdjChg1YEPS,0.5112591427566251,2.0
x_TobinQ,0.504147400244501,6.0
x_52WSlope,-0.465401007222803,1.0
x_BVEV,-0.43815207465265993,5.0
x_IndRel_EBITDAP,-0.41728912932152207,5.0
x_IndRel_EBITDAEV,0.4081040034699994,5.0
x_CFEV,0.3997625849482595,5.0
x_IndRel_CashAst,0.38571540311693486,5.0
x_LogUnadjPrice,0.38498333096339543,1.0
x_ChgSalesMargin,-0.37927182911450674,4.0
x_RskAdjRS,-0.3731267861571433,1.0
x_AdjEBITP,0.36288739551561777,5.0
x_Chg1YTurnover,-0.36052147667141393,1.0
x_IndRel_BP,-0.3575409242071836,5.0
x_AdjEBITDAEV,0.35717960707398705,5.0
x_LTDA,-0.3494516263273502,6.0
x_AstAdjChg1YOCF,0.3426933816852824,2.0
x_StdErr180D,-0.3422255770884961,1.0
x_AdjRev3MFY1C,-0.341937335604412,3.0
x_IndRel_CashCycle,-0.34017543331108085,4.0
x_OCFAst_2,-0.33719139481822225,4.0
x_AdjFwdFCFPC,0.32116405124190484,5.0
x_AnnVol1M,0.3188065975288539,8.0
x_STO,0.31680590615194537,1.0
x_IndRel_FwdFCFPC,-0.31405022299288576,5.0
x_IndRel_OEP,0.311394492789215,5.0
x_IndRel_NCAP,-0.3078542834709006,5.0
x_ShortIntRatio,-0.29765725249150476,1.0
x_IndRel_SUEC,0.29626117855316103,3.0
x_PrcTo52WH,0.2949957200397526,1.0
x_EBITDAEV,-0.2947027738829694,5.0
x_CashCycle,0.28580893646864647,4.0
x_IO_Concentration,-0.28448205723267084,1.0
x_DebtChg1Y,-0.28058955980871414,6.0
x_IndRel_AssetTurn,-0.2767962421128213,4.0
x_IndRel_TotalAccruals,0.2750841278266517,4.0
x_RelPrStr_12M,0.2610517990037987,1.0
x_PTIToNOA,-0.25970769309852243,4.0
x_FCFP,-0.25526208880625006,5.0
x_SUEC,-0.2542970997791376,3.0
x_AssetTurn_2,0.24778859699270894,4.0
x_IO_BreadthStabHD,-0.24697096813788594,1.0
x_4To52WPrcOsc,-0.2401804241156557,1.0
x_PA52WL20DLag,-0.23505701566428389,1.0
x_SEV,-0.23430183018641185,5.0
x_PSlopeSERR_26W,0.23043779690864125,1.0
x_ConsQPosChginTTMCF,0.22787339292708944,2.0
x_CFP,-0.22245669580565558,5.0
x_IndRel_Chg1YOCF,-0.2221601706554534,2.0
x_InvToAstChg1Y,0.221426054213262,4.0
x_Chg1YAmihud,-0.2199051834830831,8.0
x_IndRel_CFROIC,0.21806391436216865,6.0
x_IndRel_LTDA,0.21291709798785663,6.0
x_IndRel_ChgSalesMargin,0.21242311112472298,4.0
x_AccrualRatioCF,-0.20201761003946012,4.0
x_IndRel_RecTurn,-0.20103965607080884,6.0
x_DivP,-0.2000856139442094,5.0
x_AdjChgEPStoSales,-0.19906021443204253,4.0
x_PM5D,0.19701743773993796,1.0
x_IndRel_DA,0.19462157786966508,6.0
x_EPSNumRevFY1C,0.19350920577682426,3.0
x_52WVPT20DLag,-0.18850671476768788,1.0
x_CQPTTMCFtoSales,-0.18561112395208024,2.0
x_IndRel_AccrualRatioCF,0.1848760882996977,4.0
x_IndRel_Chg1YOPM,-0.1835585638259616,2.0
x_CFIC,-0.18318474605389765,4.0
x_FCFEqt,-0.18246535357022733,5.0
x_UnexpectedRecChg,0.18200916918708782,4.0
x_IndRel_PM6M,-0.18066123157225555,1.0
x_5DVolSig,-0.17988361988832097,1.0
x_IndRel_TobinQ,-0.1783831388610958,6.0
x_ROEStab,-0.17774405197192267,2.0
x_IndRel_SEV,0.17741300198967272,5.0
x_Chg1YOPM,-0.17443273746833776,2.0
x_YoYChgDA,0.1726780756325897,8.0
x_AdjEPSNumRevFY2C,-0.17234583760722608,3.0
x_IO_Level,0.17109030338071782,1.0
x_IO_ChgofIO_HF,0.17077720451516565,1.0
x_IndRel_ROE,0.1690717464154194,6.0
x_AdjSTO_6M,0.16549825376783212,1.0
x_ROE,0.16172038800489172,6.0
x_Alpha60M,-0.16143358617091955,1.0
x_IndRel_SolvencyRatio,0.16031329385672588,5.0
x_BP,0.15953452925231637,5.0
x_MVEToTL,-0.1589542727106159,6.0
x_IndRel_LTDE,0.15613036207366904,6.0
x_AccrualRatioBS,0.15495167825461306,4.0
x_IndRel_MaxRetPayoff,-0.15116763658703725,1.0
x_CFAst,0.14385329950384512,4.0
x_IndRel_ROIC,-0.14054471878327893,6.0
x_IndRel_CFEV,-0.13689377721743978,5.0
x_IndRel_PTMargin,0.13531661299114156,6.0
x_EPSToOCFChg,-0.13393427068345215,4.0
x_14DayRSI,-0.13347909452730294,1.0
x_ConsQPosChgTTMEPS,-0.13192914348086549,2.0
x_CashAdjEV,0.1313801873088383,5.0
x_IndRel_ROA,-0.12919959691380578,6.0
x_60MAVGTTMROE,-0.12672664081435725,6.0
x_IndRel_SP,0.12463473767038782,5.0
x_IndRel_PAdjChg1YEPS,0.12242133010585632,2.0
x_IndRel_DebtChg1Y,-0.12225422722210028,6.0
x_IndRel_FwdEPC,0.122206438831854,5.0
x_AnnVol12M,0.12041515184656862,8.0
x_ROA_2,0.11439000966419988,6.0
x_IndRel_OEA,0.10893021081856219,4.0
x_IO_Level_AM,-0.10586505395237707,1.0
x_Alpha12M6MPChg,0.10523210562326321,1.0
x_IndRel_CashEV,0.10444514960110989,5.0
x_IndRel_PM12M1M,0.10281259339575449,1.0
x_CashBurn,-0.10201941212146602,4.0
x_IndRel_AdjAccruals,0.10061826120176293,4.0
x_GPMargin,0.09969588099392102,4.0
x_IO_InvDuration,-0.09754951267289036,1.0
x_IndRel_DivP,0.09724950387475766,5.0
x_IndRel_EPSToSalesChg1Y,0.09581510710590996,4.0
x_IndRel_EPSSurpC,0.0941887083774956,3.0
x_PM6M,-0.09263197943293895,1.0
x_PM9M,0.09066658762397817,1.0
x_AdjAstAdjChg1YFCF,0.09050547091477784,2.0
x_IndRel_WCAccruals,0.08992308311241001,4.0
x_RecTurn,0.08812778368183527,6.0
x_IndRel_FCFEqt,0.08723953845170639,5.0
x_Chg1YOCF,0.08718218997492738,2.0
x_PM1M,0.0861823560778047,1.0
x_EBITMargin,-0.08539468217510116,4.0
x_RevMagFY1C,-0.0810740490004676,3.0
x_CashEV,-0.08085117802750372,5.0
x_MaxRetPayoff,0.08079738680131188,1.0
x_LogAssets,-0.07981210202737363,7.0
x_IndRel_GPMargin,0.07882735960327067,4.0
x_CashP,-0.0780568002578624,5.0
x_CapAcqRatio,-0.07726638748521604,6.0
x_IndRel_PM5D,-0.07455155036787708,1.0
x_PrcTo260DL,0.07405060840876115,1.0
x_IndRel_ShareChg,0.07400409882932832,6.0
x_60MAVGTTMROA,0.07276034450871316,6.0
x_6MChgTgtPrcGapEMA,-0.07230481440234382,3.0
x_IO_StabofChgHD,0.07142679667404125,1.0
x_SharpeRatio,-0.07102812174064271,1.0
x_IndRel_PM9M,-0.07065953701079435,1.0
x_HL52W,-0.06991570255843002,1.0
x_DepToCapex,0.06931597123876884,4.0
x_ChgATO_2,-0.06817299187197522,2.0
x_130DMinRtn,0.06691560811371686,8.0
x_HL1M,-0.0663590565916557,1.0
x_EPSEstDispFY1C,-0.06528355733205145,3.0
x_CVVolPrc60D,-0.06241544079637404,1.0
x_CQDOHtoSales,-0.062156830157262366,2.0
x_InvToAsset,-0.06057302602485877,4.0
x_WCAccruals,0.05975574891914592,4.0
x_IO_ChgofIO_AM,-0.05904151605470402,1.0
x_IndRel_AstP,-0.05884610783744658,5.0
x_IndRel_DepToCapex,-0.05856859337121084,4.0
x_SalesToEPSChg,0.05784964186063629,4.0
x_IndRel_FCFP,-0.05692620546170915,5.0
x_EPSEstDispFY2C,-0.0566622030304947,3.0
x_IndRel_InvToAst,0.054202798034350685,4.0
x_CQDRItoSales,-0.05416021999017914,2.0
x_IndRel_RONA,0.05387029798607368,5.0
x_CVVolPrc20D,-0.053741934659226075,1.0
x_Rev3MFY2C,-0.05224260696174206,3.0
x_ETO,0.05199596876539145,4.0
x_90DCV,0.05192413155242276,8.0
x_AdjRevMagC,0.051436414431463795,3.0
x_IndRel_AccrualRatioBS,0.05097554192596519,4.0
x_SalesToInvCap,-0.05082620141625052,4.0
x_6MChgTgtPrcGap,-0.05045864349042124,3.0
x_AdjAccruals,-0.04948962397895468,4.0
x_CVVolPrc30D,-0.047061202365307114,1.0
x_STO_6M,0.04637997156470949,1.0
x_24MResRtnVar,-0.04552867564157759,1.0
x_BuyToSellRecLess3MEMA,0.04371631513845194,3.0
x_EBITEstDisp,-0.04335268990758078,3.0
x_IndRel_CashP,-0.04196409382518729,5.0
x_IndRel_EPSEstDispFY1C,0.04081884085417986,3.0
x_IO_Foreign,-0.04039562244929347,1.0
x_AdjEPSNumRevFY1C,0.040129781698279965,3.0
x_6MChgTgtPrc,0.03824623172171426,3.0
x_IndRel_CFP,0.036961566340282304,5.0
x_IndRel_PAdjChg1YSales,-0.035216647184713595,2.0
x_IO_BreadthStabBY,0.0347476688047465,1.0
x_ChgSalestoChgEPS,-0.03280519744187313,4.0
x_IndRel_PM1M,0.03268399224751888,1.0
x_IndRel_InvToAsset,0.030493082270911076,4.0
x_IO_ChgofNumBY,0.025304221531648158,1.0
x_DivToCF,-0.02493717397010263,5.0
x_FL,0.023410572213288135,6.0
x_Alpha36M6MPChg,-0.02277204007237922,1.0
x_5DMoneyFlowVol,-0.021298623726720894,1.0
x_IO_NAT,0.021066364183410374,1.0
x_6MAvgChg1MRecC,0.021037749189737928,3.0
x_AstAdjChg1YCF,-0.020988288236906863,2.0
x_12QTrendTTMEPS,0.020636431056803343,2.0
x_RONA,-0.020039749547423796,5.0
