model,r2,mse,rmse,mae
linear,-1967.1286985516576,19013.02618260194,71.72659053132854,5.885224278615903
ridge,-2.988161179041867,40.77574033484612,5.9392400503872995,2.6235598890483045
lasso,-0.001313567326939502,10.133451504500238,3.1817814034493654,2.543374767671816
enet,0.06211492763477169,9.490967356624054,3.079303437610367,2.4529740273194456
xgb,0.21503706411984505,7.946472599763238,2.8161753568443473,2.190161974613277
lgbm,0.2059367515883575,8.035519836981877,2.8323649415372927,2.1923847768256546
catboost,0.22654773822963764,7.826259877331043,2.795421977484374,2.1834974607635838
nn1,0.07922934811823354,9.322586590490596,3.0511301465280276,2.3620895936344026
nn2,0.08677316655929099,9.263019432326727,3.038607514674624,2.351887476414739
nn3,-0.02586823722337901,10.382021115421939,3.2171177944482894,2.4414964488538393
