feature,importance,feature_category
x_SUEC,197,3.0
x_5DMoneyFlowVol,163,1.0
x_EBITEstDisp,141,3.0
x_CVVolPrc60D,140,1.0
x_Alpha18M6MPChg,135,1.0
x_EPSEstDispFY1C,134,3.0
x_14DayRSI,131,1.0
x_5DVolSig,124,1.0
x_RevEstDisp,121,3.0
x_PM5D,116,1.0
x_Chg1YAmihud,114,8.0
x_CVVolPrc30D,114,1.0
x_IndRel_SUEC,112,3.0
x_Alpha36M6MPChg,110,1.0
x_IO_Concentration,107,1.0
x_IO_StabofChgHD,106,1.0
x_CashCycle,105,4.0
x_6MAvgChg1MRecC,105,3.0
x_IndRel_ShortIntTrdVol,104,1.0
x_IndRel_Chg1YOCF,102,2.0
x_IO_Level_AM,102,1.0
x_ChgSalestoChgEPS,101,4.0
x_IndRel_PM1M,101,1.0
x_6MChgTgtPrc,101,3.0
x_IO_InvDuration,101,1.0
x_EPSNumRevFY1C,100,3.0
x_STO_6M,100,1.0
x_Chg1YTurnover,100,1.0
x_IndRel_EPSEstDispFY1C,99,3.0
x_IO_ChgofIO_AM,98,1.0
x_6MChgTgtPrcGap,94,3.0
x_IndRel_LTDE,94,6.0
x_AstGrwth,94,6.0
x_IO_NAT,93,1.0
x_IndRel_InvToAsset,92,4.0
x_IndRel_PM5D,91,1.0
x_EPSEstDispFY2C,91,3.0
x_IndRel_BP,90,5.0
x_IndRel_Chg1YOPM,90,2.0
x_12QTrendTTMEPS,89,2.0
x_SharpeRatio,89,1.0
x_IO_TO,89,1.0
x_PM1M,88,1.0
x_6MChgTgtPrcGapEMA,87,3.0
x_DepToCapex,87,4.0
x_IO_Level,87,1.0
x_IndRel_PAdjChg1YEPS,86,2.0
x_Alpha12M6MPChg,86,1.0
x_RskAdjRS,86,1.0
x_IndRel_PTMargin,86,6.0
x_EPSStab,86,2.0
x_130DMinRtn,86,8.0
x_IndRel_CapExToAst,85,6.0
x_IO_ChgofIO_HF,85,1.0
x_ChgATO_2,84,2.0
x_IO_ChgofNumBY,84,1.0
x_52WSlope,84,1.0
x_DebtChg1Y,84,6.0
x_SalesToEPSChg,84,4.0
x_LTDA,83,6.0
x_IndRel_PM6M,82,1.0
x_LogUnadjPrice,82,1.0
x_IndRel_MaxRetPayoff,82,1.0
x_Adj50DVolSig,81,8.0
x_IO_BreadthStabBY,81,1.0
x_Chg1YROA,81,2.0
x_IndRel_PAdjChg1YSales,81,2.0
x_90DCV,81,8.0
x_ShareChg,81,6.0
x_IndRel_DepToCapex,80,4.0
x_MaxRetPayoff,80,1.0
x_Beta60M,80,8.0
x_ShortIntRatio,80,1.0
x_IndRel_EPSSurpC,79,3.0
x_PrcTo52WH,79,1.0
x_IndRel_RONA,79,5.0
x_Alpha60M,79,1.0
x_ROEStab,78,2.0
x_AnnVol12M,77,8.0
x_HL1M,75,1.0
x_IndRel_AccrualRatioCF,75,4.0
x_Chg4QSalesTrend,75,2.0
x_PM6M,75,1.0
x_Chg1YOPM,74,2.0
x_HL52W,74,1.0
x_SalesAcc,74,2.0
x_IndRel_DivP,72,5.0
x_PA52WL20DLag,72,1.0
x_PSlopeSERR_26W,71,1.0
x_IndRel_CashAst,71,5.0
x_LogTTMSales,71,7.0
x_BuyToSellRecLess3MEMA,71,3.0
x_IndRel_LTDA,70,6.0
x_CVVolPrc20D,70,1.0
x_IndRel_FCFEqt,70,5.0
x_RelPrStr_12M,69,1.0
x_AdjAccruals,69,4.0
x_IndRel_AccrualRatioBS,68,4.0
x_PrcTo260DL,68,1.0
x_IO_Foreign,68,1.0
x_GPMargin,67,4.0
x_Chg3YOPM,67,2.0
x_Rev3MFY2C,67,3.0
x_AnnVol1M,67,8.0
x_CashAst,67,5.0
x_IndRel_AdjAccruals,67,4.0
x_IndRel_RecTurn,66,6.0
x_Chg1YLTDA,66,2.0
x_IndRel_PM12M1M,65,1.0
x_IndRel_OEA,64,4.0
x_IndRel_FCFEV,64,5.0
x_IndRel_ShareChg,64,6.0
x_RevMagFY1C,63,3.0
x_AccrualRatioCF,63,4.0
x_FCFP,63,5.0
x_PM9M,63,1.0
x_IndRel_DebtChg1Y,63,6.0
x_AccrualRatioBS,62,4.0
x_EPSToOCFChg,62,4.0
x_RecTurn,61,6.0
x_ChgSalesMargin,61,4.0
x_PTIToNOA,61,4.0
x_PAdjChg3YEPS,61,2.0
x_IO_BreadthStabHD,61,1.0
x_LogAssets,60,7.0
x_IndRel_CashEV,60,5.0
x_AdjAstAdjChg1YFCF,60,2.0
x_IndRel_InvToAst,59,4.0
x_CapAcqRatio,59,6.0
x_IndRel_ROIC,58,6.0
x_PAdjChg3YSales,58,2.0
x_IndRel_SolvencyRatio,57,5.0
x_IndRel_OCFP,57,5.0
x_60MAVGTTMROE,57,6.0
x_AdjChgEPStoSales,57,4.0
x_BVEV,57,5.0
x_IndRel_FwdFCFPC,57,5.0
x_RONA,56,5.0
x_FL,56,6.0
x_IndRel_CFEV,55,5.0
x_AdjRevMagC,55,3.0
x_IndRel_FwdEPC,55,5.0
x_TobinQ,54,6.0
x_STO,52,1.0
x_AdjSTO_6M,52,1.0
x_IndRel_CashCycle,52,4.0
x_CapExToAst,51,6.0
x_IndRel_AstP,51,5.0
x_4To52WPrcOsc,51,1.0
x_IndRel_EBITDAEV,51,5.0
x_IndRel_ROE,51,6.0
x_IndRel_SP,50,5.0
x_IndRel_PM9M,50,1.0
x_AdjFwdEPC,50,5.0
x_SEV,49,5.0
x_WCAccruals,49,4.0
x_IndRel_EP,49,5.0
x_REToAst_2,49,4.0
x_IndRel_OEP,49,5.0
x_InvToAsset,48,4.0
x_Chg1YOCF,48,2.0
x_IndRel_ROA,48,6.0
x_IndRel_TobinQ,48,6.0
x_IndRel_GPMargin,47,4.0
x_YoYChgDA,47,8.0
x_CQDRItoSales,47,2.0
x_CashP,47,5.0
x_SalesToInvCap,47,4.0
x_60MAVGTTMROA,46,6.0
x_AdjEPSNumRevFY1C,46,3.0
x_UnexpectedRecChg,46,4.0
x_ROA_2,45,6.0
x_IndRel_OCFEV,45,5.0
x_IndRel_DA,45,6.0
x_IndRel_NCAP,44,5.0
x_PAdjChg1YOCF,44,2.0
x_IndRel_CFP,44,5.0
x_52WVPT20DLag,44,1.0
x_AdjEBITDAEV,44,5.0
x_EBITMargin,44,4.0
x_InvToAstChg1Y,44,4.0
x_IndRel_EPSToSalesChg1Y,43,4.0
x_IndRel_ChgSalesMargin,43,4.0
x_IndRel_PTIP,42,5.0
x_IndRel_AssetTurn,42,4.0
x_CashBurn,42,4.0
x_AstAdjChg3YEPS,40,2.0
x_AdjFwdFCFPC,40,5.0
x_IndRel_SEV,40,5.0
x_IndRel_CashP,40,5.0
x_ConsQPosChginTTMCF,39,2.0
x_StdErr180D,39,1.0
x_BP,39,5.0
x_IndRel_WCAccruals,38,4.0
x_AdjEPSNumRevFY2C,38,3.0
x_CashAdjEV,38,5.0
x_ETO,37,4.0
x_PAdjChg1YEPS,36,2.0
x_IndRel_EBITDAP,35,5.0
x_ROE,34,6.0
x_IndRel_CFROIC,34,6.0
x_CQDOHtoSales,34,2.0
x_ConsQPosChgTTMEPS,33,2.0
x_MVEToTL,33,6.0
x_PAdjChg1YSales,33,2.0
x_AstAdjChg1YOCF,31,2.0
x_AdjEBITP,30,5.0
x_CFAst,30,4.0
x_InvToAst,30,4.0
x_AstAdjChg1YCF,29,2.0
x_AdjRev3MFY1C,27,3.0
x_IndRel_TotalAccruals,26,4.0
x_calendarquarter,26,
x_CFEV,25,5.0
x_DivP,25,5.0
x_AssetTurn_2,24,4.0
x_IndRel_FCFP,23,5.0
x_EBITDAEV,23,5.0
x_DivToCF,23,5.0
x_CFIC,23,4.0
x_OCFAst_2,22,4.0
x_CashEV,22,5.0
x_CFP,20,5.0
x_CQPTTMCFtoSales,19,2.0
x_FCFEqt,16,5.0
x_24MResRtnVar,15,1.0
