feature,importance,feature_category
x_Alpha18M6MPChg,142,1.0
x_IO_NAT,137,1.0
x_SUEC,131,3.0
x_CVVolPrc60D,128,1.0
x_IO_StabofChgHD,123,1.0
x_Alpha36M6MPChg,120,1.0
x_Chg3YOPM,116,2.0
x_5DMoneyFlowVol,116,1.0
x_PM1M,113,1.0
x_IO_Foreign,112,1.0
x_EBITEstDisp,112,3.0
x_Chg1YTurnover,109,1.0
x_SalesToEPSChg,108,4.0
x_EPSEstDispFY1C,108,3.0
x_130DMinRtn,107,8.0
x_IO_ChgofIO_AM,107,1.0
x_12QTrendTTMEPS,106,2.0
x_IO_Concentration,105,1.0
x_EPSToOCFChg,101,4.0
x_RskAdjRS,101,1.0
x_5DVolSig,101,1.0
x_PAdjChg3YEPS,100,2.0
x_IndRel_EPSEstDispFY1C,99,3.0
x_IndRel_ShortIntTrdVol,98,1.0
x_EPSStab,97,2.0
x_IndRel_PM5D,96,1.0
x_AdjFwdEPC,96,5.0
x_STO_6M,95,1.0
x_Adj50DVolSig,94,8.0
x_IndRel_ROE,92,6.0
x_EPSEstDispFY2C,92,3.0
x_IndRel_SUEC,92,3.0
x_PM5D,92,1.0
x_CVVolPrc20D,91,1.0
x_Chg1YOPM,90,2.0
x_6MChgTgtPrcGap,90,3.0
x_IO_ChgofIO_HF,90,1.0
x_IO_Level_AM,90,1.0
x_IO_BreadthStabHD,90,1.0
x_calendarquarter,90,
x_IO_BreadthStabBY,90,1.0
x_Chg1YLTDA,88,2.0
x_AccrualRatioCF,88,4.0
x_HL1M,87,1.0
x_REToAst_2,87,4.0
x_ChgSalestoChgEPS,87,4.0
x_Chg1YAmihud,87,8.0
x_6MAvgChg1MRecC,86,3.0
x_LogUnadjPrice,86,1.0
x_IndRel_DepToCapex,86,4.0
x_60MAVGTTMROA,85,6.0
x_52WSlope,85,1.0
x_IndRel_RONA,85,5.0
x_YoYChgDA,84,8.0
x_AdjAccruals,84,4.0
x_14DayRSI,84,1.0
x_HL52W,84,1.0
x_IndRel_EPSSurpC,83,3.0
x_Chg4QSalesTrend,83,2.0
x_IO_ChgofNumBY,83,1.0
x_BuyToSellRecLess3MEMA,83,3.0
x_PSlopeSERR_26W,83,1.0
