feature,importance,feature_category
x_LogAssets,-0.8259039860200535,7.0
x_Chg1YOCF,-0.7853416185388055,2.0
x_EPSToOCFChg,-0.7707636810064208,4.0
x_PA52WL20DLag,0.7014426773759667,1.0
x_PAdjChg3YEPS,-0.61923523413475,2.0
x_LogTTMSales,0.5935696804206595,7.0
x_PrcTo260DL,-0.5923710354473894,1.0
x_AstAdjChg3YEPS,0.5719151934875377,2.0
x_InvToAst,-0.525749500168082,4.0
x_ShareChg,-0.49153374366671165,6.0
x_IndRel_LTDA,0.4820000870403965,6.0
x_CashAst,0.48192521372803704,5.0
x_LTDA,-0.4696148258100227,6.0
x_IndRel_InvToAst,0.4534097861844551,4.0
x_RevEstDisp,-0.4210167739619509,3.0
x_SUEC,0.39555994655258137,3.0
x_SalesToEPSChg,-0.37923409123870827,4.0
x_GPMargin,-0.37211119698875483,4.0
x_BVEV,0.3371076687643079,5.0
x_StdErr180D,0.33426457449346697,1.0
x_STO_6M,-0.31958794252740075,1.0
x_ChgSalesMargin,-0.3193849049562654,4.0
x_CashAdjEV,-0.30071682171680175,5.0
x_IO_Level_AM,-0.252192848488669,1.0
x_FCFEqt,0.25190036212416933,5.0
x_AnnVol12M,-0.24253756937033913,8.0
x_Chg1YOPM,-0.24093606740409534,2.0
x_IndRel_AssetTurn,-0.24043802040936663,4.0
x_IndRel_CashAst,-0.2371978340882973,5.0
x_AdjFwdFCFPC,-0.23479731442218615,5.0
x_AdjFwdEPC,0.23019521880261679,5.0
x_CashP,0.22079203149226048,5.0
x_IndRel_CFP,-0.2167353178913035,5.0
x_CapExToAst,-0.2162968567285635,6.0
x_IO_Level,0.21307359083590094,1.0
x_4To52WPrcOsc,0.21043691796012348,1.0
x_IndRel_MaxRetPayoff,-0.20158599605382427,1.0
x_EPSNumRevFY1C,0.20130960825979646,3.0
x_IndRel_CashP,-0.1960001320951505,5.0
x_ConsQPosChginTTMCF,0.19335055231171414,2.0
x_calendarquarter,-0.19283901775926898,
x_ETO,-0.18843364872584886,4.0
x_IndRel_PM9M,0.18264306404715658,1.0
x_Chg3YOPM,-0.17685639979008233,2.0
x_60MAVGTTMROA,-0.17679428136524808,6.0
x_IndRel_SUEC,-0.17508117749169963,3.0
x_Chg1YTurnover,-0.17303058894665763,1.0
x_IndRel_SP,-0.1719187718786486,5.0
x_IndRel_ROE,0.17049386518268342,6.0
x_IndRel_DA,-0.1692453038953539,6.0
x_PrcTo52WH,0.16768135152873312,1.0
x_AstAdjChg1YOCF,-0.16662845681631236,2.0
x_5DMoneyFlowVol,0.1530513741732732,1.0
x_FCFP,0.15090539895542632,5.0
x_AdjChgEPStoSales,-0.14815019073748323,4.0
x_ROE,-0.14809826813408125,6.0
x_52WVPT20DLag,-0.1470723747632225,1.0
x_EBITDAEV,0.14580408404503015,5.0
x_IndRel_PAdjChg1YSales,-0.14151700290986094,2.0
x_IndRel_DivP,0.13922021635719642,5.0
x_IndRel_SolvencyRatio,-0.13763781410313577,5.0
x_IndRel_WCAccruals,0.13469758684387295,4.0
x_LogUnadjPrice,0.1307051031575422,1.0
x_AdjRev3MFY1C,-0.12776433211519805,3.0
x_IndRel_OEP,0.1276535443979064,5.0
x_IndRel_Chg1YOCF,0.12397362366688418,2.0
x_IndRel_EBITDAEV,-0.12285328041274618,5.0
x_DepToCapex,-0.12166337105828248,4.0
x_EBITMargin,0.12150863024127657,4.0
x_IndRel_PM6M,-0.12005602181147658,1.0
x_IO_Concentration,-0.11780086586520037,1.0
x_IndRel_EPSEstDispFY1C,-0.1172875064129877,3.0
x_IndRel_SEV,0.11710721301656,5.0
x_ROA_2,0.11680493201415255,6.0
x_IO_BreadthStabBY,0.11529228085899096,1.0
x_IndRel_FCFEqt,-0.114134319226506,5.0
x_ConsQPosChgTTMEPS,-0.1130948885520072,2.0
x_IndRel_ROA,-0.1122125709218936,6.0
