feature,importance,feature_category
x_RevEstDisp,0.026674505,3.0
x_LogAssets,0.013138453,7.0
x_ChgSalesMargin,0.011949378,4.0
x_Rev3MFY2C,0.011772782,3.0
x_EBITDAEV,0.010851409,5.0
x_SUEC,0.01050459,3.0
x_LogTTMSales,0.009745105,7.0
x_AdjEBITP,0.008787498,5.0
x_SalesAcc,0.008741113,2.0
x_AstGrwth,0.007857132,6.0
x_InvToAst,0.007763558,4.0
x_PM9M,0.007638971,1.0
x_IndRel_PAdjChg1YEPS,0.00702981,2.0
x_IndRel_PTMargin,0.0070290826,6.0
x_6MChgTgtPrc,0.0068209316,3.0
x_BP,0.006457753,5.0
x_IO_BreadthStabHD,0.0063807718,1.0
x_STO_6M,0.0063764453,1.0
x_IndRel_PTIP,0.0063451948,5.0
x_EPSNumRevFY1C,0.0063028643,3.0
x_IndRel_CashEV,0.006196198,5.0
x_AdjEPSNumRevFY2C,0.0061724414,3.0
x_IndRel_ChgSalesMargin,0.006161981,4.0
x_PAdjChg1YSales,0.0058430536,2.0
x_IndRel_FCFEqt,0.0056762816,5.0
x_IndRel_CashAst,0.005664564,5.0
x_AdjRev3MFY1C,0.0056167413,3.0
x_IndRel_SEV,0.005594871,5.0
x_TobinQ,0.005594202,6.0
x_Chg4QSalesTrend,0.0055176886,2.0
x_PM6M,0.005509453,1.0
x_IndRel_GPMargin,0.005438959,4.0
x_SharpeRatio,0.0054278276,1.0
x_PAdjChg3YEPS,0.0054169144,2.0
x_CashAst,0.0053813523,5.0
x_CashP,0.0053486293,5.0
x_IndRel_PM9M,0.0052308156,1.0
x_Chg1YROA,0.005209886,2.0
x_AdjFwdFCFPC,0.0051865177,5.0
x_AdjRevMagC,0.005163735,3.0
x_IndRel_DA,0.0051459935,6.0
x_IndRel_FCFP,0.0051125013,5.0
x_CashEV,0.0051063066,5.0
x_IndRel_PM5D,0.0051029916,1.0
x_CFP,0.005070036,5.0
x_EPSToOCFChg,0.005065116,4.0
x_IndRel_BP,0.0050436277,5.0
x_IndRel_OEP,0.0050237165,5.0
x_AdjEPSNumRevFY1C,0.0049347165,3.0
x_SalesToInvCap,0.004925525,4.0
x_PTIToNOA,0.0049148453,4.0
x_IndRel_NCAP,0.00487594,5.0
x_12QTrendTTMEPS,0.004861914,2.0
x_ROE,0.004856858,6.0
x_DivToCF,0.004837249,5.0
x_IndRel_Chg1YOPM,0.0048015113,2.0
x_FCFEqt,0.00479075,5.0
x_GPMargin,0.0047895866,4.0
x_PA52WL20DLag,0.0047877147,1.0
x_PM5D,0.0047667036,1.0
x_IndRel_PM12M1M,0.004725723,1.0
x_ChgSalestoChgEPS,0.0047238353,4.0
x_CashCycle,0.0047135735,4.0
x_IndRel_ROA,0.0047067706,6.0
x_RecTurn,0.0046486766,6.0
x_EPSEstDispFY1C,0.004637681,3.0
x_MVEToTL,0.0046300916,6.0
x_CapExToAst,0.0045830347,6.0
x_CashAdjEV,0.0045802314,5.0
x_LTDA,0.0045558987,6.0
x_PrcTo260DL,0.0045320834,1.0
x_IndRel_AstP,0.0045024324,5.0
