model,r2,mse,rmse,mae
linear,287.09508290326954,11173.626693601485,60.58500568862643,1.7248852019686371
ridge,6.716263451622508,271.2453447694242,7.6574446026949206,0.4002982809876606
lasso,0.0013641843259926628,2.4127988591995586,0.19465600493265342,0.1607088307644915
enet,0.0014031084932052994,2.360125706640204,0.19214455244825324,0.16225968084642983
xgb,0.012450724209671703,1.8347388167472656,0.15988511490500348,0.14774696212007626
lgbm,0.02040550906223353,1.8269925627045096,0.15863838933109234,0.12561632042249915
catboost,0.015321731573204008,1.8433439922828223,0.16062981223009948,0.13346775586945814
nn1,0.014225076503170443,2.1361629157102113,0.17648692750725845,0.16720961379625401
nn2,0.0222035396886202,1.887957537119726,0.15676909366806355,0.15639579545492388
nn3,0.02812111599756838,2.8737439342300646,0.23440106754897047,0.2009275852669736
