variable,high_correlation_count,non_missing_values,missing_values,total_rows,target_correlation,is_dropped
CashToSales,9,20044,769,20813,0.008796395340468086,True
CapAcqRatio,7,18191,2622,20813,0.005989499869816528,True
IndRel_EBITDAP,7,19125,1688,20813,0.005870494436331161,True
50To200PrcRatio,7,20065,748,20813,0.06152563463801217,True
FCFP,6,19299,1514,20813,0.027251504200881155,True
PAYOUTRATIO,6,18331,2482,20813,0.0021965129844866765,True
AdjFCFP,6,19340,1473,20813,0.027804917470625242,True
AdjFwdFCFPC,6,19853,960,20813,0.013260046493014344,True
PRatio15To36W,6,20068,745,20813,0.05220475563410523,True
TTMOverheadtoSales,6,20046,767,20813,0.010608684196990235,True
PTMargin,6,20039,774,20813,0.010532616918524893,True
TTMEPStoTTMSales,6,20039,774,20813,0.010718959902968676,True
NetProfitMargin,6,19432,1381,20813,0.01074231428049621,True
TotalAccruals,6,19312,1501,20813,0.01660735026607192,False
GPMargin,6,20045,768,20813,0.010448548975232367,True
DivP,5,19915,898,20813,0.0054845036009961295,True
FwdFCFPC,5,19871,942,20813,0.034683269153628425,False
OCFEqt,5,19286,1527,20813,0.005545232875654667,True
ETO,5,20059,754,20813,0.002958728546111361,True
SusGrwRate,5,19101,1712,20813,0.0029662289022848814,True
CFEqt,5,20057,756,20813,0.006324862953727186,True
FCFEqt,5,19066,1747,20813,0.005061587273764591,True
ROE,5,20060,753,20813,0.006402205683765022,False
AstP,5,20062,751,20813,0.0017879119111433965,True
EBITDAP,5,19128,1685,20813,0.002506744554782614,True
EBITP,5,20045,768,20813,0.0034677827138822823,True
NCAP,5,20063,750,20813,0.0030945676839636733,True
AdjEBITP,5,20054,759,20813,0.0034722007470321926,True
PAdjChg1YSales,5,19963,850,20813,0.0018811876477598855,False
PAdjChg1YCF,5,18724,2089,20813,0.0018413919504598202,True
EBITDAMargin,4,19025,1788,20813,0.007767135293228289,True
OPM,4,19123,1690,20813,0.007961064629439856,True
FCFSales,4,19334,1479,20813,0.01670413931439697,True
EBITMargin,4,19123,1690,20813,0.011260645176659909,True
6MChgTgtPrc,4,19512,1301,20813,0.06159336222084116,True
PAdjChg1YOCF,4,19216,1597,20813,0.0018011588737401655,True
EbitToAst_2,3,20071,742,20813,0.03805984175715485,True
EbitdaToAst,3,19153,1660,20813,0.02758107032900219,True
CFAst,3,20057,756,20813,0.04341711692110342,True
OEA,3,20053,760,20813,0.05866157065089367,False
IndRelEBITP,3,16847,3966,20813,0.009493564864923101,True
39WRtnLag4W,3,19946,867,20813,0.05942996656627176,True
PM9M,3,19969,844,20813,0.06593839938697564,False
4To52WPrcOsc,3,19894,919,20813,0.05998659626164484,True
RSI26W,3,20023,790,20813,0.07007819131697457,True
PM6M,3,20023,790,20813,0.07012110719384756,False
PAdjChg3YCF,3,18138,2675,20813,0.003832220771248136,True
PAdjChg3YSales,3,19389,1424,20813,0.003897715835356201,True
PAdjChg1YFCF,3,18937,1876,20813,0.0014859499276157573,True
IndRel_PAdjChg1YSales,3,19870,943,20813,0.0005605896047422204,True
CFEV,3,19325,1488,20813,0.00855645378559427,False
EBITDAEV,3,19127,1686,20813,0.0055956030781286305,True
FCFEV,3,19294,1519,20813,0.00569569813566708,True
OCFEV,3,19318,1495,20813,0.004837841655917742,True
AstAdjChg3YFCF,2,18873,1940,20813,0.07317870887362898,False
CashAdjEV,2,19314,1499,20813,0.0021565339227411014,True
IndRel_50DVolSig,2,20044,769,20813,0.033680167505648236,True
50DVolSig,2,20039,774,20813,0.04250482669347086,False
Adj50DVolSig,2,19861,952,20813,0.042189091266569514,True
StdErr180D,2,19975,838,20813,0.0460806604424112,True
EP,2,20051,762,20813,0.027132575375438728,False
PTIP,2,20055,758,20813,0.01949865296876588,True
AdjGFP,2,20047,766,20813,0.026934355833759055,True
PAdjChg3YOCF,2,18725,2088,20813,0.0044320297737019424,False
SalesToEPSChg,2,19953,860,20813,3.953832294054153e-05,True
IndRel_AstP,2,20062,751,20813,0.008541836664169628,False
IndRel_NCAP,2,19537,1276,20813,0.0024641454807917905,True
AdjAstAdjChg3YFCF,1,18941,1872,20813,0.06927470851135846,True
AstAdjChg3YOCF,1,18904,1909,20813,0.06090016527331716,True
BVEV,1,20063,750,20813,0.002370679414977888,False
EstDiffC,1,19831,982,20813,0.07620133261577712,False
AdjEPSNumRevFY1C,1,19849,964,20813,0.07511099119713557,True
IndRel_BP,1,20062,751,20813,0.01858051014594798,False
IndRel_PTIP,1,20054,759,20813,0.005800945171514393,True
RelPrStr_12M,1,19859,954,20813,0.02071943989930584,True
VolAdjRtn12M,1,19859,954,20813,0.04209273466908096,False
PM12M1M,1,19886,927,20813,0.05869538913287741,True
PrcTo52WH,1,20067,746,20813,0.042483949936680226,True
AstAdjChg1YEPS,1,20002,811,20813,0.05411167297119547,False
AstAdjChg1YCF,1,18828,1985,20813,0.04901103701443368,True
AstAdjChg3YCF,1,18331,2482,20813,0.040276995807186654,True
AstAdjChg3YEPS,1,19563,1250,20813,0.04257962432172801,False
LogTTMSales,1,20045,768,20813,0.04845347484876495,False
Sz-style,1,20068,745,20813,0.045336315170839615,True
IndRel_PAdjChg3YSales,1,19294,1519,20813,0.005033044597910207,False
PAdjChg3YFCF,1,18457,2356,20813,0.0022375823156999815,True
PrcTo260DL,1,20067,746,20813,0.011599929869693423,True
PA52WL20DLag,1,20069,744,20813,0.012829921395213563,False
ShortIntRatio,1,20024,789,20813,0.03981893279109318,True
IndRel_ShortIntRatio,1,20027,786,20813,0.04265982720649604,False
ShortIntTrdVol,1,20024,789,20813,0.028572165109805984,False
IndRel_ShortIntTrdVol,1,20021,792,20813,0.01756923089217371,True
IO_ChgofNumBY,1,19994,819,20813,0.004319453133614905,True
IO_ChgofNumHD,1,19996,817,20813,0.004914999074897992,False
Rev3MFY1C,1,19774,1039,20813,0.03932237361279284,True
AdjRev3MFY1C,1,19770,1043,20813,0.0397440918199446,False
AdjAstAdjChg1YFCF,1,19320,1493,20813,0.05592496943520272,True
AstAdjChg1YFCF,1,19011,1802,20813,0.0567152176911087,False
AdjChgEPStoSales,1,19897,916,20813,0.000537536832426778,True
EPSToSalesChg1Y,1,19924,889,20813,0.0009412184661817722,False
AdjEBITDAEV,1,19153,1660,20813,0.0026950585358754015,False
CFIC,1,20056,757,20813,0.016370374158488358,True
ROIC,1,19127,1686,20813,0.018699661243495133,False
CapExToSales,1,20019,794,20813,0.017261947016810185,False
DepToCapex,1,19404,1409,20813,0.00417496314381195,True
LTDA,1,20031,782,20813,0.013332376837084136,False
DA,1,20064,749,20813,0.006179745590711754,True
OCFIC,1,19284,1529,20813,0.040673077219508816,False
CFROIC,1,19419,1394,20813,0.03372156408844621,True
YoYChgDA,1,20045,768,20813,0.024289622986752305,False
Chg1YLTDA,1,20003,810,20813,0.013853962066958143,True
IndRel_SP,1,20052,761,20813,0.0027294696554085894,True
IndRel_EBITMargin,1,19121,1692,20813,0.007797469607596684,False
IndRel_OPM,1,19120,1693,20813,0.004497389204288087,True
IndRel_PTMargin,1,20038,775,20813,0.005470412440901975,False
IndRel_NetProfitMargin,1,19420,1393,20813,4.111540473584567e-05,True
BuyToSellRecLess3MEMA,1,19587,1226,20813,0.005191123733566665,False
BuyToSellRecLess3MSMA,1,19645,1168,20813,0.004521520407625186,True
14DayRSI,1,20062,751,20813,0.006869104367955566,False
20DStochastic,1,20067,746,20813,0.002512488581564931,True
3MSalesMom,1,19921,892,20813,0.033611864134058464,True
6MTTMSalesMom,1,19896,917,20813,0.03659355501399627,False
AdjFwdEPC,1,19870,943,20813,0.029439886791819154,True
FwdEPC,1,19852,961,20813,0.03465606169423731,False
AdjInvPEGC,1,19071,1742,20813,0.022068844255064272,False
InvPEGC,1,18989,1824,20813,0.013650864493949371,True
LogMktCapCubed,1,20064,749,20813,0.07198891182168042,False
LogMktCap,1,20064,749,20813,0.07045007757419922,True
LTDE,1,19399,1414,20813,0.0008272971206697969,False
BookLev,1,19422,1391,20813,0.0007482342256199756,True
IndRel_FCFEV,1,19288,1525,20813,0.010036863122545063,False
IndRel_OCFEV,1,19319,1494,20813,0.00806011422197799,True
