variable1,variable2,correlation,non_missing_var1,non_missing_var2,non_missing_both,var1_target_corr,var2_target_corr,dropped_variable
EBITDAMargin,OPM,0.999986276227838,19025,19123,19025,0.007767135293228289,0.007961064629439856,EBITDAMargin
Rev3MFY1C,AdjRev3MFY1C,0.9999770784731017,19774,19770,19678,0.03932237361279284,0.0397440918199446,Rev3MFY1C
PTMargin,NetProfitMargin,0.9998361721860041,20039,19432,19427,0.010532616918524893,0.01074231428049621,PTMargin
FCFP,AdjFCFP,0.9998281421000048,19299,19340,19290,0.027251504200881155,0.027804917470625242,FCFP
FCFEV,OCFEV,0.9997103992208698,19294,19318,19291,0.00569569813566708,0.004837841655917742,OCFEV
RSI26W,PM6M,0.9993468908114331,20023,20023,20020,0.07007819131697457,0.07012110719384756,RSI26W
AdjAstAdjChg1YFCF,AstAdjChg1YFCF,0.9990848449688365,19320,19011,19007,0.05592496943520272,0.0567152176911087,AdjAstAdjChg1YFCF
TTMEPStoTTMSales,NetProfitMargin,0.9988637152001762,20039,19432,19424,0.010718959902968676,0.01074231428049621,TTMEPStoTTMSales
PTMargin,TTMEPStoTTMSales,0.9986969868677275,20039,20039,20031,0.010532616918524893,0.010718959902968676,PTMargin
AstP,NCAP,-0.9984934349529831,20062,20063,20060,0.0017879119111433965,0.0030945676839636733,AstP
CFEqt,ROE,0.9982503239836442,20057,20060,20054,0.006324862953727186,0.006402205683765022,CFEqt
LogMktCapCubed,LogMktCap,0.9977129159997619,20064,20064,20062,0.07198891182168042,0.07045007757419922,LogMktCap
CashToSales,GPMargin,-0.9973750735358753,20044,20045,20042,0.008796395340468086,0.010448548975232367,CashToSales
AdjChgEPStoSales,EPSToSalesChg1Y,0.9969214183895388,19897,19924,19888,0.000537536832426778,0.0009412184661817722,AdjChgEPStoSales
PrcTo260DL,PA52WL20DLag,0.9958312462927771,20067,20069,20064,0.011599929869693423,0.012829921395213563,PrcTo260DL
NetProfitMargin,GPMargin,0.9956630163615097,19432,20045,19430,0.01074231428049621,0.010448548975232367,GPMargin
CashToSales,NetProfitMargin,-0.9955050113803472,20044,19432,19432,0.008796395340468086,0.01074231428049621,CashToSales
CashToSales,TTMEPStoTTMSales,-0.9953184338787295,20044,20039,20036,0.008796395340468086,0.010718959902968676,CashToSales
PTMargin,GPMargin,0.9940172589272832,20039,20045,20039,0.010532616918524893,0.010448548975232367,GPMargin
PAYOUTRATIO,DivP,0.9938912661594957,18331,19915,18209,0.0021965129844866765,0.0054845036009961295,PAYOUTRATIO
CashToSales,PTMargin,-0.9936685460168116,20044,20039,20038,0.008796395340468086,0.010532616918524893,CashToSales
OPM,EBITMargin,0.9934019132789551,19123,19123,19121,0.007961064629439856,0.011260645176659909,OPM
EBITDAMargin,EBITMargin,0.9933400172257698,19025,19123,19023,0.007767135293228289,0.011260645176659909,EBITDAMargin
TTMEPStoTTMSales,GPMargin,0.9929397279497884,20039,20045,20035,0.010718959902968676,0.010448548975232367,GPMargin
PAdjChg1YOCF,PAdjChg1YCF,0.9907954185151739,19216,18724,18722,0.0018011588737401655,0.0018413919504598202,PAdjChg1YOCF
CFIC,ROIC,0.989308796243515,20056,19127,19120,0.016370374158488358,0.018699661243495133,CFIC
SusGrwRate,ROE,0.9888962753956495,19101,20060,19099,0.0029662289022848814,0.006402205683765022,SusGrwRate
